SUBJECT	VERB	OBJECT	typicality	LC_sim	AC_sim	computed_score
monkey	fill	bucket	P	0.3534277606082889	0.5312810525477182	0.884708813156007
elephant	fill	bucket	N	0.35570278171867065	0.4382451042370056	0.7939478859556762
water	fill	cup	P	0.4875122298958031	0.5642995100290192	1.0518117399248224
car	fill	cup	N	0.36560331161622384	0.6504981132694876	1.0161014248857114
water	fill	plate	P	0.4446690479297776	0.5815030391058841	1.0261720870356617
house	fill	plate	N	0.4242898241428353	0.6644167379350273	1.0887065620778626
mud	fill	sink	P	0.3682995706116556	0.4353190512896538	0.8036186219013094
car	fill	sink	N	0.2723157949652283	0.5630589692129618	0.8353747641781901
chef	film	cake	P	0.4963755300559295	0.6097815812143222	1.1061571112702517
lion	film	cake	N	0.44031232437083645	0.5310085980256326	0.971320922396469
chef	film	man	P	0.47562265658902436	0.5190045491992522	0.9946272057882766
bug	film	man	N	0.40134281141248507	0.4758111459328409	0.877153957345326
woman	film	sofa	P	0.5134019130207117	0.49565773350806375	1.0090596465287756
dog	film	sofa	N	0.524574945182813	0.475279661283367	0.99985460646618
child	film	water	P	0.49727384549799064	0.5398007077464732	1.0370745532444638
rabbit	film	water	N	0.45776220309684007	0.5164816515440661	0.9742438546409062
wrench	fix	car	P	0.5201156826879509	0.485153855725965	1.0052695384139159
lion	fix	car	N	0.36304816450472205	0.509786103134727	0.8728342676394492
hammer	flatten	cake	P	0.4251457785396187	0.439540165590623	0.8646859441302417
paper	flatten	cake	N	0.4257070082288841	0.5361096297275463	0.9618166379564304
car	flatten	cup	P	0.36872111874124563	0.6504981132694876	1.0192192320107332
cloud	flatten	cup	N	0.3383706038044926	0.46860937535397523	0.8069799791584678
hand	fold	pillow	P	0.4841345901827761	0.5338987623838676	1.0180333525666436
bug	fold	pillow	N	0.3479248259334183	0.41338496531899416	0.7613097912524125
ice	freeze	pebbles	P	0.5584083191947078		0.5584083191947078
sun	freeze	pebbles	N	0.4574418148038613		0.4574418148038613
ice	freeze	rock	P	0.6151195755023492	0.6568395268565268	1.2719591023588759
sun	freeze	rock	N	0.46737074272370327	0.5704198197730658	1.037790562496769
ice	freeze	water	P	0.6247996699059308	0.5773130676967653	1.202112737602696
smoke	freeze	water	N	0.38635330221580017	0.4908945444905422	0.8772478467063424
man	fry	cake	P	0.4411211332345426	0.741397966787914	1.1825191000224566
monkey	fry	cake	N	0.48220244596815925	0.5789966506085968	1.0611990965767562
sign	halt	boat	P	0.4166156725830651	0.3617565943417252	0.7783722669247903
lake	halt	boat	N	0.49753184219943425	0.6175510251195898	1.115082867319024
sign	halt	traffic	P	0.4128672916790278	0.44209260307245657	0.8549598947514844
air	halt	traffic	N	0.46923864623496525	0.5311382150809749	1.00037686131594
stove	heat	air	P	0.5323616077754627	0.5915456344364307	1.1239072422118934
house	heat	air	N	0.4674077935699322	0.5885856362872394	1.0559934298571716
oven	heat	food	P	0.542135369875095	0.5821873548028705	1.1243227246779655
table	heat	food	N	0.4834861398596006	0.5547499158532998	1.0382360557129005
fire	heat	man	P	0.5713992928385411	0.5960800755090915	1.1674793683476326
ice	heat	man	N	0.5165937381536774	0.505223357028843	1.0218170951825205
fire	heat	sand	P	0.5257826947805505	0.5385753489207556	1.064358043701306
dog	heat	sand	N	0.4475758382983139	0.5102752925868013	0.9578511308851152
sun	heat	water	P	0.6297571622872787	0.5396003479840045	1.1693575102712832
oil	heat	water	N	0.5397949368383066	0.6011085593721411	1.1409034962104476
uncle	heave	box	P	0.3778574200862187	0.5794444493695574	0.9573018694557761
ant	heave	box	N	0.387256226437831	0.510686550484493	0.8979427769223239
tiger	heave	door	P	0.3417854545263363	0.5399989842681213	0.8817844387944576
worm	heave	door	N	0.3986858765806046	0.46141754500922255	0.8601034215898271
ant	heave	pea	P	0.4237966564489777	0.37593602483120353	0.7997326812801813
elephant	heave	pea	N	0.39964196375292416	0.35340003991194374	0.753042003664868
car	hit	brother	P	0.4778159310375959	0.6111913846084346	1.0890073156460305
air	hit	brother	N	0.3981736758742782	0.4630752520981948	0.861248927972473
finger	hit	pillow	P	0.4619676057580034	0.49214954629589036	0.9541171520538938
smoke	hit	pillow	N	0.37716672845686666	0.3697637405075114	0.7469304689643781
policeman	hold	cup	P	0.3455377694671396	0.6025229291992419	0.9480606986663815
ant	hold	cup	N	0.3382483396387364	0.5136124132254766	0.851860752864213
net	hold	dog	P	0.3454937305050025	0.4212600045548326	0.766753735059835
bowl	hold	dog	N	0.4628569360168851	0.4830356735380125	0.9458926095548976
glove	hold	earplug	P	0.4301553481320878		0.4301553481320878
ant	hold	earplug	N	0.2796820413828049		0.2796820413828049
pin	hook	fish	P	0.486965825027131	0.49282559157275896	0.97979141659989
wall	hook	fish	N	0.467789825176563	0.5226302853906202	0.9904201105671832
rope	hook	stick	P	0.5740310798399723	0.49376371829336935	1.0677947981333415
ant	hook	stick	N	0.35122353570256043	0.5002340520891942	0.8514575877917547
rope	hurl	boat	P	0.5005895732260076	0.5606543014322234	1.061243874658231
hair	hurl	boat	N	0.3659592823558936	0.5132774406998707	0.8792367230557643
rope	hurl	trolley	P	0.4450414989123392	0.3220609933681159	0.767102492280455
rock	hurl	trolley	N	0.4212971731542874	0.3981736885305095	0.8194708616847969
car	hurl	truck	P	0.569970037139435	0.7791143193079323	1.3490843564473671
hair	hurl	truck	N	0.35894124244875136	0.499579265207385	0.8585205076561364
man	hurl	woman	P	0.6274180660417497	0.7549969577157856	1.3824150237575352
ant	hurl	woman	N	0.3584932225576975	0.530903296004105	0.8893965185618025
knife	hurt	foot	P	0.4146715658814049	0.5965229950027718	1.0111945608841768
cloth	hurt	foot	N	0.37960607586734085	0.6104865965629424	0.9900926724302832
needle	hurt	head	P	0.35781784450934884	0.5607015477627187	0.9185193922720676
pillow	hurt	head	N	0.4478064643244272	0.5626791641001998	1.010485628424627
student	jail	girl	P	0.5298734950393381	0.6143561350884504	1.1442296301277886
cat	jail	girl	N	0.4656500708376943	0.5357115010691236	1.0013615719068178
mayor	jail	person	P	0.5510231914049724	0.6188043575458387	1.1698275489508112
dog	jail	person	N	0.4899328477149874	0.5516655927485957	1.0415984404635832
student	jail	woman	P	0.4897802420397342	0.6208999653824232	1.1106802074221573
cat	jail	woman	N	0.4372898073925566	0.5241631822172804	0.9614529896098369
horse	kick	chair	P	0.45326416718688556	0.550721353090384	1.0039855202772694
tree	kick	chair	N	0.39697796064274116	0.52265836714422	0.9196363277869611
horse	kick	table	P	0.43339279987645857	0.5151143947533248	0.9485071946297834
tree	kick	table	N	0.4465101571226457	0.565588421136829	1.0120985782594747
knife	kill	ant	P	0.4528889103605911	0.36892532860848887	0.8218142389690799
air	kill	ant	N	0.3696637208121956	0.33311734914584823	0.7027810699580439
dolphin	kiss	fish	P	0.5761244920835429	0.6364339664377173	1.21255845852126
ant	kiss	fish	N	0.40760687552783714	0.5368481122548521	0.9444549877826892
women	kiss	girlfriend	P	0.3912634961355416	0.5272585489532726	0.9185220450888143
ant	kiss	girlfriend	N	0.33801191892022775	0.4133798416006834	0.7513917605209112
ape	kiss	remote	P	0.37609840388161175		0.37609840388161175
cup	kiss	remote	N	0.42258964327075244		0.42258964327075244
ape	kiss	woman	P	0.4278884572578923	0.4926910701801634	0.9205795274380557
tree	kiss	woman	N	0.4401878348313183	0.5202885950023494	0.9604764298336677
mallet	knead	cake	P	0.41971889195486906	0.4312212181551149	0.8509401101099839
air	knead	cake	N	0.3652726057791934	0.48406264180775704	0.8493352475869504
chef	knead	clay	P	0.285041313518362	0.457235807450396	0.742277120968758
mud	knead	clay	N	0.5126436735899339	0.5554041788535858	1.0680478524435197
needle	knit	rug	P	0.4153978502343916		0.4153978502343916
cat	knit	rug	N	0.39319584115711775		0.39319584115711775
chef	knit	shirt	P	0.3563363494046333	0.5570996735101611	0.9134360229147944
horse	knit	shirt	N	0.35590730938160553	0.5932722237365189	0.9491795331181244
grandma	knit	wool	P	0.3918636814304154	0.3842420735299154	0.7761057549603307
horse	knit	wool	N	0.39836458157550986	0.5339665262641403	0.9323311078396501
house	leak	gas	P	0.48125540381740106	0.585096275964129	1.0663516797815302
tree	leak	gas	N	0.3567074795925488	0.5394724892742722	0.8961799688668209
finger	lengthen	cord	P	0.41773049508436266	0.46066279218274486	0.8783932872671075
oil	lengthen	cord	N	0.30569098979336984	0.5252723299274386	0.8309633197208084
hand	lengthen	dough	P	0.43502892932482307		0.43502892932482307
ant	lengthen	dough	N	0.32128829879698734		0.32128829879698734
lion	lick	frosting	P	0.33444537213290243		0.33444537213290243
tree	lick	frosting	N	0.32661595352848705		0.32661595352848705
helicopter	lift	dumbbell	P	0.39148898629533185		0.39148898629533185
ant	lift	dumbbell	N	0.3693004952628046		0.3693004952628046
ant	lift	leaf	P	0.4238264390539523	0.6088769115956233	1.0327033506495755
man	lift	leaf	N	0.4292330674719568	0.681049664611123	1.1102827320830797
helicopter	lift	weight	P	0.43862711949480315	0.5816124642963675	1.0202395837911706
ant	lift	weight	N	0.3433388629420317	0.539306614003034	0.8826454769450658
smoke	mask	computer	P	0.4483278139636194	0.4520643110392953	0.9003921250029148
wind	mask	computer	N	0.3731162904790382	0.49388215183637024	0.8669984423154085
clay	mask	face	P	0.3454779161401812	0.46464425878628596	0.8101221749264671
ant	mask	face	N	0.2837990272897608	0.491776103864631	0.7755751311543918
purse	mask	hand	P	0.425888609245559	0.558690046985991	0.9845786562315499
water	mask	hand	N	0.44172985897406	0.5969940166165467	1.0387238755906067
smoke	mask	laptop	P	0.429124075931165	0.4042694241941969	0.833393500125362
wind	mask	laptop	N	0.3394925041050375	0.4742048819904509	0.8136973860954884
brick	mince	bread	P	0.42897789423563826	0.5772831255768481	1.0062610198124864
shirt	mince	bread	N	0.39277583227024754	0.5677058397360817	0.9604816720063292
mallet	mince	dough	P	0.3830413416658517		0.3830413416658517
hair	mince	dough	N	0.3795307619826154		0.3795307619826154
dog	move	cat	P	0.6085831186353221	0.7616163192588986	1.3701994378942208
worm	move	cat	N	0.3900020500513673	0.6220222591879977	1.012024309239365
man	move	table	P	0.4267799730584289	0.5496959225159406	0.9764758955743695
ant	move	table	N	0.3580557441602991	0.47744304780480806	0.8354987919651071
girl	open	door	P	0.3522794066120745	0.604003613411799	0.9562830200238734
ant	open	door	N	0.2598614939786253	0.48442263939680097	0.7442841333754262
child	open	window	P	0.3880360039189802	0.5170985896295085	0.9051345935484887
cream	open	window	N	0.31797773952956515	0.469920538410701	0.7878982779402661
woman	pack	cake	P	0.4329725843474654	0.7548059760161993	1.1877785603636646
ant	pack	cake	N	0.41050928161412564	0.5312505245323987	0.9417598061465244
knife	peel	banana	P	0.41805996192705824	0.4306742343233687	0.8487341962504269
shirt	peel	banana	N	0.450351207689077	0.4785881319290933	0.9289393396181702
monkey	peel	tree	P	0.49184556407242525	0.5521872408421119	1.044032804914537
air	peel	tree	N	0.37365716562923157	0.5576779124997722	0.9313350781290037
infant	pet	cat	P	0.478145452560584	0.5559335681406871	1.0340790207012711
ant	pet	cat	N	0.42957751325449306	0.5820552306149294	1.0116327438694224
monkey	pet	rabbit	P	0.6217272907761496	0.6332805843907132	1.255007875166863
computer	pet	rabbit	N	0.41099007706444735	0.5108545296942878	0.9218446067587351
knife	pierce	board	P	0.47600774328141593	0.5259296683883565	1.0019374116697723
rice	pierce	board	N	0.345319153236321	0.5153866940575452	0.8607058472938662
arrow	pierce	tongue	P	0.39470834262573934	0.4263017173932298	0.8210100600189691
water	pierce	tongue	N	0.3858028306622985	0.5186084791921476	0.9044113098544461
boy	pluck	apple	P	0.4514910226444183	0.6600311830900345	1.111522205734453
worm	pluck	apple	N	0.42319807067532245	0.5180832914524722	0.9412813621277947
stick	poke	arm	P	0.6503159039313882	0.48288533623099605	1.1332012401623843
sidewalk	poke	arm	N	0.32250338298538916	0.46082612226471403	0.7833295052501033
man	poke	bread	P	0.4528877604882451	0.7311448537859596	1.1840326142742046
cloud	poke	bread	N	0.34664039333344226	0.4843399070333799	0.8309803003668221
needle	poke	sink	P	0.4492402338427555	0.401940738162406	0.8511809720051615
house	poke	sink	N	0.37678225905339074	0.7071883109820838	1.0839705700354745
faucet	pour	juice	P	0.4247290950222855	0.47741165137735264	0.9021407463996381
pen	pour	juice	N	0.3663907986258513	0.4403318470516853	0.8067226456775366
cup	pour	milk	P	0.5337727662009696	0.5377312679864501	1.0715040341874196
rope	pour	milk	N	0.3278899569879335	0.5177203692659909	0.8456103262539243
monkey	puff	smoke	P	0.3704553539811584	0.5065244887209138	0.8769798427020723
table	puff	smoke	N	0.2942280488785754	0.4627072710682147	0.7569353199467901
monkey	pull	rope	P	0.44654549045319086	0.5360907730190585	0.9826362634722494
mud	pull	rope	N	0.4531653983387519	0.4505286022265334	0.9036940005652854
woman	punch	dog	P	0.4989765849431971	0.6447234762426116	1.1437000611858088
tree	punch	dog	N	0.4583226324065695	0.5403075622677832	0.9986301946743528
chef	punch	wall	P	0.3472821537009442	0.5363045313054612	0.8835866850064054
house	punch	wall	N	0.48035915119707556	0.6921133260565153	1.1724724772535908
man	ride	bike	P	0.4447485544987415	0.7255104548648544	1.1702590093635958
dolphin	ride	bike	N	0.428405342431734	0.5521611739258748	0.9805665163576088
dog	ride	cat	P	0.6638704533822278	0.7616163192588986	1.4254867726411264
elephant	ride	cat	N	0.5164420202025392	0.6082137852214689	1.1246558054240081
dog	ride	monkey	P	0.5488405702913988	0.6214011287415373	1.170241699032936
elephant	ride	monkey	N	0.5677342135398981	0.6275299056733963	1.1952641192132942
spatula	rip	dough	P	0.38596699115786537		0.38596699115786537
wind	rip	dough	N	0.4372566364020474		0.4372566364020474
knife	rip	paper	P	0.4486493111572226	0.4922744101058163	0.9409237212630389
rice	rip	paper	N	0.39211199050935935	0.5188783526120431	0.9109903431214024
monkey	roll	log	P	0.35728980436018337	0.5131281594038246	0.8704179637640079
ant	roll	log	N	0.3568446126492512	0.5073029948625739	0.8641476075118251
elephant	rotate	car	P	0.37231297882386005	0.50958722103179	0.88190019985565
monkey	rotate	car	N	0.41499205974939807	0.545389114724213	0.960381174473611
man	rotate	cat	P	0.42248411683710424	0.6574594596266782	1.0799435764637824
ant	rotate	cat	N	0.4291959670347208	0.5820552306149294	1.01125119764965
cloth	rub	meat	P	0.5254464605155642	0.5638672507366362	1.0893137112522004
wind	rub	meat	N	0.4316610764840491	0.45313759630449624	0.8847986727885453
pillow	rub	rock	P	0.486668899233904	0.568914477430009	1.0555833766639129
oil	rub	rock	N	0.48419517216372926	0.5399353118643169	1.024130484028046
shovel	scrape	chair	P	0.5284181801102037	0.471998663219483	1.0004168433296867
pillow	scrape	chair	N	0.47254951956698693	0.538157217872023	1.01070673743901
shovel	scrape	plate	P	0.5210042689205939	0.5124142441359979	1.0334185130565918
pillow	scrape	plate	N	0.41172083699980844	0.5155060790327883	0.9272269160325968
infant	scrape	table	P	0.28178317017733456	0.4983564799266166	0.7801396501039511
hand	scrape	table	N	0.5181268128111189	0.5065346409830114	1.0246614537941303
stick	scratch	arm	P	0.5633936165626118	0.48288533623099605	1.0462789527936078
wind	scratch	arm	N	0.4564824229861295	0.4982794233293804	0.9547618463155099
knife	scratch	toe	P	0.4073328591280425	0.4880432564915881	0.8953761156196306
pillow	scratch	toe	N	0.43713031896032095	0.5331477742771074	0.9702780932374283
monkey	seize	cat	P	0.441364120215267	0.6413867188442087	1.0827508390594758
ant	seize	cat	N	0.3773348117322162	0.5820552306149294	0.9593900423471455
knife	sever	arm	P	0.45803289924569535	0.5734426671133068	1.0314755663590023
finger	sever	arm	N	0.5344654417897122	0.5143735877309825	1.0488390295206949
