SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
painter	decorate	wall	T	6.6	0.58	The painter decorated the wall .	0.012029731646180153	church_(0.08828431);interior_(0.07148704);house_(0.055404305);chapel_(0.05288228);building_(0.0371438);	6.291356839938089e-05
surgeon	use	lancet	T	4.95	2.25	The surgeon used the lancet .			
florist	sell	flower	T	6.15	1.74	The florist sold the flower .	0.0042396001517772675	property_(0.089118324);land_(0.087009914);building_(0.068750665);house_(0.048615765);plant_(0.030584246);	8.92943990038475e-06
player	gain	ball	T	5.45	1.16	The player gained the ball .	0.002471965504810214	points_(0.108089656);advantage_(0.080578685);title_(0.05280056);point_(0.044237435);prize_(0.033133823);	3.340313980970677e-07
nanny	hear	baby	T	6.35	1.35	The nanny heard the baby .	0.002572072669863701	noise_(0.119326174);sound_(0.06461435);words_(0.028302016);laughter_(0.025415482);scream_(0.025354527);	0.00011444980191299692
teacher	help	child	T	6.1	1.45	The teacher helped the child .	0.07796896249055862	children_(0.12147614);boy_(0.11107293);child_(0.07796896);students_(0.05715745);girl_(0.051363394);	7.239470141939819e-05
barber	cut	hair	T	6.65	1.11	The barber cut the hair .	0.007682332769036293	rope_(0.07338161);ropes_(0.06902064);cord_(0.024254646);line_(0.022588484);bread_(0.02176392);	8.015688217710704e-05
violinist	wear	tuxedo	T	5.9	0.89	The violinist wore the tuxedo .			
child	throw	snowball	T	5.95	1.2	The child threw the snowball .			
mover	move	furniture	T	4.9	2.43	The mover moved the furniture .	0.0074546379037201405	chair_(0.074402556);gun_(0.027936982);door_(0.018355748);knife_(0.013404873);body_(0.013107438);	1.6750227871398238e-07
referee	move	ball	T	5.05	2.18	The referee moved the ball .	0.15760348737239838	ball_(0.15760349);game_(0.056627143);match_(0.039215572);referee_(0.035775173);fight_(0.032475032);	3.340313980970677e-07
waiter	open	bottle	T	6.25	0.99	The waiter opened the bottle .	0.015423369593918324	door_(0.47298086);menu_(0.27446204);refrigerator_(0.025860956);bottle_(0.01542337);fridge_(0.012972925);	4.019353028184014e-08
dog	chase	ball	T	6.5	0.67	The dog chased the ball .	0.0033604304771870375	man_(0.08271935);cat_(0.073352545);dog_(0.061966162);woman_(0.04495083);girl_(0.042085);	3.340313980970677e-07
hairstylist	flip	hair	T	6.35	0.65	The hairstylist flipped the hair .	0.0048289126716554165	page_(0.38117564);pages_(0.16337427);switch_(0.08620811);photo_(0.020228077);paper_(0.016091326);	1.5938287106109783e-05
cook	cut	fish	T	5.75	1.37	The cook cut the fish .	0.026761090382933617	meat_(0.22750594);bread_(0.0943356);steak_(0.045043316);beef_(0.033039045);fish_(0.02676109);	2.36089613281365e-06
musician	read	music	T	6.35	1.39	The musician read the music .	0.0017253885744139552	note_(0.16065459);words_(0.066971436);letter_(0.052211504);message_(0.04555363);lyrics_(0.031623002);	1.1710781109286472e-06
passenger	buy	ticket	T	6.5	1.16	The passenger bought the ticket .	0.2149955928325653	ticket_(0.2149956);tickets_(0.09987112);car_(0.04721232);book_(0.015688732);gun_(0.012926508);	9.019931326292863e-07
guest	hang	coat	T	5.2	1.89	The guest hung the coat .	0.012730889953672886	hat_(0.038096);robe_(0.032143563);lantern_(0.031419504);bell_(0.031050496);towel_(0.029556034);	1.197751657855406e-07
student	wear	glass	T	6.0	0.89	The student wore the glass .	0.00041149993194267154	uniform_(0.09727625);badge_(0.043390643);mask_(0.03278729);hat_(0.03206741);helmet_(0.030213019);	1.900651369624029e-08
barber	use	razor	T	6.55	1.02	The barber used the razor .	0.0010083719389513135	telephone_(0.018696899);knife_(0.014543368);latter_(0.013211078);same_(0.012096563);cane_(0.011331777);	3.596637210279141e-09
waiter	clear	bar	T	6.05	1.5	The waiter cleared the bar .	0.00270850514061749	table_(0.91059846);plates_(0.03533576);tray_(0.0067652375);plate_(0.0055314186);dishes_(0.005241744);	1.4713515383846243e-07
player	enjoy	game	T	6.65	0.79	The player enjoyed the game .	0.7810609340667725	game_(0.78106093);gameplay_(0.024824407);experience_(0.01724177);story_(0.017160404);games_(0.0122509785);	4.872189265370253e-07
passenger	pass	check	T	3.75	1.79	The passenger passed the check .	0.003902747994288802	car_(0.07468858);door_(0.073147506);window_(0.0584862);wheel_(0.036662504);gate_(0.02815401);	3.877896403992054e-07
mother	prepare	food	T	6.4	0.92	The mother prepared the food .	0.13840997219085693	meal_(0.1517859);food_(0.13840997);dishes_(0.059638377);tea_(0.030305777);dinner_(0.023931583);	1.343677354270767e-06
animal	find	food	T	5.85	1.85	The animal found the food .	0.0072549572214484215	body_(0.020982146);house_(0.009637356);tree_(0.008406841);gun_(0.0080520585);car_(0.007880944);	1.343677354270767e-06
pyromaniac	start	fire	T	6.2	1.47	The pyromaniac started the fire .	0.06356265395879745	fire_(0.063562654);process_(0.03802985);engine_(0.03437071);game_(0.033671122);machine_(0.021430444);	5.561491320804635e-07
dog	carry	ball	T	6.0	1.38	The dog carried the ball .	0.005138278007507324	bag_(0.04950922);baby_(0.036110416);gun_(0.028531551);knife_(0.02595086);body_(0.022545896);	3.340313980970677e-07
pilot	win	race	T	4.8	2.14	The pilot won the race .	0.21651342511177063	race_(0.21651343);competition_(0.18603458);prize_(0.051161166);contest_(0.04599346);challenge_(0.026372885);	1.1909704333845639e-08
soldier	dig	trench	T	5.15	2.26	The soldier dug the trench .	0.017178799957036972	hole_(0.29199657);grave_(0.095477514);tunnel_(0.030607704);dirt_(0.023017894);ground_(0.01922304);	1.6809180181098782e-07
general	gather	soldier	T	5.9	1.87	The general gathered the soldier .	0.000415915361372754	men_(0.08401718);papers_(0.048368864);weapons_(0.04462268);others_(0.033826567);troops_(0.028998397);	6.317606562333822e-07
demonstrator	carry	flag	T	5.85	1.24	The demonstrator carried the flag .	0.005699874367564917	bag_(0.0322394);gun_(0.026497463);camera_(0.021843642);torch_(0.02084496);basket_(0.017248495);	4.106104825041257e-07
astronaut	touch	ground	T	4.8	2.11	The astronaut touched the ground .	0.01569913886487484	screen_(0.034236304);button_(0.023331083);ground_(0.015699139);wall_(0.015015466);glass_(0.013967705);	2.298726212757174e-05
housemaid	clean	window	T	6.65	0.57	The housemaid cleaned the window .	0.008115001954138279	dishes_(0.12211344);house_(0.10379795);kitchen_(0.09236402);room_(0.061973967);floor_(0.041263647);	1.089740067072853e-06
cyclist	ride	bike	T	6.5	1.5	The cyclist rode the bike .	0.012132059782743454	ball_(0.031651825);horse_(0.02128118);track_(0.018705636);machine_(0.017392963);flag_(0.015653383);	1.1575911784689197e-08
waiter	mix	drink	T	5.4	1.53	The waiter mixed the drink .	0.029596686363220215	drinks_(0.75978255);wine_(0.04094506);drink_(0.029596686);dishes_(0.020761525);coffee_(0.014597851);	3.7810036701557692e-06
waiter	hold	bottle	T	6.15	1.39	The waiter held the bottle .	0.022174213081598282	tray_(0.20007484);menu_(0.11125567);bill_(0.058571003);order_(0.045373045);glass_(0.030716402);	4.019353028184014e-08
hairstylist	fix	hair	T	6.85	0.36	The hairstylist fixed the hair .	0.12793198227882385	hair_(0.12793198);picture_(0.022577718);image_(0.018854128);tie_(0.013686715);dress_(0.012180701);	1.5938287106109783e-05
player	touch	base	T	5.5	1.32	The player touched the base .	0.0013537515187636018	ball_(0.106175534);button_(0.08086087);screen_(0.06999154);card_(0.02495406);board_(0.021003408);	6.999688650921598e-08
biker	wear	helmet	T	6.8	0.51	The biker wore the helmet .	0.12542816996574402	helmet_(0.12542817);mask_(0.058576692);uniform_(0.050590113);sunglasses_(0.038921256);badge_(0.03637515);	7.982137617545959e-09
soldier	reach	trench	T	6.25	0.89	The soldier reached the trench .	0.0004060218343511224	door_(0.10110467);doorway_(0.032849934);ground_(0.027746147);top_(0.021523265);window_(0.021403562);	1.6809180181098782e-07
musician	hold	guitar	T	6.55	0.5	The musician held the guitar .	0.019995199516415596	microphone_(0.029459596);instrument_(0.021696078);flute_(0.021246813);guitar_(0.0199952);knife_(0.015418018);	3.1768179269420216e-06
truck	hit	car	T	4.0	1.7	The truck hit the car .	0.0004317492130212486	ground_(0.15339091);road_(0.10599241);gas_(0.068794064);wall_(0.060566377);floor_(0.051417604);	1.909465754579287e-05
spectator	enjoy	game	T	6.05	1.47	The spectator enjoyed the game .	0.06432997435331345	performance_(0.10300174);game_(0.064329974);show_(0.057734955);play_(0.0528086);experience_(0.028227674);	3.637810550571885e-06
footballer	kick	ball	T	6.6	1.07	The footballer kicked the ball .	0.38936540484428406	ball_(0.3893654);football_(0.028237374);ground_(0.01909008);table_(0.013139447);bar_(0.011455513);	3.340313980970677e-07
chemist	sell	drug	T	4.45	2.48	The chemist sold the drug .	0.0030388885643333197	house_(0.0342653);company_(0.029127045);business_(0.024329942);property_(0.023694916);paper_(0.019120436);	9.09567916096421e-07
receiver	catch	baseball	T	4.75	2.28	The receiver caught the baseball .	3.273630136391148e-05	light_(0.09094204);sound_(0.05842602);call_(0.051948633);line_(0.034699827);receiver_(0.03122888);	6.477074521171744e-08
mother	push	stroller	T	6.1	1.41	The mother pushed the stroller .			
skater	ride	skateboard	T	6.25	1.55	The skater rode the skateboard .			
student	drink	coffee	T	4.95	1.66	The student drank the coffee .	0.038316529244184494	water_(0.11967597);wine_(0.09119658);tea_(0.051904693);beer_(0.046038587);drink_(0.04007477);	1.2964258111480831e-08
painter	mix	paint	T	6.35	1.59	The painter mixed the paint .	0.002044388558715582	colors_(0.072249785);two_(0.066622496);colours_(0.041258696);parts_(0.019045824);ingredients_(0.017234633);	1.2776638413924957e-06
child	chase	toy	T	6.1	1.34	The child chased the toy .	0.0006551629630848765	woman_(0.06509945);dog_(0.06361162);man_(0.062064797);boy_(0.04857122);child_(0.048524644);	2.9683155489124147e-08
comedian	entertain	audience	T	6.35	1.65	The comedian entertained the audience .	0.1755254864692688	audience_(0.17552549);guests_(0.102631316);crowd_(0.08324014);public_(0.06744065);children_(0.042595174);	1.2160794540250208e-06
musician	entertain	crowd	T	6.4	1.16	The musician entertained the crowd .	0.09126639366149902	crowd_(0.09126639);guests_(0.08297134);audience_(0.056678105);family_(0.038583383);children_(0.035906605);	1.4890645616105758e-05
woman	carry	bag	T	6.25	0.83	The woman carried the bag .	0.0604097917675972	bag_(0.06040979);baby_(0.059407186);child_(0.05605266);knife_(0.043582886);gun_(0.042176854);	5.3117222620358007e-08
cook	flip	pancake	T	6.3	0.9	The cook flipped the pancake .			
musician	touch	instrument	T	6.4	1.36	The musician touched the instrument .	0.01833244599401951	keys_(0.03993451);glass_(0.02868978);screen_(0.022906756);instrument_(0.018332446);piano_(0.014923858);	1.1624383944308647e-07
singer	hold	microphone	T	6.55	1.16	The singer held the microphone .	0.02529865689575672	title_(0.12714772);record_(0.060763724);position_(0.035529394);bet_(0.028954063);lead_(0.027544446);	1.7826026805778383e-06
porter	carry	bag	T	5.1	2.53	The porter carried the bag .	0.0048021478578448296	mail_(0.06803993);flag_(0.048683114);cargo_(0.038721576);luggage_(0.023018435);baggage_(0.012782179);	1.3459829517614708e-07
guest	hold	drink	T	5.3	1.42	The guest held the drink .	0.00180176948197186	key_(0.031395666);door_(0.021374138);candle_(0.021348553);cup_(0.01977437);throne_(0.018683348);	3.7810036701557692e-06
cameraman	record	video	T	6.85	0.48	The cameraman recorded the video .	0.03989822790026665	scene_(0.064507134);footage_(0.06138103);video_(0.039898228);film_(0.029936215);event_(0.028545566);	1.3619995797853335e-07
biker	start	motorcycle	T	6.15	1.8	The biker started the motorcycle .	0.06087683141231537	engine_(0.46850818);bike_(0.118646234);car_(0.088826165);motorcycle_(0.06087683);motor_(0.037620082);	1.348331437611705e-07
gardener	gather	grass	T	5.65	1.74	The gardener gathered the grass .	0.002370675327256322	flowers_(0.054744);ingredients_(0.029871058);vegetables_(0.026532724);food_(0.019417107);supplies_(0.01706009);	3.657698499637263e-08
dog	dig	hole	T	6.5	0.74	The dog dug the hole .	0.31883594393730164	hole_(0.31883594);grave_(0.10827981);dirt_(0.050087158);ground_(0.019581275);pit_(0.017307412);	1.5309319678635802e-06
refugee	find	shelter	T	6.0	1.55	The refugee found the shelter .	0.0038980867248028517	body_(0.017507914);book_(0.017365348);truth_(0.014167954);key_(0.011094607);cure_(0.009739823);	1.216765497247252e-07
lumberjack	cut	tree	T	6.55	1.32	The lumberjack cut the tree .	0.0025822327006608248	rope_(0.06648767);ropes_(0.045293156);engine_(0.02181543);reins_(0.017438684);meat_(0.017146103);	1.5714074834249914e-05
policeman	check	bag	T	5.55	1.5	The policeman checked the bag .	0.00708590866997838	room_(0.031526748);clock_(0.030373385);screen_(0.028426144);time_(0.0236899);watch_(0.015612261);	5.3117222620358007e-08
player	begin	match	T	5.7	1.49	The player began the match .	0.12134888023138046	game_(0.39136198);match_(0.12134888);round_(0.053530373);competition_(0.038861442);tournament_(0.026118468);	2.5875287974486127e-05
painter	complete	painting	T	6.35	1.49	The painter completed the painting .	0.2917480170726776	painting_(0.29174802);work_(0.212957);portrait_(0.05221249);mural_(0.025389567);composition_(0.022333188);	1.3991715377414948e-06
cat	chase	bird	T	5.85	1.39	The cat chased the bird .	0.020480765029788017	dog_(0.14220333);cat_(0.074277185);mouse_(0.06375205);man_(0.046422817);rabbit_(0.02806245);	2.5753497112646073e-09
child	visit	grandmother	T	5.95	1.72	The child visited the grandmother .	0.003022033255547285	house_(0.042761784);child_(0.023829112);village_(0.021307653);family_(0.016504738);grave_(0.015563626);	5.71513453451189e-07
programmer	describe	software	T	5.55	1.63	The programmer described the software .	0.011081990785896778	game_(0.083073564);situation_(0.021845814);problem_(0.0215235);algorithm_(0.019624563);process_(0.019206852);	1.4533355852108798e-08
child	draw	flower	T	4.95	1.72	The child drew the flower .	0.00027182174380868673	knife_(0.22398686);sword_(0.08554373);line_(0.07666409);dagger_(0.03979644);blade_(0.03650057);	1.0324035429221112e-05
poet	write	sonnet	T	5.8	1.33	The poet wrote the sonnet .			
president	deliver	speech	T	6.8	0.4	The president delivered the speech .	0.22674988210201263	speech_(0.22674988);address_(0.16806838);message_(0.10466291);statement_(0.037167475);order_(0.01760115);	1.0970755681682931e-07
climber	face	wall	T	5.5	2.04	The climber faced the wall .	0.03765758499503136	door_(0.056250762);wall_(0.037657585);window_(0.025788203);others_(0.025740707);fire_(0.024735624);	8.311786223202944e-05
child	pick	flower	T	5.4	1.46	The child picked the flower .	0.02065209299325943	lock_(0.09728244);one_(0.02160489);flower_(0.020652093);ball_(0.0152834905);apple_(0.014454395);	1.0324035429221112e-05
dog	pull	sled	T	5.05	1.86	The dog pulled the sled .			
mother	decorate	house	T	6.45	1.07	The mother decorated the house .	0.23589394986629486	house_(0.23589395);church_(0.048740786);room_(0.04481617);building_(0.03107646);chapel_(0.026177714);	3.310808097012341e-06
