SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat	LM	sentence	computed_score	best_completions	baseline_score
fisherman	catch	fish	sea	T	6.7	1.1	in	The fisherman caught the fish in the sea .	0.019729498773813248	river_(0.25175437);lake_(0.1143552);pond_(0.042765293);water_(0.038301855);creek_(0.025573319);	2.2987369163729454e-07
soldier	dig	trench	battlefield	T	5.7	1.76	in	The soldier dug the trench in the battlefield .	0.00038609595503658056	mud_(0.062879786);ground_(0.05333338);sand_(0.050462242);grass_(0.03924397);snow_(0.026006151);	1.0115230431040345e-08
child	draw	flower	school	T	6.35	1.01	at	The child drew the flower at the school .	0.0008064555004239082	end_(0.10965441);top_(0.038147412);bottom_(0.030927293);center_(0.028033927);ready_(0.02522944);	8.63331365508202e-07
singer	hold	microphone	stage	T	6.75	0.62	on	The singer held the microphone on the stage .	0.10733561217784882	floor_(0.115643926);stage_(0.10733561);table_(0.10175123);ground_(0.08277809);podium_(0.041706484);	2.437784587527858e-07
professor	deliver	lecture	university	T	6.65	0.65	at	The professor delivered the lecture at the university .	0.14627033472061157	university_(0.14627033);conference_(0.067551725);ceremony_(0.035868272);time_(0.031351198);college_(0.030452158);	3.708638729449376e-08
soldier	celebrate	victory	battlefield	T	5.6	1.85	in	The soldier celebrated the victory in the battlefield .	0.01805037446320057	village_(0.08516596);city_(0.038477432);field_(0.03640192);morning_(0.032316476);battle_(0.025905428);	1.0115230431040345e-08
carver	build	sculpture	workshop	T	6.2	0.75	in	The carver built the sculpture in the workshop .	0.005574778653681278	1930s_(0.06671914);1920s_(0.064146645);1970s_(0.06178856);1950s_(0.05785939);1960s_(0.045081913);	5.709337447257212e-09
philologist	examine	book	library	T	6.2	1.12	in	The philologist examined the book in the library .	0.009754126891493797	1950s_(0.116778865);1920s_(0.08976942);1970s_(0.08875819);1930s_(0.07800991);1960s_(0.04526974);	9.845314963286e-08
spectator	buy	ticket	box-office	T	6.55	0.59	in	The spectator bought the ticket in the box-office .			
cook	clean	fish	kitchen	T	6.7	0.71	in	The cook cleaned the fish in the kitchen .	0.03798695653676987	pan_(0.13702361);sink_(0.13541019);water_(0.05464215);bowl_(0.045075364);kitchen_(0.037986957);	2.3164253093455045e-07
mother	hang	laundry	terrace	T	5.65	1.24	in	The mother hung the laundry in the terrace .	3.701005698530935e-05	kitchen_(0.1640998);closet_(0.1480269);bathroom_(0.10296444);garage_(0.039930135);sink_(0.037471384);	4.20033856585178e-08
soldier	carry	rifle	battlefield	T	6.55	1.32	in	The soldier carried the rifle in the battlefield .	9.385048906551674e-05	hand_(0.11136103);back_(0.0779753);air_(0.034268077);bag_(0.022458557);belt_(0.02210297);	1.0115230431040345e-08
actor	win	award	theater	T	5.6	1.43	in	The actor won the award in the theater .	0.0003257503267377615	final_(0.100192495);ceremony_(0.07950346);finale_(0.055876784);category_(0.054761287);end_(0.05407408);	2.0265924050022477e-08
farmer	use	shovel	field	T	6.2	1.6	in	The farmer used the shovel in the field .	0.09425518661737442	field_(0.09425519);garden_(0.049243283);park_(0.02755825);barn_(0.026047321);past_(0.023254491);	8.77570016655227e-08
skater	ride	skateboard	sidewalk	T	6.15	1.49	on	The skater rode the skateboard on the sidewalk .	0.004598211497068405	ice_(0.18846186);floor_(0.038658265);track_(0.03729853);surface_(0.026711762);board_(0.022215435);	4.9573221083676344e-09
programmer	use	computer	office	T	6.65	1.11	in	The programmer used the computer in the office .	0.003971606492996216	game_(0.22233167);film_(0.049146667);movie_(0.030152256);story_(0.029916868);program_(0.015245297);	1.7186864154083992e-09
sailor	tie	rope	boat	T	6.2	1.5	on	The sailor tied the rope on the boat .	0.04144866392016411	rope_(0.08926295);hook_(0.050067537);boat_(0.041448664);floor_(0.034733128);deck_(0.027845183);	2.466322825966927e-07
cook	mix	ingredients	kitchen	T	6.85	0.36	in	The cook mixed the ingredients in the kitchen .	0.057331234216690063	pot_(0.08918173);pan_(0.0647482);soup_(0.06198996);kitchen_(0.057331234);sauce_(0.0504208);	2.3164253093455045e-07
policeman	hit	demonstrator	square	T	4.55	1.99	in	The policeman hit the demonstrator in the square .	0.00014541503333020955	head_(0.20916197);face_(0.18491215);chest_(0.06490761);shoulder_(0.05543842);back_(0.054061152);	1.029979557642946e-06
guard	tie	prisoner	jail	T	5.7	1.85	in	The guard tied the prisoner in the jail .	0.0020650236401706934	back_(0.07218179);head_(0.06390617);neck_(0.037593875);stomach_(0.03631949);arm_(0.03236832);	2.524347619825562e-09
demonstrator	throw	stone	street	T	5.7	1.0	in	The demonstrator threw the stone in the street .	0.01465584896504879	air_(0.4743487);water_(0.05166707);fire_(0.04016099);river_(0.032643087);trash_(0.017854385);	1.3451810900733108e-06
student	read	book	library	T	6.5	0.5	in	The student read the book in the library .	0.036817580461502075	morning_(0.06204538);classroom_(0.04267042);hall_(0.04003071);hallway_(0.03688942);library_(0.03681758);	1.0087549640047655e-07
pyromaniac	start	fire	forest	T	4.2	2.32	in	The pyromaniac started the fire in the forest .	0.00783569272607565	kitchen_(0.079577595);house_(0.06923058);basement_(0.06726204);room_(0.04207802);building_(0.032487508);	1.697653040366731e-08
author	sign	book	bookshop	T	5.75	1.76	at	The author signed the book at the bookshop .			
horse	move	cart	field	T	5.1	1.79	in	The horse moved the cart in the field .	0.009267216548323631	direction_(0.37663305);distance_(0.07910054);wind_(0.031694442);dark_(0.031215057);air_(0.027280396);	7.362226028817531e-08
businessman	wear	tie	office	T	6.45	1.2	in	The businessman wore the tie in the office .	0.024237973615527153	suit_(0.07435424);morning_(0.03329513);front_(0.028016033);mirror_(0.027615558);lobby_(0.027499685);	1.7186864154083992e-09
doctor	visit	patient	clinic	T	6.1	1.34	at	The doctor visited the patient at the clinic .	0.029140127822756767	hospital_(0.6079748);clinic_(0.029140128);time_(0.023593375);house_(0.014764218);scene_(0.011058784);	1.7463055002053807e-08
politician	sign	agreement	parliament	T	6.05	1.2	in	The politician signed the agreement in the parliament .	0.006483694538474083	morning_(0.36549354);afternoon_(0.056886457);evening_(0.054703414);street_(0.021938354);night_(0.018542731);	2.789343156450741e-08
gardener	push	mower	garden	T	6.05	1.91	in	The gardener pushed the mower in the garden .	0.032192662358284	corner_(0.063115284);door_(0.052223507);back_(0.0475315);air_(0.040300895);direction_(0.036822755);	7.028119597407567e-08
guest	hold	drink	bar	T	6.05	1.2	in	The guest held the drink in the bar .	0.005552574060857296	air_(0.5110195);hand_(0.063644275);glass_(0.036969233);cup_(0.031862237);middle_(0.0141344005);	2.693148282162383e-08
businessman	read	report	office	T	6.65	0.57	in	The businessman read the report in the office .	0.006516617257148027	paper_(0.12445655);newspaper_(0.064702936);air_(0.035812974);papers_(0.03344002);mirror_(0.031824082);	1.7186864154083992e-09
tourist	read	map	street	T	6.2	1.63	in	The tourist read the map in the street .	0.003016494447365403	book_(0.05767541);air_(0.050546896);dark_(0.035601508);distance_(0.031525433);paper_(0.026608948);	1.3200236708144075e-06
illusionist	perform	trick	circus	T	6.1	1.41	in	The illusionist performed the trick in the circus .	0.0020931933540850878	studio_(0.038960453);audience_(0.02925242);nude_(0.026428467);morning_(0.02046431);evening_(0.019820303);	3.85979284089899e-08
soldier	throw	bomb	battlefield	T	6.45	0.92	in	The soldier threw the bomb in the battlefield .	0.00018318356887903064	street_(0.12795486);air_(0.09559242);water_(0.025298303);river_(0.02294323);car_(0.022452975);	1.0115230431040345e-08
librarian	stack	books	shelf	T	6.4	0.58	on	The librarian stacked the books on the shelf .	0.0684259831905365	table_(0.3369661);desk_(0.17486656);shelves_(0.13954921);floor_(0.10819663);shelf_(0.06842598);	3.102710977032075e-08
champion	hold	cup	podium	T	6.5	0.87	on	The champion held the cup on the podium .	0.08891617506742477	table_(0.14571221);podium_(0.088916175);ground_(0.061140634);line_(0.039787512);pole_(0.033410635);	6.635517735276153e-08
porter	stack	suitcases	lobby	T	5.0	2.43	in	The porter stacked the suitcases in the lobby .	0.002407892607152462	trunk_(0.14062491);corner_(0.12351329);cart_(0.07567091);basket_(0.05361201);back_(0.029378582);	2.5650112589481466e-10
deejay	mix	music	discotheque	T	6.25	1.61	at	The deejay mixed the music at the discotheque .			
athlete	win	cup	stadium	T	5.45	1.63	in	The athlete won the cup in the stadium .	5.75302547076717e-05	final_(0.61057884);finals_(0.07201334);semifinals_(0.03665797);end_(0.03301822);semifinal_(0.027117988);	5.496385568903861e-08
violinist	wear	tuxedo	theater	T	5.35	1.88	in	The violinist wore the tuxedo in the theater .	0.001919287838973105	background_(0.08408246);film_(0.0316949);lobby_(0.029577514);picture_(0.027579375);movie_(0.02686317);	2.5555500826612843e-08
tourist	ride	camel	desert	T	5.25	1.64	in	The tourist rode the camel in the desert .	0.01368794310837984	park_(0.09917858);back_(0.05676682);morning_(0.051292278);air_(0.026299966);dark_(0.024300538);	4.56714310814732e-09
spectator	watch	game	stadium	T	6.9	0.44	at	The spectator watched the game at the stadium .	0.0547381266951561	table_(0.06524927);stadium_(0.054738127);window_(0.05444865);bar_(0.033258945);television_(0.030093843);	3.172663554096289e-08
hairstylist	wash	hair	salon	T	5.75	1.41	at	The hairstylist washed the hair at the salon .	0.18337059020996094	salon_(0.18337059);sink_(0.110743396);end_(0.051462997);mirror_(0.033911027);ready_(0.026381163);	4.895170135910121e-08
lumberjack	stack	wood	truck	T	5.35	1.49	on	The lumberjack stacked the wood on the truck .	0.0014324573567137122	table_(0.17917164);floor_(0.15151541);ground_(0.10917535);desk_(0.061156724);counter_(0.046051472);	1.215999958503744e-07
child	visit	grandmother	hospice	T	4.85	1.59	at	The child visited the grandmother at the hospice .			
teacher	use	blackboard	classroom	T	6.9	0.3	in	The teacher used the blackboard in the classroom .	0.3628796339035034	classroom_(0.36287963);school_(0.051372632);class_(0.024615124);classrooms_(0.019600479);game_(0.01817888);	1.28733024240546e-09
singer	perform	music	stage	T	6.6	0.97	on	The singer performed the music on the stage .	0.0588885135948658	show_(0.151512);song_(0.11235077);album_(0.09428576);track_(0.09388826);radio_(0.071394004);	2.437784587527858e-07
doctor	sew	wound	clinic	T	5.65	1.42	in	The doctor sewed the wound in the clinic .	0.0006596426828764379	bag_(0.03620542);wound_(0.021048343);handkerchief_(0.019915346);abdomen_(0.019576991);chest_(0.01935779);	1.3063470305496594e-08
chemist	sell	drug	pharmacy	T	5.6	1.74	at	The chemist sold the drug at the pharmacy .	0.011514239944517612	hospital_(0.12527797);time_(0.07869988);hotel_(0.03593397);bank_(0.034481812);market_(0.030161971);	2.4540861431887606e-06
climber	use	rope	mountain	T	6.3	1.42	on	The climber used the rope on the mountain .	0.009568789973855019	climb_(0.07345793);top_(0.069030106);ascent_(0.032856993);ground_(0.032463823);descent_(0.024527306);	5.665680760102987e-07
professor	open	congress	university	T	5.1	1.79	at	The professor opened the congress at the university .	0.10144691169261932	university_(0.10144691);University_(0.026360432);palace_(0.02609184);library_(0.016707866);school_(0.014569183);	3.708638729449376e-08
violinist	play	violin	theater	T	5.4	2.03	in	The violinist played the violin in the theater .	0.001353065948933363	film_(0.09069764);orchestra_(0.08034522);background_(0.07277578);song_(0.04059136);play_(0.031840023);	2.0265924050022477e-08
passenger	pass	check	airport	T	4.15	2.22	at	The passenger passed the check at the airport .	0.005586966872215271	counter_(0.15944806);table_(0.13738243);door_(0.079032995);desk_(0.059132267);bank_(0.050395932);	6.121366746825174e-10
sailor	mop	deck	boat	T	6.3	1.23	on	The sailor mopped the deck on the boat .	0.004382595885545015	way_(0.46215954);floor_(0.021018773);left_(0.019238476);other_(0.01448915);spot_(0.012930175);	2.3164699314293102e-07
surgeon	perform	surgery	hospital	T	6.45	1.32	at	The surgeon performed the surgery at the hospital .	0.46434783935546875	hospital_(0.46434784);airport_(0.038834155);clinic_(0.034313176);station_(0.034087896);site_(0.032819454);	1.0530832241784083e-06
passenger	pull	suitcase	station	T	6.25	1.13	at	The passenger pulled the suitcase at the station .	0.00023658585269004107	door_(0.1302226);waist_(0.11463207);back_(0.08638066);side_(0.07345631);shoulder_(0.052279223);	1.0848710729760569e-07
waiter	prepare	drink	bar	T	6.15	1.62	in	The waiter prepared the drink in the bar .	0.012578794732689857	kitchen_(0.30715972);sink_(0.056153666);corner_(0.05562387);microwave_(0.044468123);refrigerator_(0.030065233);	2.693148282162383e-08
farmer	pick	vegetables	greenhouse	T	4.75	2.14	in	The farmer picked the vegetables in the greenhouse .	0.006006526295095682	garden_(0.08718363);basket_(0.057697777);field_(0.052040912);kitchen_(0.03618936);bowl_(0.034094);	3.28561213791545e-08
guard	open	jail	prison	T	6.35	0.91	in	The guard opened the jail in the prison .	0.0005335970781743526	morning_(0.3082484);afternoon_(0.05849167);night_(0.05524935);courtyard_(0.044001512);dark_(0.030989502);	1.285456647792671e-07
terrorist	release	hostage	desert	T	4.15	1.31	in	The terrorist released the hostage in the desert .	0.006302275229245424	street_(0.062997006);hospital_(0.053567447);car_(0.03903118);morning_(0.03693872);cell_(0.0245321);	7.38716199322198e-09
cameraman	record	video	set	T	6.35	1.01	on	The cameraman recorded the video on the set .	0.015990419313311577	phone_(0.11578374);internet_(0.060163956);Internet_(0.0513798);camera_(0.050107904);wall_(0.03669523);	0.00024554049014113843
customer	read	menu	restaurant	T	6.65	0.91	at	The customer read the menu at the restaurant .	0.002014427212998271	table_(0.28728703);counter_(0.2712922);bar_(0.15806882);door_(0.04929801);top_(0.03550833);	1.4867752895497688e-07
nurse	push	wheelchair	hospital	T	5.9	1.37	at	The nurse pushed the wheelchair at the hospital .	0.001727801631204784	door_(0.35185173);table_(0.06116751);window_(0.0405292);bed_(0.03273836);desk_(0.022200566);	1.0530832241784083e-06
nurse	wash	infant	hospital	T	6.15	1.56	at	The nurse washed the infant at the hospital .	0.04672743380069733	sink_(0.14333504);table_(0.06550595);hospital_(0.046727434);beach_(0.044438627);door_(0.03152499);	1.0530832241784083e-06
binman	pick	trash	street	T	6.25	1.13	in	The binman picked the trash in the street .	0.010186652652919292	corner_(0.17166388);bin_(0.13453148);trash_(0.074879974);garbage_(0.041214537);air_(0.033809263);	7.704252311668824e-07
student	pass	exam	university	T	6.35	1.01	at	The student passed the exam at the university .	0.052371781319379807	end_(0.14696352);test_(0.08682739);graduation_(0.06985938);exam_(0.06478824);university_(0.05237178);	3.708638729449376e-08
singer	record	song	studio	T	6.95	0.22	in	The singer recorded the song in the studio .	0.17777252197265625	studio_(0.17777252);UK_(0.12129798);US_(0.0822995);1970s_(0.07854392);Philippines_(0.07520818);	3.004188044997136e-07
smuggler	sell	weapon	black-market	T	6.1	0.94	on	The smuggler sold the weapon on the black-market .			
soldier	wear	helmet	battlefield	T	6.8	0.4	in	The soldier wore the helmet in the battlefield .	0.0019217546796426177	morning_(0.04091736);past_(0.028208552);war_(0.027939828);end_(0.026904033);front_(0.023898315);	1.0115230431040345e-08
surfer	wear	swimsuit	beach	T	6.5	0.92	at	The surfer wore the swimsuit at the beach .	0.10457491129636765	time_(0.23352171);end_(0.115776286);beach_(0.10457491);start_(0.03164245);front_(0.029733155);	7.431766135823636e-08
bodybuilder	lift	weight	gym	T	5.25	2.28	at	The bodybuilder lifted the weight at the gym .	0.0004343974287621677	waist_(0.15878397);top_(0.057762228);ready_(0.05434696);hip_(0.050442655);door_(0.041682657);	9.722799632072565e-08
dog	pull	sled	mountain	T	4.4	1.91	up	The dog pulled the sled up the mountain .	0.045867737382650375	hill_(0.40525088);slope_(0.08143338);steps_(0.06514906);stairs_(0.06424658);mountain_(0.045867737);	5.665680760102987e-07
child	throw	snowball	courtyard	T	5.25	1.92	in	The child threw the snowball in the courtyard .	0.0003731400356628001	air_(0.4163679);snow_(0.10628115);water_(0.035695083);fire_(0.025343196);wind_(0.022341501);	6.351829284767518e-09
undertaker	dig	grave	cemetery	T	6.55	0.97	in	The undertaker dug the grave in the cemetery .	0.015722233802080154	1950s_(0.05159101);garden_(0.042729925);spring_(0.033009145);morning_(0.031667903);1970s_(0.030412814);	4.8010210775828455e-06
student	wear	jeans	pub	T	6.05	0.86	in	The student wore the jeans in the pub .	0.0003700454835779965	morning_(0.045122646);bathroom_(0.029753227);gym_(0.025641646);classroom_(0.02514888);back_(0.02497181);	3.683114755403949e-07
housewife	clean	table	kitchen	T	6.95	0.22	in	The housewife cleaned the table in the kitchen .	0.6382277607917786	kitchen_(0.63822776);corner_(0.062079147);parlor_(0.029267231);hall_(0.02228305);den_(0.01927018);	2.605294469049113e-07
mechanic	fix	tire	garage	T	6.65	0.65	in	The mechanic fixed the tire in the garage .	0.05250629782676697	car_(0.09828768);back_(0.06858106);garage_(0.052506298);truck_(0.026746945);front_(0.025516247);	5.479316769196885e-07
dog	dig	hole	garden	T	6.45	0.8	in	The dog dug the hole in the garden .	0.0005759597988799214	ground_(0.13902299);floor_(0.12954958);wall_(0.10360042);dirt_(0.036496315);rock_(0.027639415);	1.6090076826458244e-07
artist	hang	picture	gallery	T	6.55	0.86	in	The artist hung the picture in the gallery .	0.01971612684428692	window_(0.14551513);closet_(0.10139429);corner_(0.08294437);attic_(0.046977762);wall_(0.042822435);	8.395090844715014e-08
musician	hold	guitar	stage	T	6.8	0.4	on	The musician held the guitar on the stage .	0.019382383674383163	table_(0.29344574);floor_(0.14875433);ground_(0.07650129);desk_(0.02792669);stage_(0.019382384);	2.437784587527858e-07
journalist	write	article	newsroom	T	6.6	0.49	in	The journalist wrote the article in the newsroom .			
dog	chase	ball	park	T	6.5	0.59	at	The dog chased the ball at the park .	0.005228518042713404	fence_(0.028638797);ball_(0.028074937);dog_(0.025655767);table_(0.023840664);tree_(0.02232705);	1.934378168755302e-08
soldier	hang	rifle	armory	T	6.0	0.77	in	The soldier hung the rifle in the armory .			
painter	paint	picture	square	T	5.8	0.98	in	The painter painted the picture in the square .	0.0009587517706677318	church_(0.053433336);chapel_(0.03941949);morning_(0.03895515);studio_(0.026464136);afternoon_(0.023529274);	1.0668937875379925e-06
gardener	gather	grass	garden	T	6.7	0.56	in	The gardener gathered the grass in the garden .	0.11888383328914642	garden_(0.11888383);corner_(0.06871898);yard_(0.06410917);middle_(0.04105531);basket_(0.037127893);	1.04417459567685e-07
cheerleader	shake	flag	stadium	T	5.95	1.24	in	The cheerleader shook the flag in the stadium .	6.108428351581097e-05	air_(0.92068076);breeze_(0.021821992);wind_(0.019514859);crowd_(0.0031836752);water_(0.0026135978);	3.172663554096289e-08
sculptor	carve	stone	workshop	T	5.85	1.53	in	The sculptor carved the stone in the workshop .	0.0004183372075203806	stone_(0.10708427);wood_(0.06275696);temple_(0.024908109);rock_(0.023272596);church_(0.022393763);	3.153343586248525e-09
teenager	hear	music	bus	T	5.95	0.8	on	The teenager heard the music on the bus .	0.001711578923277557	radio_(0.21766357);piano_(0.069451);phone_(0.058029585);TV_(0.051849928);television_(0.048121706);	5.5287543432314123e-08
ant	stack	supply	burrow	T	5.2	1.83	in	The ant stacked the supply in the burrow .			
mother	push	stroller	sidewalk	T	5.6	1.85	on	The mother pushed the stroller on the sidewalk .	0.0076189846731722355	floor_(0.45702556);table_(0.062042207);counter_(0.051226065);ground_(0.04729258);bed_(0.025553463);	6.165563171123267e-09
spectator	hear	speech	auditorium	T	6.4	0.97	in	The spectator heard the speech in the auditorium .	0.014230899512767792	hall_(0.08227895);street_(0.06755526);audience_(0.06027544);background_(0.050915107);courtroom_(0.047691714);	5.434528382863846e-10
gardener	decorate	garden	mansion	T	4.9	1.79	in	The gardener decorated the garden in the mansion .	0.000614627730101347	evening_(0.11137482);morning_(0.1048678);afternoon_(0.056837514);1920s_(0.04467806);1930s_(0.034016024);	9.313520621390126e-08
