SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
hairstylist	flip	hair	fork	AT	1.3	0.9	The hairstylist flipped the hair with the fork .	0.00014580535935238004	scissors_(0.06740795);help_(0.051756073);same_(0.02345858);most_(0.019784572);hair_(0.014949453);	1.0512196695344755e-06
porter	carry	bag	tractor	AT	1.1	0.3	The porter carried the bag with the tractor .	3.1844389013713226e-05	two_(0.012864402);money_(0.010104551);contents_(0.00967654);bag_(0.0086875055);three_(0.00790373);	7.472922902707069e-08
child	cross	park	truck	AT	1.8	1.44	The child crossed the park with the truck .	0.001616396475583315	help_(0.045964565);mother_(0.0247877);child_(0.024385536);other_(0.02374009);boy_(0.023737013);	3.0575114351449884e-07
soldier	cross	river	lifeboat	AT	4.15	2.35	The soldier crossed the river with the lifeboat .			
farmer	plow	field	bicycle	AT	2.45	2.25	The farmer plowed the field with the bicycle .	0.00024142919573932886	tractor_(0.11652925);help_(0.030395225);pl_(0.013912126);same_(0.013680356);shovel_(0.013251971);	7.184987538266796e-08
hairstylist	fix	hair	plaster	AT	3.55	2.77	The hairstylist fixed the hair with the plaster .	4.32131091656629e-05	help_(0.09754859);same_(0.052364796);most_(0.030666);best_(0.02436899);hair_(0.021727705);	5.143909334037744e-07
fisherman	catch	fish	hammer	AT	1.2	0.4	The fisherman caught the fish with the hammer .	0.0017535013612359762	hook_(0.048380118);net_(0.036074497);help_(0.028568428);rod_(0.013958557);aid_(0.01263458);	4.37173326872653e-07
gardener	cut	grass	knife	AT	2.55	2.09	The gardener cut the grass with the knife .	0.026962989941239357	blade_(0.054542836);scissors_(0.04175982);help_(0.032166254);knife_(0.02696299);garden_(0.016888462);	2.1004618702136213e-06
author	sign	book	needle	AT	1.4	1.32	The author signed the book with the needle .	1.5028712368803099e-05	title_(0.10228402);words_(0.06985709);following_(0.03386894);help_(0.031931706);phrase_(0.018459938);	1.309218532696832e-06
general	gather	soldier	stick	AT	2.6	1.98	The general gathered the soldier with the stick .	0.0015701578231528401	sword_(0.03795621);rifle_(0.031172184);gun_(0.013675695);knife_(0.01237345);bow_(0.011937257);	5.857076757820323e-06
photographer	capture	image	brush	AT	1.95	1.75	The photographer captured the image with the brush .	7.93590079410933e-05	help_(0.10870512);camera_(0.0315964);lens_(0.02229828);iPhone_(0.016469719);aid_(0.015255725);	5.473355031426763e-06
barber	cut	beard	machete	AT	1.15	0.36	The barber cut the beard with the machete .			
mechanic	assemble	bicycle	tape	AT	3.0	1.84	The mechanic assembled the bicycle with the tape .	0.00015414600784424692	help_(0.21164912);assistance_(0.042427547);aid_(0.02851843);intention_(0.025268627);same_(0.012929999);	2.535162366257282e-06
waiter	deliver	drink	van	AT	2.25	1.84	The waiter delivered the drink with the van .	1.5030637769086752e-05	same_(0.029592853);help_(0.014864904);words_(0.013937356);waiter_(0.011477245);most_(0.010661141);	5.254058237369463e-07
climber	climb	rock	ladder	AT	3.45	2.33	The climber climbed the rock with the ladder .	0.0005596361006610096	aid_(0.1753194);help_(0.15322694);assistance_(0.03536458);intention_(0.031226281);rope_(0.018848162);	2.718454652494984e-07
lumberjack	cut	tree	scissors	AT	2.45	2.25	The lumberjack cut the tree with the scissors .	0.004123980645090342	axe_(0.07669514);ax_(0.0243273);same_(0.017512407);knife_(0.016553365);most_(0.016460422);	2.0421805402293103e-07
butcher	carve	meat	lancet	AT	3.5	2.16	The butcher carved the meat with the lancet .			
mechanic	check	tire	microscope	AT	1.1	0.3	The mechanic checked the tire with the microscope .	2.750516614469234e-05	tire_(0.054043356);brake_(0.025395596);engine_(0.0146453455);car_(0.013652213);oil_(0.012161257);	4.820938193006441e-05
guard	open	jail	lighter	AT	1.55	1.43	The guard opened the jail with the lighter .	8.840647205943242e-05	help_(0.104897775);intention_(0.023634829);aid_(0.018863177);force_(0.018275289);sound_(0.017634943);	9.873000550442157e-08
carver	build	sculpture	pencil	AT	2.9	2.02	The carver built the sculpture with the pencil .	5.2853982197120786e-05	help_(0.24975649);intention_(0.10504752);aim_(0.038190518);idea_(0.03449015);goal_(0.03127405);	6.079451964069449e-08
archer	release	arrow	rope	AT	4.75	2.41	The archer released the arrow with the rope .	0.0005617598653770983	arrow_(0.059581857);intent_(0.03827864);words_(0.031280756);intention_(0.027831867);bow_(0.021580271);	1.0248990065520047e-06
illustrator	draw	picture	sponge	AT	4.15	2.59	The illustrator drew the picture with the sponge .	1.2007796613033861e-05	words_(0.037970968);help_(0.028848466);caption_(0.026045322);intention_(0.014358157);idea_(0.013376945);	2.2518559461559562e-08
mason	mix	cement	spoon	AT	3.45	2.48	The mason mixed the cement with the spoon .	4.392137270770036e-05	cement_(0.05728545);water_(0.03381747);lime_(0.033787813);mortar_(0.028776377);concrete_(0.028472386);	2.4969833134491637e-07
climber	face	wall	shovel	AT	2.6	2.11	The climber faced the wall with the shovel .	6.604253576369956e-05	aid_(0.094411);help_(0.04164288);rope_(0.023614345);first_(0.016188705);assistance_(0.013592584);	8.286134445256721e-09
cobbler	fix	shoe	fork	AT	2.45	2.18	The cobbler fixed the shoe with the fork .	0.0007338256691582501	help_(0.03683554);same_(0.029146647);hammer_(0.016100483);shoe_(0.015875315);sole_(0.014467217);	1.0512196695344755e-06
housemaid	wash	floor	flag	AT	2.75	2.43	The housemaid washed the floor with the flag .	0.0001092206293833442	bath_(0.027132606);soap_(0.025479782);help_(0.0247396);towel_(0.019914044);water_(0.019757112);	1.6549865904380567e-06
chemist	mix	substance	trowel	AT	3.9	2.34	The chemist mixed the substance with the trowel .			
veterinarian	examine	dog	telescope	AT	1.15	0.36	The veterinarian examined the dog with the telescope .	0.0003529630193952471	help_(0.024996983);dog_(0.023721261);blood_(0.018776376);cat_(0.007569055);aid_(0.0074811587);	2.0855525235674577e-06
policeman	capture	thief	fork	AT	2.1	1.76	The policeman captured the thief with the fork .	0.0006943821790628135	stolen_(0.05421864);gun_(0.046856854);camera_(0.036708284);knife_(0.032004345);police_(0.016654257);	1.283000869989337e-06
confectioner	decorate	cake	stapler	AT	1.8	1.66	The confectioner decorated the cake with the stapler .			
scoutmaster	assemble	tent	glue	AT	2.9	1.64	The scoutmaster assembled the tent with the glue .	5.225409404374659e-05	help_(0.10587289);aid_(0.052207746);best_(0.017564824);rest_(0.0125098);intention_(0.012384259);	4.984261181562033e-08
botanist	examine	plant	hammer	AT	2.05	1.86	The botanist examined the plant with the hammer .	5.0156217184849083e-05	help_(0.22605327);aid_(0.04943014);assistance_(0.02547126);microscope_(0.01702847);aim_(0.016021928);	3.412222326915071e-07
milkman	carry	bottle	helicopter	AT	2.4	2.35	The milkman carried the bottle with the helicopter .	7.999121407920029e-06	milk_(0.021743981);letter_(0.016776316);bottle_(0.013854254);red_(0.013735328);white_(0.012031826);	3.8325429159158375e-06
postman	deliver	mail	airplane	AT	2.05	1.56	The postman delivered the mail with the airplane .	5.219199465500424e-06	message_(0.040058307);letter_(0.022274723);package_(0.019039502);address_(0.018793868);delivery_(0.014554388);	1.4844218076959237e-09
housemaid	clean	dish	hydrant	AT	4.15	2.65	The housemaid cleaned the dish with the hydrant .			
waiter	open	bottle	pen	AT	1.85	1.8	The waiter opened the bottle with the pen .	0.0005336072063073516	tip_(0.056053177);same_(0.028167466);bottle_(0.022504399);intention_(0.0148725705);glass_(0.0143179875);	1.3259750630822964e-05
cook	clean	fish	sponge	AT	3.7	2.61	The cook cleaned the fish with the sponge .	0.0020521001424640417	fish_(0.034125462);help_(0.03014228);same_(0.0268935);knife_(0.021998454);aid_(0.017379124);	3.7457017043607266e-08
policeman	hit	demonstrator	spoon	AT	2.15	1.88	The policeman hit the demonstrator with the spoon .	8.917233208194375e-05	bat_(0.42308274);hammer_(0.017972691);butt_(0.013280268);m_(0.013034737);gun_(0.011997174);	2.4969833134491637e-07
mother	hang	laundry	nails	AT	3.2	2.14	The mother hung the laundry with the nails .	0.00036256154999136925	clothes_(0.080732375);baby_(0.04708108);laundry_(0.045608878);kids_(0.021931013);other_(0.0193771);	2.0967640956826017e-09
mason	fix	wall	hairdryer	AT	1.6	1.66	The mason fixed the wall with the hairdryer .			
surgeon	perform	surgery	compass	AT	1.05	0.22	The surgeon performed the surgery with the compass .	1.1192655620106962e-06	help_(0.20225704);goal_(0.03885228);patient_(0.032906905);aim_(0.03136479);assistance_(0.024404941);	9.0383842632491e-08
philologist	examine	book	stethoscope	AT	2.3	1.79	The philologist examined the book with the stethoscope .			
cook	mix	ingredient	knife	AT	3.15	2.01	The cook mixed the ingredient with the knife .	0.000698224117513746	water_(0.033398602);butter_(0.026912393);oil_(0.025336694);rest_(0.020851098);sauce_(0.01900108);	2.5772610570129473e-06
