SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
athlete	celebrate	victory	competition	T	after	6.8	0.4	The athlete celebrated the victory after the competition .	0.0034502113703638315	game_(0.11297331);race_(0.07626739);match_(0.07306024);final_(0.060120642);first_(0.018215014);	1.6891027598830988e-07
guest	hang	coat	party	T	during	5.8	1.25	The guest hung the coat during the party .	0.011035200208425522	interview_(0.034776177);ceremony_(0.025523284);dinner_(0.018743172);show_(0.017328123);first_(0.016555943);	8.956614010457997e-07
professor	deliver	lecture	conference	T	during	5.7	1.65	The professor delivered the lecture during the conference .	0.004822500050067902	annual_(0.04401722);first_(0.037563562);opening_(0.027231425);second_(0.022469278);University_(0.01595634);	6.218570433702553e-06
priest	celebrate	marriage	mass	T	during	4.85	1.98	The priest celebrated the marriage during the mass .	0.03134157881140709	Mass_(0.104286276);service_(0.06665505);feast_(0.039969523);mass_(0.03134158);ceremony_(0.026231458);	1.4686520444229245e-07
player	gather	balls	training	T	after	5.75	1.18	The player gathered the balls after the training .	0.0007639020914211869	game_(0.07474492);match_(0.06829633);first_(0.06588068);ball_(0.06275549);final_(0.028987845);	6.621283318963833e-06
footballer	chase	ball	match	T	during	6.1	1.58	The footballer chased the ball during the match .	0.13326895236968994	match_(0.13326895);game_(0.09679456);second_(0.039632987);first_(0.028924525);final_(0.024479847);	3.937612200388685e-05
candidate	celebrate	victory	poll	T	after	5.8	1.21	The candidate celebrated the victory after the poll .	0.009684116579592228	results_(0.10081924);election_(0.0688488);vote_(0.059622325);final_(0.038650155);polls_(0.03016123);	0.0003953784180339426
speaker	entertain	audience	conference	T	during	5.95	1.53	The speaker entertained the audience during the conference .	0.006315447855740786	opening_(0.0815564);presentation_(0.031030275);event_(0.029850177);speech_(0.027368458);first_(0.022167541);	6.218570433702553e-06
thief	grab	money	robbery	T	during	6.85	0.36	The thief grabbed the money during the robbery .	0.20388321578502655	robbery_(0.20388322);night_(0.036114596);incident_(0.020746622);attack_(0.017175687);raid_(0.016464226);	3.4918659252980433e-07
undertaker	dig	grave	funeral	T	before	3.8	2.75	The undertaker dug the grave before the funeral .	0.07781259715557098	funeral_(0.0778126);body_(0.0441072);burial_(0.021970501);coffin_(0.0152836805);bodies_(0.0148903895);	1.0155397944799915e-07
soldier	cross	river	invasion	T	during	5.35	1.68	The soldier crossed the river during the invasion .	0.004493408836424351	night_(0.08705963);day_(0.041004065);battle_(0.036744032);attack_(0.02417411);first_(0.019878559);	1.6112095181597397e-05
musician	hold	guitar	concert	T	during	6.15	1.68	The musician held the guitar during the concert .	0.056538015604019165	concert_(0.056538016);performance_(0.055862702);show_(0.044639684);interview_(0.03226998);ceremony_(0.022774858);	2.0495418695531953e-08
waiter	carry	tray	lunch	T	during	6.0	1.41	The waiter carried the tray during the lunch .	0.04455672204494476	meal_(0.15830512);lunch_(0.044556722);dinner_(0.0436263);first_(0.01640101);wait_(0.014455963);	1.5065607095188227e-10
artist	hang	picture	exhibition	T	during	6.1	1.45	The artist hung the picture during the exhibition .	0.007463231682777405	opening_(0.029774142);annual_(0.022709806);first_(0.015702924);last_(0.012494177);show_(0.011147365);	4.055296358274063e-06
policeman	examine	car	search	T	during	6.65	0.48	The policeman examined the car during the search .	0.10251826792955399	search_(0.10251827);investigation_(0.075230345);arrest_(0.041231632);stop_(0.038843326);chase_(0.03882644);	0.007965496741235256
soldier	fight	enemy	battle	T	during	6.5	1.36	The soldier fought the enemy during the battle .	0.06585464626550674	Battle_(0.14413747);war_(0.078161374);battle_(0.065854646);Second_(0.039562237);First_(0.027317956);	8.121966675389558e-05
goalkeeper	catch	ball	match	T	during	6.3	1.31	The goalkeeper caught the ball during the match .	0.02802538126707077	second_(0.07443092);first_(0.068412215);game_(0.04100912);final_(0.028188355);match_(0.028025381);	3.937612200388685e-05
policeman	hit	demonstrator	demonstration	T	during	4.65	1.88	The policeman hit the demonstrator during the demonstration .	0.10845351964235306	demonstration_(0.10845352);protest_(0.07319433);clash_(0.04488777);confrontation_(0.04210868);clashes_(0.04051932);	1.0998467558920311e-07
musician	entertain	crowd	concert	T	during	6.8	0.4	The musician entertained the crowd during the concert .	0.07915153354406357	concert_(0.07915153);show_(0.054012083);performance_(0.051416155);opening_(0.049252905);event_(0.029206773);	2.0495418695531953e-08
dealer	check	car	purchase	T	before	6.2	1.25	The dealer checked the car before the purchase .	0.02551913447678089	sale_(0.18024617);auction_(0.06548486);buyer_(0.042647913);transaction_(0.033786472);car_(0.031823594);	2.683202637854265e-06
burglar	climb	wall	robbery	T	during	5.9	1.45	The burglar climbed the wall during the robbery .	0.07220368832349777	burglary_(0.08104217);robbery_(0.07220369);break_(0.06486336);attack_(0.061935563);night_(0.04548621);	2.751476984030887e-07
cat	chase	bird	hunting	T	during	6.05	1.6	The cat chased the bird during the hunting .	0.002041294937953353	chase_(0.15722737);incident_(0.06115586);attack_(0.04592469);fight_(0.032294802);flight_(0.028083056);	4.316002105042571e-06
housemaid	clean	dish	dinner	T	after	6.75	0.43	The housemaid cleaned the dish after the dinner .	0.05431966856122017	meal_(0.3076292);dinner_(0.05431967);wedding_(0.029498188);guests_(0.02850655);party_(0.016463747);	4.83258537353759e-11
skipper	assemble	sailboat	departure	T	before	5.3	1.62	The skipper assembled the sailboat before the departure .	0.0032581074628978968	boat_(0.029526442);start_(0.029024135);storm_(0.025856584);ship_(0.020828087);launch_(0.013569236);	8.34635205393397e-09
policeman	check	bag	control	T	during	6.55	1.02	The policeman checked the bag during the control .	6.815770029788837e-05	search_(0.16545527);raid_(0.050349485);arrest_(0.04475785);incident_(0.035283674);investigation_(0.02175307);	1.0768881111289375e-05
librarian	climb	ladder	inventory	T	during	5.45	1.56	The librarian climbed the ladder during the inventory .	1.5361554687842727e-05	day_(0.04922911);morning_(0.03938926);night_(0.03455729);lunch_(0.032680765);afternoon_(0.027036933);	3.604572384574567e-06
botanist	examine	plant	research	T	during	6.25	0.99	The botanist examined the plant during the research .	0.01283394917845726	day_(0.03285701);trip_(0.024856327);expedition_(0.022350872);first_(0.02035505);search_(0.017787613);	6.735824626957765e-06
student	drink	beer	night	T	during	4.85	1.59	The student drank the beer during the night .	0.02859053947031498	party_(0.036554467);game_(0.03195692);night_(0.02859054);fight_(0.02222187);class_(0.020397535);	2.489411826900323e-06
cyclist	fix	bike	training	T	after	6.15	0.85	The cyclist fixed the bike after the training .	9.408940240973607e-05	crash_(0.19110358);incident_(0.10339828);accident_(0.08948511);collision_(0.075564735);driver_(0.029420713);	6.621283318963833e-06
model	face	camera	service	T	during	5.0	2.02	The model faced the camera during the service .	0.00028352675144560635	interview_(0.055831734);shoot_(0.052200355);first_(0.023060614);press_(0.01739485);shooting_(0.014892914);	9.815592784434557e-05
horse	draw	carriage	wedding	T	during	3.6	2.01	The horse drew the carriage during the wedding .	0.0020454584155231714	night_(0.042625345);day_(0.028668439);morning_(0.024355289);first_(0.020115748);early_(0.01856121);	9.388862309833712e-08
skier	gain	speed	competition	T	during	6.45	1.4	The skier gained the speed during the competition .	0.006495969835668802	winter_(0.045252945);race_(0.025644276);first_(0.025557166);day_(0.021882894);final_(0.017682953);	1.2461624976367602e-07
soldier	celebrate	victory	battle	T	after	6.7	0.46	The soldier celebrated the victory after the battle .	0.05025141313672066	battle_(0.050251413);first_(0.021563452);attack_(0.016568124);final_(0.012393908);victory_(0.010520097);	8.121966675389558e-05
doctor	help	woman	childbirth	T	during	6.25	1.79	The doctor helped the woman during the childbirth .	0.0012191326823085546	surgery_(0.07866337);procedure_(0.058578644);attack_(0.037150577);operation_(0.034979172);emergency_(0.024122754);	3.60469698534871e-09
singer	begin	performance	concert	T	during	6.1	1.67	The singer began the performance during the concert .	0.004276366904377937	"opening_(0.04899572);song_(0.04017384);first_(0.03699943);second_(0.033778444);""_(0.025871182);"	2.0495418695531953e-08
photographer	capture	image	service	T	during	5.55	1.5	The photographer captured the image during the service .	0.00024629608378745615	first_(0.0190072);storm_(0.01478747);final_(0.0145641);night_(0.014197447);second_(0.012608025);	9.815592784434557e-05
milkman	carry	bottle	morning	T	during	6.45	1.12	The milkman carried the bottle during the morning .	0.011393153108656406	raid_(0.028250005);attack_(0.02466172);first_(0.01554636);day_(0.013552433);fight_(0.013378405);	1.682081347098574e-05
spectator	buy	ticket	exhibition	T	before	5.85	1.46	The spectator bought the ticket before the exhibition .	0.0009310700697824359	game_(0.23868969);match_(0.19063424);event_(0.051933125);start_(0.043467294);first_(0.036346003);	4.055296358274063e-06
child	build	snowman	winter	T	during	6.35	1.46	The child built the snowman during the winter .	0.13156168162822723	winter_(0.13156168);summer_(0.07217516);Christmas_(0.026397843);holiday_(0.023958612);snow_(0.022032004);	0.00019469686958473176
photographer	examine	camera	service	T	before	5.9	1.45	The photographer examined the camera before the service .	0.00041195121593773365	shoot_(0.17388462);shot_(0.073835514);shooting_(0.069247834);photo_(0.058168557);shots_(0.021813419);	9.815592784434557e-05
truck	hit	car	accident	T	during	5.9	0.94	The truck hit the car during the accident .	0.0221406277269125	crash_(0.08773841);rush_(0.03515943);collision_(0.030881666);incident_(0.030726556);accident_(0.022140628);	4.786439967574552e-05
dog	fetch	ball	game	T	during	6.15	1.15	The dog fetched the ball during the game .	0.08211282640695572	game_(0.08211283);first_(0.077981666);match_(0.051183);second_(0.041388273);final_(0.02275186);	2.467298872943502e-05
hiker	face	mountain	excursion	T	during	6.5	0.97	The hiker faced the mountain during the excursion .			
waiter	cut	cake	birthday	T	during	5.0	2.47	The waiter cut the cake during the birthday .	0.0030720303766429424	meal_(0.08379336);wedding_(0.063272744);ceremony_(0.031663463);party_(0.027778387);dinner_(0.017254312);	4.6032059231038147e-07
student	hear	lecture	course	T	during	6.0	1.3	The student heard the lecture during the course .	0.02619623951613903	first_(0.053032644);day_(0.04398473);morning_(0.037162267);lunch_(0.031244623);class_(0.027312405);	6.073479380575009e-05
speleologist	examine	cave	excursion	T	during	6.15	1.49	The speleologist examined the cave during the excursion .			
passenger	buy	ticket	departure	T	before	6.1	1.45	The passenger bought the ticket before the departure .	0.006737374234944582	flight_(0.1293793);plane_(0.08796957);train_(0.02860926);bus_(0.025405644);aircraft_(0.020760491);	1.1097393226577879e-08
mechanic	check	tire	race	T	before	6.8	0.51	The mechanic checked the tire before the race .	0.0672995075583458	car_(0.09554467);race_(0.06729951);driver_(0.024653118);test_(0.021619791);crash_(0.020518929);	7.0556765422225e-05
traveller	check	watch	departure	T	before	6.5	0.97	The traveller checked the watch before the departure .	0.03230777755379677	flight_(0.06400559);trip_(0.033909447);departure_(0.032307778);train_(0.021973573);plane_(0.02179858);	1.1097393226577879e-08
cheerleader	carry	flag	match	T	before	5.9	1.73	The cheerleader carried the flag before the match .	0.040826257318258286	game_(0.22931975);match_(0.040826257);start_(0.028988164);national_(0.028098436);football_(0.018712882);	3.23633685184177e-05
boxer	deliver	punch	fight	T	during	6.75	0.89	The boxer delivered the punch during the fight .	0.10957447439432144	fight_(0.109574474);second_(0.09737654);first_(0.053599074);fourth_(0.043563772);third_(0.041609775);	2.30212026508525e-06
guide	describe	monument	tour	T	during	6.5	1.12	The guide described the monument during the tour .	0.006866214331239462	first_(0.019452427);ceremony_(0.0143187195);campaign_(0.013330231);time_(0.013320064);day_(0.012657646);	1.1887342665772849e-08
mechanic	assemble	bicycle	race	T	before	3.5	2.44	The mechanic assembled the bicycle before the race .	0.030078981071710587	race_(0.030078981);bike_(0.028826652);crash_(0.02732878);event_(0.024059856);accident_(0.020285487);	7.0556765422225e-05
soldier	dig	trench	assault	T	before	5.75	2.0	The soldier dug the trench before the assault .	0.0042143892496824265	attack_(0.058355223);battle_(0.03785676);first_(0.019803533);enemy_(0.013705791);soldiers_(0.012690493);	1.31076158140786e-05
soldier	hear	command	mission	T	during	6.55	0.67	The soldier heard the command during the mission .	0.01041562668979168	attack_(0.09363513);battle_(0.06018983);assault_(0.037698895);night_(0.034099195);raid_(0.0331521);	0.0006440273718908429
mother	push	stroller	walk	T	during	6.45	0.67	The mother pushed the stroller during the walk .	0.008743132464587688	incident_(0.07689376);attack_(0.06885091);crash_(0.065650396);ride_(0.05345653);accident_(0.03205727);	0.00016310103819705546
child	open	present	birthday	T	during	6.65	1.31	The child opened the present during the birthday .	0.0016100781504064798	day_(0.032967057);evening_(0.02655331);visit_(0.024098614);night_(0.023005236);first_(0.020166969);	4.6032059231038147e-07
mason	fix	wall	earthquake	T	after	6.1	1.41	The mason fixed the wall after the earthquake .	0.022058973088860512	first_(0.03644465);fire_(0.031062601);earthquake_(0.022058973);storm_(0.017161466);wall_(0.016257202);	1.5067687400005525e-06
cameraman	record	video	documentary	T	during	6.85	0.36	The cameraman recorded the video during the documentary .	0.0001308069477090612	incident_(0.033193428);shooting_(0.027493764);attack_(0.018819198);first_(0.013198197);protest_(0.013119088);	1.1573452951552099e-07
swimmer	wear	goggles	competition	T	during	6.75	0.54	The swimmer wore the goggles during the competition .	0.03682050481438637	race_(0.17142676);swim_(0.043159343);event_(0.03920599);competition_(0.036820505);first_(0.0257502);	1.2461624976367602e-07
businessman	tie	necktie	meeting	T	before	6.25	0.77	The businessman tied the necktie before the meeting .	0.004064496140927076	attack_(0.0919404);shooting_(0.08106102);fight_(0.02233057);incident_(0.01993652);two_(0.017606001);	1.0542248674028087e-05
fighter	kick	opponent	match	T	during	6.2	0.87	The fighter kicked the opponent during the match .	0.017955578863620758	first_(0.12726736);fight_(0.11492035);second_(0.110132314);round_(0.08635947);bout_(0.048622485);	3.937612200388685e-05
traveller	check	bag	departure	T	before	6.7	0.56	The traveller checked the bag before the departure .	0.03400386869907379	flight_(0.26489022);trip_(0.065777615);plane_(0.055540107);departure_(0.03400387);bus_(0.029746173);	1.1097393226577879e-08
soldier	gather	ammunition	battle	T	before	6.65	0.48	The soldier gathered the ammunition before the battle .	0.023775463923811913	attack_(0.08753819);assault_(0.025321404);shooting_(0.024615105);battle_(0.023775464);explosion_(0.014727199);	8.121966675389558e-05
patient	report	symptom	examination	T	during	6.5	1.12	The patient reported the symptom during the examination .	0.02241060882806778	first_(0.10468086);course_(0.042960282);morning_(0.039998807);night_(0.027652303);last_(0.026727);	2.6004741471297166e-07
surgeon	examine	patient	surgery	T	before	6.75	0.43	The surgeon examined the patient before the surgery .	0.16587945818901062	operation_(0.4321997);surgery_(0.16587946);procedure_(0.16240074);transplant_(0.007401652);accident_(0.0046751495);	2.798625428113155e-05
witness	explain	circumstances	interrogatory	T	during	5.75	1.87	The witness explained the circumstances during the interrogatory .			
refugee	find	shelter	war	T	during	6.1	1.14	The refugee found the shelter during the war .	0.0061811041086912155	night_(0.11278646);storm_(0.055560116);attack_(0.020244034);summer_(0.019233758);search_(0.014152251);	6.21484468865674e-06
waiter	clear	table	dinner	T	after	6.95	0.22	The waiter cleared the table after the dinner .	0.011552221141755581	meal_(0.17808072);two_(0.02456095);first_(0.024454188);waitress_(0.022944557);table_(0.016955081);	5.85994031077064e-11
businessman	read	report	meeting	T	before	6.55	0.5	The businessman read the report before the meeting .	0.13408662378787994	meeting_(0.13408662);Senate_(0.037610237);vote_(0.035703328);committee_(0.034167007);hearing_(0.02907159);	1.0152180948352907e-05
doctor	sew	wound	accident	T	after	6.5	0.59	The doctor sewed the wound after the accident .	0.012722793035209179	woman_(0.04577182);patient_(0.042971097);attack_(0.03623032);victim_(0.032511108);boy_(0.02701462);	4.4593070924747735e-05
teacher	use	blackboard	lesson	T	during	6.75	0.43	The teacher used the blackboard during the lesson .	0.10024520754814148	class_(0.10981678);lesson_(0.10024521);discussion_(0.025714278);meeting_(0.021667805);first_(0.019375386);	6.900149310240522e-05
violinist	wear	tuxedo	concert	T	during	6.7	0.46	The violinist wore the tuxedo during the concert .	0.10206875205039978	concert_(0.10206875);performance_(0.07529984);ceremony_(0.046699118);show_(0.028663136);premiere_(0.026071018);	1.7926145901014934e-08
chemist	mix	substance	experiment	T	during	6.7	0.46	The chemist mixed the substance during the experiment .	0.0474650077521801	experiment_(0.047465008);process_(0.043135688);day_(0.031435467);first_(0.021363491);night_(0.02124354);	6.462871533585712e-05
athlete	celebrate	victory	hunting	AT	after	3.15	1.8	The athlete celebrated the victory after the hunting .	5.74773639527848e-06	game_(0.11297331);race_(0.07626739);match_(0.07306024);final_(0.060120642);first_(0.018215014);	4.316002105042571e-06
policeman	capture	thief	exam	AT	after	3.0	1.52	The policeman captured the thief after the exam .	7.998896762728691e-06	incident_(0.08247287);car_(0.07147568);man_(0.048733994);vehicle_(0.03294942);woman_(0.024882345);	9.449922799831256e-05
musician	hold	guitar	earthquake	AT	during	2.9	1.92	The musician held the guitar during the earthquake .	5.308147956384346e-05	concert_(0.056538016);performance_(0.055862702);show_(0.044639684);interview_(0.03226998);ceremony_(0.022774858);	1.6993358258332592e-06
bodybuilder	lift	weight	persecution	AT	during	2.4	1.62	The bodybuilder lifted the weight during the persecution .	1.6029379139581579e-06	workout_(0.056299686);first_(0.042390697);day_(0.02520357);second_(0.020515386);competition_(0.018804444);	3.1136060840708524e-08
guest	hang	coat	explosion	AT	before	2.1	1.34	The guest hung the coat before the explosion .	0.00010263960575684905	door_(0.07070513);guests_(0.02218801);guest_(0.019813174);camera_(0.01140852);party_(0.010405978);	2.781415560093592e-06
model	face	camera	fight	AT	during	2.7	2.26	The model faced the camera during the fight .	0.0039623696357011795	interview_(0.055831734);shoot_(0.052200355);first_(0.023060614);press_(0.01739485);shooting_(0.014892914);	2.30212026508525e-06
boxer	deliver	punch	fire	AT	during	2.0	1.92	The boxer delivered the punch during the fire .	6.076505087548867e-05	fight_(0.109574474);second_(0.09737654);first_(0.053599074);fourth_(0.043563772);third_(0.041609775);	3.014377216459252e-05
botanist	examine	plant	surgery	AT	during	2.5	2.06	The botanist examined the plant during the surgery .	0.0008573514642193913	day_(0.03285701);trip_(0.024856327);expedition_(0.022350872);first_(0.02035505);search_(0.017787613);	2.330871211597696e-05
skipper	assemble	sailboat	concert	AT	before	1.95	1.36	The skipper assembled the sailboat before the concert .	0.0001864695514086634	boat_(0.029526442);start_(0.029024135);storm_(0.025856584);ship_(0.020828087);launch_(0.013569236);	1.816384020969508e-08
milkman	carry	bottle	night	AT	during	3.9	2.32	The milkman carried the bottle during the night .	0.0084532480686903	raid_(0.028250005);attack_(0.02466172);first_(0.01554636);day_(0.013552433);fight_(0.013378405);	1.857743768596265e-06
mother	decorate	house	prayer	AT	before	2.1	1.67	The mother decorated the house before the prayer .	2.1029580238973722e-05	wedding_(0.07197235);baby_(0.060894154);funeral_(0.045485646);children_(0.028631244);birth_(0.024145268);	7.160707173170522e-05
player	enjoy	game	invasion	AT	during	2.45	1.83	The player enjoyed the game during the invasion .	2.929740003310144e-05	first_(0.1714495);second_(0.06991271);game_(0.03739931);match_(0.029980201);opening_(0.02177791);	1.6112095181597397e-05
mother	hang	laundry	night	AT	during	5.0	1.92	The mother hung the laundry during the night .	0.04282190278172493	day_(0.07367529);night_(0.042821903);last_(0.018634427);morning_(0.018525278);funeral_(0.015804822);	2.489411826900323e-06
spectator	buy	ticket	training	AT	before	3.7	1.9	The spectator bought the ticket before the training .	2.4684728487045504e-05	game_(0.23868969);match_(0.19063424);event_(0.051933125);start_(0.043467294);first_(0.036346003);	6.621283318963833e-06
child	climb	tree	interview	AT	during	1.4	1.11	The child climbed the tree during the interview .	0.0021130091045051813	night_(0.044043448);day_(0.032163437);storm_(0.029053254);attack_(0.02242425);morning_(0.019110221);	0.00012503778270911425
thief	grab	money	bath	AT	during	3.1	1.3	The thief grabbed the money during the bath .	8.853833423927426e-05	robbery_(0.20388322);night_(0.036114596);incident_(0.020746622);attack_(0.017175687);raid_(0.016464226);	3.72358698541575e-07
policeman	hit	demonstrator	lunch	AT	during	2.6	1.91	The policeman hit the demonstrator during the lunch .	0.00014260003808885813	demonstration_(0.10845352);protest_(0.07319433);clash_(0.04488777);confrontation_(0.04210868);clashes_(0.04051932);	1.047837719370115e-10
doctor	help	woman	conference	AT	during	3.25	1.76	The doctor helped the woman during the conference .	0.0003918135480489582	surgery_(0.07866337);procedure_(0.058578644);attack_(0.037150577);operation_(0.034979172);emergency_(0.024122754);	6.218570433702553e-06
policeman	check	bag	breakfast	AT	during	2.15	1.35	The policeman checked the bag during the breakfast .	0.00016200929530896246	search_(0.16545527);raid_(0.050349485);arrest_(0.04475785);incident_(0.035283674);investigation_(0.02175307);	1.5866081781723551e-09
spectator	enjoy	game	breakfast	AT	during	3.9	2.21	The spectator enjoyed the game during the breakfast .	6.515098357340321e-05	first_(0.14829442);second_(0.065973654);game_(0.04003031);match_(0.02919021);final_(0.023476299);	1.5866081781723551e-09
soldier	celebrate	victory	conference	AT	after	2.9	1.3	The soldier celebrated the victory after the conference .	0.00023886212147772312	battle_(0.050251413);first_(0.021563452);attack_(0.016568124);final_(0.012393908);victory_(0.010520097);	6.218570433702553e-06
cheerleader	carry	flag	dinner	AT	before	2.65	2.17	The cheerleader carried the flag before the dinner .	0.0001026014142553322	game_(0.22931975);match_(0.040826257);start_(0.028988164);national_(0.028098436);football_(0.018712882);	4.83258537353759e-11
housemaid	clean	dish	congress	AT	after	3.95	2.75	The housemaid cleaned the dish after the congress .	1.1904740858881269e-05	meal_(0.3076292);dinner_(0.05431967);wedding_(0.029498188);guests_(0.02850655);party_(0.016463747);	2.5583844376342313e-07
cat	chase	bird	marriage	AT	during	3.3	2.08	The cat chased the bird during the marriage .	3.6700861528515816e-05	chase_(0.15722737);incident_(0.06115586);attack_(0.04592469);fight_(0.032294802);flight_(0.028083056);	2.7162494120602787e-07
guide	describe	monument	regatta	AT	during	3.45	1.96	The guide described the monument during the regatta .			
mechanic	assemble	bicycle	party	AT	before	2.85	1.42	The mechanic assembled the bicycle before the party .	0.0018801335245370865	race_(0.030078981);bike_(0.028826652);crash_(0.02732878);event_(0.024059856);accident_(0.020285487);	8.956614010457997e-07
programmer	describe	software	excursion	AT	during	4.05	1.77	The programmer described the software during the excursion .			
cyclist	complete	race	war	AT	during	2.25	1.67	The cyclist completed the race during the war .	8.200744196074083e-05	first_(0.08447048);second_(0.058451205);day_(0.04643102);final_(0.04370651);morning_(0.041371025);	6.21484468865674e-06
