SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat	sentence	computed_score	best_completions	baseline_score
footballer	chase	ball	match	T	during	6.1	1.58	The footballer chased the ball during the match .	0.3828420341014862	game_(0.4290098);match_(0.38284203);play_(0.012786374);final_(0.008737097);incident_(0.006942714);	1.7938820747076534e-05
candidate	celebrate	victory	poll	T	after	5.8	1.21	The candidate celebrated the victory after the poll .	0.010046501643955708	vote_(0.2217136);election_(0.20665035);debate_(0.048590258);rally_(0.03952184);speech_(0.03308402);	2.156812570319744e-06
speaker	entertain	audience	conference	T	during	5.95	1.53	The speaker entertained the audience during the conference .	0.009214460849761963	lecture_(0.12975806);session_(0.108906455);event_(0.10399581);speech_(0.07648187);programme_(0.06873336);	2.9443942821671953e-06
thief	grab	money	robbery	T	during	6.85	0.36	The thief grabbed the money during the robbery .	0.3239358961582184	robbery_(0.3239359);chase_(0.090025835);attack_(0.03298576);struggle_(0.032269254);transaction_(0.023712395);	2.162603180977385e-07
undertaker	dig	grave	funeral	T	before	3.8	2.75	The undertaker dug the grave before the funeral .	0.23731017112731934	funeral_(0.23731017);burial_(0.10678469);fire_(0.04316335);police_(0.03894355);family_(0.03480493);	3.4999334275198635e-07
soldier	cross	river	invasion	T	during	5.35	1.68	The soldier crossed the river during the invasion .	0.0031194076873362064	battle_(0.18002874);fighting_(0.060022082);attack_(0.046655815);operation_(0.03594639);night_(0.032970916);	3.890062032496644e-07
musician	hold	guitar	concert	T	during	6.15	1.68	The musician held the guitar during the concert .	0.058428261429071426	performance_(0.23989719);concert_(0.05842826);song_(0.058220234);show_(0.05502307);interview_(0.0529182);	1.2643215541174868e-06
waiter	carry	tray	lunch	T	during	6.0	1.41	The waiter carried the tray during the lunch .	0.013434108346700668	service_(0.06588404);meal_(0.055597506);event_(0.036800172);incident_(0.0363781);wedding_(0.031520233);	8.920420100366755e-07
artist	hang	picture	exhibition	T	during	6.1	1.45	The artist hung the picture during the exhibition .	0.08984540402889252	ceremony_(0.093295515);exhibition_(0.089845404);event_(0.065450065);show_(0.058688305);inauguration_(0.04863576);	5.517873091775982e-07
policeman	examine	car	search	T	during	6.65	0.48	The policeman examined the car during the search .	0.15231741964817047	investigation_(0.36424655);search_(0.15231742);arrest_(0.07448007);stop_(0.04248914);operation_(0.034739267);	2.1764501525467495e-06
soldier	fight	enemy	battle	T	during	6.5	1.36	The soldier fought the enemy during the battle .	0.3702608346939087	battle_(0.37026083);war_(0.083546855);operation_(0.03617015);retreat_(0.029794209);attack_(0.02724409);	1.6366407180612441e-06
goalkeeper	catch	ball	match	T	during	6.3	1.31	The goalkeeper caught the ball during the match .	0.12551569938659668	game_(0.23841056);match_(0.1255157);shootout_(0.07773286);play_(0.045351382);goal_(0.03301527);	1.7938820747076534e-05
policeman	hit	demonstrator	demonstration	T	during	4.65	1.88	The policeman hit the demonstrator during the demonstration .	0.04432994872331619	protest_(0.20646438);incident_(0.13908237);arrest_(0.11389526);confrontation_(0.049914375);clash_(0.048882328);	1.2202310273323747e-08
musician	entertain	crowd	concert	T	during	6.8	0.4	The musician entertained the crowd during the concert .	0.1348462551832199	event_(0.14573127);concert_(0.13484626);ceremony_(0.061190575);show_(0.054450814);rally_(0.0424196);	1.2643215541174868e-06
dealer	check	car	purchase	T	before	6.2	1.25	The dealer checked the car before the purchase .	0.0906413123011589	sale_(0.1419107);purchase_(0.09064131);delivery_(0.07568801);test_(0.06395197);inspection_(0.05285326);	6.325862500489166e-07
burglar	climb	wall	robbery	T	during	5.9	1.45	The burglar climbed the wall during the robbery .	0.09517255425453186	burglary_(0.2913205);raid_(0.1210972);robbery_(0.095172554);attack_(0.06746042);night_(0.04993364);	1.1993310522484535e-07
cat	chase	bird	hunting	T	during	6.05	1.6	The cat chased the bird during the hunting .	0.0001483227824792266	flight_(0.09441444);video_(0.09217774);chase_(0.06633845);show_(0.034814183);film_(0.034566984);	1.97475287677662e-06
housemaid	clean	dish	dinner	T	after	6.75	0.43	The housemaid cleaned the dish after the dinner .	0.04664544761180878	meal_(0.35781655);incident_(0.049210314);dinner_(0.046645448);event_(0.035430662);party_(0.030494012);	5.5049113143468276e-06
skipper	assemble	sailboat	departure	T	before	5.3	1.62	The skipper assembled the sailboat before the departure .	0.034698642790317535	launch_(0.21469574);trip_(0.082130946);voyage_(0.07909461);race_(0.07472946);storm_(0.03956698);	4.001813636023144e-07
policeman	check	bag	control	T	during	6.55	1.02	The policeman checked the bag during the control .	8.236710709752515e-05	search_(0.4819143);arrest_(0.19146061);stop_(0.06607495);investigation_(0.034366038);raid_(0.021645637);	1.1862440487675485e-06
librarian	climb	ladder	inventory	T	during	5.45	1.56	The librarian climbed the ladder during the inventory .	3.3264012017752975e-05	incident_(0.13571589);fire_(0.0558415);evacuation_(0.045559473);storm_(0.04200851);event_(0.036396135);	2.930142528612123e-08
botanist	examine	plant	research	T	during	6.25	0.99	The botanist examined the plant during the research .	0.03607646003365517	study_(0.11531747);tour_(0.05504089);experiment_(0.048564706);visit_(0.0462156);research_(0.03607646);	7.3801456892397255e-06
student	drink	beer	night	T	during	4.85	1.59	The student drank the beer during the night .	0.0013543309178203344	exam_(0.10539627);class_(0.09744141);test_(0.05348563);game_(0.0486554);interview_(0.03171241);	7.631294465682004e-06
cyclist	fix	bike	training	T	after	6.15	0.85	The cyclist fixed the bike after the training .	7.021586498012766e-05	accident_(0.49673364);crash_(0.26491043);incident_(0.1418959);collision_(0.040812507);event_(0.0049477015);	2.5497165552224033e-06
model	face	camera	service	T	during	5.0	2.02	The model faced the camera during the service .	8.794280438451096e-05	interview_(0.28002742);shoot_(0.24355948);session_(0.061435066);audition_(0.0145534715);event_(0.011701138);	6.833055294919177e-07
horse	draw	carriage	wedding	T	during	3.6	2.01	The horse drew the carriage during the wedding .	0.014182507991790771	ride_(0.05065388);ceremony_(0.05008514);parade_(0.047488082);procession_(0.037902273);trial_(0.034384657);	3.8176602856765385e-07
skier	gain	speed	competition	T	during	6.45	1.4	The skier gained the speed during the competition .	0.00613379618152976	training_(0.10640994);race_(0.1028873);descent_(0.071330234);run_(0.060535572);jump_(0.044976264);	1.410470531482133e-06
soldier	celebrate	victory	battle	T	after	6.7	0.46	The soldier celebrated the victory after the battle .	0.30242154002189636	battle_(0.30242154);attack_(0.19514261);raid_(0.04105794);operation_(0.03900597);ambush_(0.027966846);	1.6366407180612441e-06
doctor	help	woman	childbirth	T	during	6.25	1.79	The doctor helped the woman during the childbirth .	0.0022795291151851416	operation_(0.17715935);surgery_(0.117062576);incident_(0.06675345);procedure_(0.065125816);emergency_(0.038994465);	1.3518314290195121e-07
singer	begin	performance	concert	T	during	6.1	1.67	The singer began the performance during the concert .	0.019843311980366707	song_(0.17497048);._(0.049843095);show_(0.0404292);concert_(0.019843312);ceremony_(0.018589372);	1.2643215541174868e-06
photographer	capture	image	service	T	during	5.55	1.5	The photographer captured the image during the service .	0.008173203095793724	event_(0.079416536);incident_(0.06640438);ceremony_(0.042672865);interview_(0.02934259);protest_(0.020312771);	6.833055294919177e-07
milkman	carry	bottle	morning	T	during	6.45	1.12	The milkman carried the bottle during the morning .	0.01066658552736044	journey_(0.0892966);trip_(0.07925226);night_(0.074716054);day_(0.035514858);winter_(0.027018793);	9.85648512141779e-06
spectator	buy	ticket	exhibition	T	before	5.85	1.46	The spectator bought the ticket before the exhibition .	0.00011010906746378168	match_(0.5252036);game_(0.31916144);event_(0.026240276);show_(0.011810422);kickoff_(0.010820296);	5.517873091775982e-07
child	build	snowman	winter	T	during	6.35	1.46	The child built the snowman during the winter .	0.11209388822317123	winter_(0.11209389);holidays_(0.069976844);summer_(0.06471307);recess_(0.03256486);day_(0.03233622);	6.738994215993444e-07
photographer	examine	camera	service	T	before	5.9	1.45	The photographer examined the camera before the service .	0.0013925792882218957	shoot_(0.22587612);shooting_(0.1746954);test_(0.05932228);incident_(0.047323093);interview_(0.026588315);	6.833055294919177e-07
truck	hit	car	accident	T	during	5.9	0.94	The truck hit the car during the accident .	0.10839203000068665	crash_(0.20103134);incident_(0.11911259);chase_(0.11099972);accident_(0.10839203);pursuit_(0.08059745);	1.82174758833753e-07
dog	fetch	ball	game	T	during	6.15	1.15	The dog fetched the ball during the game .	0.3164159059524536	game_(0.3164159);match_(0.059577428);competition_(0.051916607);practice_(0.029205794);contest_(0.0283271);	1.4357796317199245e-05
hiker	face	mountain	excursion	T	during	6.5	0.97	The hiker faced the mountain during the excursion .			
waiter	cut	cake	birthday	T	during	5.0	2.47	The waiter cut the cake during the birthday .	0.00040510224062018096	ceremony_(0.24280304);service_(0.10256719);reception_(0.048743322);wedding_(0.046510138);event_(0.043443765);	4.5815679072802595e-07
student	hear	lecture	course	T	during	6.0	1.3	The student heard the lecture during the course .	0.01497048418968916	lecture_(0.10846124);class_(0.066670805);day_(0.06105258);break_(0.047550153);session_(0.032453857);	3.2705072953831404e-05
speleologist	examine	cave	excursion	T	during	6.15	1.49	The speleologist examined the cave during the excursion .			
passenger	buy	ticket	departure	T	before	6.1	1.45	The passenger bought the ticket before the departure .	0.05042530968785286	flight_(0.4439762);departure_(0.05042531);train_(0.04744253);incident_(0.0425863);event_(0.030682305);	1.9745409929328162e-07
mechanic	check	tire	race	T	before	6.8	0.51	The mechanic checked the tire before the race .	0.024351298809051514	crash_(0.14276569);accident_(0.10514239);incident_(0.06412605);test_(0.06080395);trip_(0.050390176);	1.1217779501748737e-05
traveller	check	watch	departure	T	before	6.5	0.97	The traveller checked the watch before the departure .	0.08466540277004242	flight_(0.4404466);trip_(0.11063574);departure_(0.0846654);journey_(0.071291335);ride_(0.01781636);	1.9745409929328162e-07
cheerleader	carry	flag	match	T	before	5.9	1.73	The cheerleader carried the flag before the match .	0.016295867040753365	game_(0.21081191);ceremony_(0.098653026);anthem_(0.06934253);event_(0.03671588);parade_(0.030712394);	2.4473238227074035e-05
boxer	deliver	punch	fight	T	during	6.75	0.89	The boxer delivered the punch during the fight .	0.3410334885120392	fight_(0.3410335);bout_(0.17735629);match_(0.15812953);game_(0.02505669);brawl_(0.023970813);	2.424026206426788e-06
guide	describe	monument	tour	T	during	6.5	1.12	The guide described the monument during the tour .	0.7369425892829895	tour_(0.7369426);visit_(0.02722137);hike_(0.017807456);trip_(0.017767286);walk_(0.009553448);	1.142293399425398e-06
mechanic	assemble	bicycle	race	T	before	3.5	2.44	The mechanic assembled the bicycle before the race .	0.09155422449111938	test_(0.1288386);race_(0.091554224);ride_(0.09033894);trip_(0.030975569);rider_(0.026648067);	1.1217779501748737e-05
soldier	dig	trench	assault	T	before	5.75	2.0	The soldier dug the trench before the assault .	0.03151348978281021	attack_(0.28544462);battle_(0.22878446);assault_(0.03151349);explosion_(0.029764641);fight_(0.022706974);	4.452804205357097e-07
soldier	hear	command	mission	T	during	6.55	0.67	The soldier heard the command during the mission .	0.005061725620180368	raid_(0.04392642);conversation_(0.039317902);night_(0.03625356);attack_(0.033699475);interview_(0.033333432);	6.731460871378658e-06
mother	push	stroller	walk	T	during	6.45	0.67	The mother pushed the stroller during the walk .	0.029759420081973076	incident_(0.07098344);march_(0.046547994);parade_(0.034408726);ride_(0.03236386);trip_(0.03212254);	8.559833304389031e-07
child	open	present	birthday	T	during	6.65	1.31	The child opened the present during the birthday .	0.0018961546011269093	ceremony_(0.058023963);visit_(0.034807324);play_(0.028758151);meal_(0.028077185);recess_(0.027354682);	4.5815679072802595e-07
mason	fix	wall	earthquake	T	after	6.1	1.41	The mason fixed the wall after the earthquake .	0.27157285809516907	earthquake_(0.27157286);fire_(0.19911867);quake_(0.04379266);flood_(0.03857074);storm_(0.037370786);	8.532281725592838e-08
cameraman	record	video	documentary	T	during	6.85	0.36	The cameraman recorded the video during the documentary .	0.0002900723775383085	incident_(0.24872366);protest_(0.043580294);encounter_(0.03976426);attack_(0.037275918);arrest_(0.037156947);	1.1160672386267834e-07
swimmer	wear	goggles	competition	T	during	6.75	0.54	The swimmer wore the goggles during the competition .	0.04362696036696434	race_(0.28496903);swim_(0.08413745);competition_(0.04362696);incident_(0.035649695);event_(0.034966435);	1.410470531482133e-06
businessman	tie	necktie	meeting	T	before	6.25	0.77	The businessman tied the necktie before the meeting .	0.07026146352291107	meeting_(0.07026146);handshake_(0.04204588);interview_(0.04169179);event_(0.037289113);incident_(0.029490804);	1.350818251921737e-06
fighter	kick	opponent	match	T	during	6.2	0.87	The fighter kicked the opponent during the match .	0.11152645200490952	fight_(0.5389964);bout_(0.13120942);match_(0.11152645);brawl_(0.017919693);round_(0.014738988);	1.7938820747076534e-05
traveller	check	bag	departure	T	before	6.7	0.56	The traveller checked the bag before the departure .	0.04481184482574463	flight_(0.6877449);departure_(0.044811845);trip_(0.04346097);journey_(0.026669003);boarding_(0.013654854);	1.9745409929328162e-07
soldier	gather	ammunition	battle	T	before	6.65	0.48	The soldier gathered the ammunition before the battle .	0.058161262422800064	explosion_(0.15100335);attack_(0.066980496);battle_(0.058161262);shooting_(0.04352788);blast_(0.033260614);	1.6366407180612441e-06
patient	report	symptom	examination	T	during	6.5	1.12	The patient reported the symptom during the examination .	0.13746321201324463	interview_(0.2050064);examination_(0.13746321);exam_(0.09769416);visit_(0.055961672);consultation_(0.035530988);	7.936675672226556e-08
surgeon	examine	patient	surgery	T	before	6.75	0.43	The surgeon examined the patient before the surgery .	0.3530366122722626	operation_(0.36043248);surgery_(0.3530366);procedure_(0.1233201);shooting_(0.01413952);accident_(0.010481577);	9.816805004447815e-07
witness	explain	circumstances	interrogatory	T	during	5.75	1.87	The witness explained the circumstances during the interrogatory .			
refugee	find	shelter	war	T	during	6.1	1.14	The refugee found the shelter during the war .	0.009303352795541286	night_(0.50130856);storm_(0.078313746);rain_(0.060416985);day_(0.045202095);winter_(0.018166091);	9.438357665203512e-06
waiter	clear	table	dinner	T	after	6.95	0.22	The waiter cleared the table after the dinner .	0.019976001232862473	meal_(0.18935935);service_(0.05405611);incident_(0.04245762);meeting_(0.037618097);event_(0.0362441);	1.0995977390848566e-06
businessman	read	report	meeting	T	before	6.55	0.5	The businessman read the report before the meeting .	0.529841959476471	meeting_(0.52984196);interview_(0.062483024);hearing_(0.023178082);vote_(0.020270647);discussion_(0.00926392);	2.593894168967381e-05
doctor	sew	wound	accident	T	after	6.5	0.59	The doctor sewed the wound after the accident .	0.11757619678974152	surgery_(0.12570995);accident_(0.1175762);incident_(0.10742292);operation_(0.077713415);shooting_(0.076547116);	3.492703015695042e-08
teacher	use	blackboard	lesson	T	during	6.75	0.43	The teacher used the blackboard during the lesson .	0.2424919158220291	lesson_(0.24249192);class_(0.21590728);meeting_(0.043831434);presentation_(0.03343551);test_(0.03174692);	6.588333434365268e-08
violinist	wear	tuxedo	concert	T	during	6.7	0.46	The violinist wore the tuxedo during the concert .	0.08549261093139648	performance_(0.21060655);ceremony_(0.19763684);show_(0.10012615);concert_(0.08549261);event_(0.068871304);	4.2666630406529293e-07
chemist	mix	substance	experiment	T	during	6.7	0.46	The chemist mixed the substance during the experiment .	0.2658005654811859	experiment_(0.26580057);test_(0.092991374);experiments_(0.067058936);process_(0.037893757);procedure_(0.029338378);	1.3177542541598086e-06
athlete	celebrate	victory	hunting	AT	after	3.15	1.8	The athlete celebrated the victory after the hunting .	2.0287870938773267e-07	game_(0.31705642);match_(0.22009325);race_(0.0830702);event_(0.038183205);win_(0.031344853);	1.97475287677662e-06
policeman	capture	thief	exam	AT	after	3.0	1.52	The policeman captured the thief after the exam .	0.00018814070790540427	chase_(0.4081179);incident_(0.15013188);robbery_(0.05647853);shootout_(0.024681456);arrest_(0.020815687);	1.8986223437877925e-07
musician	hold	guitar	earthquake	AT	during	2.9	1.92	The musician held the guitar during the earthquake .	5.714844155590981e-05	performance_(0.23989768);concert_(0.058427714);song_(0.058220133);show_(0.055023182);interview_(0.052918307);	2.136902708116395e-07
bodybuilder	lift	weight	persecution	AT	during	2.4	1.62	The bodybuilder lifted the weight during the persecution .	1.3870753718947526e-06	workout_(0.16437007);competition_(0.07738922);show_(0.057243314);event_(0.042476054);interview_(0.041633844);	5.300866590118858e-08
guest	hang	coat	explosion	AT	before	2.1	1.34	The guest hung the coat before the explosion .	0.0001040539427776821	fireplace_(0.16377941);door_(0.10018206);fire_(0.058972225);bed_(0.053307258);table_(0.040206973);	9.038491839419294e-07
model	face	camera	fight	AT	during	2.7	2.26	The model faced the camera during the fight .	0.0007809650269336998	interview_(0.28002688);shoot_(0.24355993);session_(0.061435416);audition_(0.014553277);event_(0.011700847);	2.424026206426788e-06
boxer	deliver	punch	fire	AT	during	2.0	1.92	The boxer delivered the punch during the fire .	3.7883894492551917e-06	fight_(0.3410335);bout_(0.17735629);match_(0.15812953);game_(0.02505669);brawl_(0.023970813);	1.9807668650173582e-05
botanist	examine	plant	surgery	AT	during	2.5	2.06	The botanist examined the plant during the surgery .	0.005063565913587809	study_(0.11531747);tour_(0.05504089);experiment_(0.048564706);visit_(0.0462156);research_(0.03607646);	1.9187157249689335e-06
skipper	assemble	sailboat	concert	AT	before	1.95	1.36	The skipper assembled the sailboat before the concert .	0.00018818120588548481	launch_(0.21469696);trip_(0.0821311);voyage_(0.079094455);race_(0.0747296);storm_(0.03956675);	8.801358148957661e-07
milkman	carry	bottle	night	AT	during	3.9	2.32	The milkman carried the bottle during the night .	0.07471605390310287	journey_(0.0892966);trip_(0.07925226);night_(0.074716054);day_(0.035514858);winter_(0.027018793);	0.0001144219349953346
mother	decorate	house	prayer	AT	before	2.1	1.67	The mother decorated the house before the prayer .	8.580595749663189e-05	fire_(0.131197);wedding_(0.12520434);funeral_(0.06305716);party_(0.05641486);holiday_(0.038843352);	8.088123877314501e-07
player	enjoy	game	invasion	AT	during	2.45	1.83	The player enjoyed the game during the invasion .	2.6283898478141055e-05	demo_(0.10595519);session_(0.06750663);tutorial_(0.056161933);game_(0.049402285);campaign_(0.0322858);	3.890062032496644e-07
mother	hang	laundry	night	AT	during	5.0	1.92	The mother hung the laundry during the night .	0.021174587309360504	storm_(0.113501705);summer_(0.07279018);day_(0.069725536);fire_(0.028108971);winter_(0.023582792);	7.631294465682004e-06
spectator	buy	ticket	training	AT	before	3.7	1.9	The spectator bought the ticket before the training .	6.282775575527921e-05	match_(0.525201);game_(0.31916356);event_(0.026240548);show_(0.011810499);kickoff_(0.010820243);	2.5497165552224033e-06
child	climb	tree	interview	AT	during	1.4	1.11	The child climbed the tree during the interview .	0.005479686893522739	incident_(0.14721523);storm_(0.053620104);search_(0.026125476);fire_(0.022176715);investigation_(0.021728873);	3.0242385946621653e-06
thief	grab	money	bath	AT	during	3.1	1.3	The thief grabbed the money during the bath .	0.0001594465138623491	robbery_(0.3239359);chase_(0.090025835);attack_(0.03298576);struggle_(0.032269254);transaction_(0.023712395);	6.342148139992787e-07
policeman	hit	demonstrator	lunch	AT	during	2.6	1.91	The policeman hit the demonstrator during the lunch .	2.386269079579506e-05	protest_(0.20646438);incident_(0.13908237);arrest_(0.11389526);confrontation_(0.049914375);clash_(0.048882328);	8.568430530431215e-06
doctor	help	woman	conference	AT	during	3.25	1.76	The doctor helped the woman during the conference .	0.00013806497736368328	operation_(0.17715888);surgery_(0.11706226);incident_(0.06675326);procedure_(0.065126136);emergency_(0.038994655);	2.9443942821671953e-06
policeman	check	bag	breakfast	AT	during	2.15	1.35	The policeman checked the bag during the breakfast .	1.1079091564170085e-05	search_(0.4819143);arrest_(0.19146061);stop_(0.06607495);investigation_(0.034366038);raid_(0.021645637);	1.5455250945706211e-07
spectator	enjoy	game	breakfast	AT	during	3.9	2.21	The spectator enjoyed the game during the breakfast .	0.00012005793541902676	match_(0.2776429);break_(0.13599437);interval_(0.103327334);game_(0.054864384);final_(0.03143693);	1.5455250945706211e-07
soldier	celebrate	victory	conference	AT	after	2.9	1.3	The soldier celebrated the victory after the conference .	0.00032356794690713286	battle_(0.30242154);attack_(0.19514261);raid_(0.04105794);operation_(0.03900597);ambush_(0.027966846);	2.9443942821671953e-06
cheerleader	carry	flag	dinner	AT	before	2.65	2.17	The cheerleader carried the flag before the dinner .	0.00017987427418120205	game_(0.21081191);ceremony_(0.098653026);anthem_(0.06934253);event_(0.03671588);parade_(0.030712394);	5.5049113143468276e-06
housemaid	clean	dish	congress	AT	after	3.95	2.75	The housemaid cleaned the dish after the congress .	3.6954504594177706e-06	meal_(0.35781437);incident_(0.049210764);dinner_(0.046645164);event_(0.035430584);party_(0.030494176);	6.142384734175721e-08
cat	chase	bird	marriage	AT	during	3.3	2.08	The cat chased the bird during the marriage .	8.111343049677089e-05	flight_(0.09441444);video_(0.09217774);chase_(0.06633845);show_(0.034814183);film_(0.034566984);	1.2681568932748633e-06
guide	describe	monument	regatta	AT	during	3.45	1.96	The guide described the monument during the regatta .			
mechanic	assemble	bicycle	party	AT	before	2.85	1.42	The mechanic assembled the bicycle before the party .	0.00802250299602747	test_(0.1288386);race_(0.091554224);ride_(0.09033894);trip_(0.030975569);rider_(0.026648067);	1.4614782912758528e-06
