SUBJECT	VERB	OBJECT	typicality
chef	exhale	air	P
chef	exhale	oil	N
chef	fry	egg	P
chef	fry	water	N
chef	jail	dog	P
chef	jail	air	N
chef	slam	door	P
chef	slam	smoke	N
child	chew	gum	P
child	chew	horse	N
child	count	hair	P
child	count	oil	N
child	fish	spatula	P
child	fish	fire	N
child	fix	computer	P
child	fix	man	N
child	grasp	hand	P
child	grasp	air	N
child	grip	bread	P
child	grip	water	N
child	haul	cat	P
child	haul	ant	N
child	jail	monkey	P
child	jail	cake	N
child	pack	leaf	P
child	pack	truck	N
child	pull	car	P
child	pull	air	N
child	roll	wheels	P
child	roll	flour	N
child	rotate	ball	P
child	rotate	house	N
child	sew	rug	P
child	sew	boat	N
child	shake	cup	P
child	shake	house	N
child	shove	book	P
child	shove	pond	N
child	slide	cup	P
child	slide	ship	N
child	snatch	spatula	P
child	snatch	car	N
child	spill	cream	P
child	spill	apple	N
child	spin	dog	P
child	spin	car	N
child	steal	cake	P
child	steal	air	N
child	swallow	pen	P
child	swallow	pillow	N
child	throw	cup	P
child	throw	vapor	N
child	tug	chair	P
child	tug	car	N
child	wear	cloth	P
child	wear	tent	N
child	whisk	dust	P
child	whisk	spatula	N
chisel	etch	house	P
chisel	etch	table	N
chisel	scrape	table	P
chisel	scrape	oil	N
claw	rip	wool	P
claw	rip	water	N
claw	seize	beans	P
claw	seize	air	N
cloth	absorb	oil	P
cloth	absorb	concrete	N
cloth	erase	cream	P
cloth	erase	house	N
cloth	mask	table	P
cloth	mask	building	N
clown	bite	chair	P
clown	bite	water	N
clown	clean	boat	P
clown	clean	mud	N
clown	sew	blanket	P
clown	sew	paper	N
club	crush	egg	P
club	crush	water	N
cow	open	wardrobe	P
cow	open	cream	N
crane	lift	bar	P
crane	lift	paper	N
crow	snatch	beans	P
crow	snatch	air	N
cup	pour	rice	P
cup	pour	cloud	N
dagger	mince	paper	P
dagger	mince	vapor	N
dentist	chafe	chef	P
dentist	chafe	moon	N
desert	absorb	water	P
desert	absorb	rubber	N
desk	hit	bowling	P
desk	hit	cloud	N
dog	carry	scissors	P
dog	carry	house	N
dog	climb	stairs	P
dog	climb	cake	N
dog	close	door	P
dog	close	chair	N
dog	damage	chair	P
dog	damage	hill	N
dog	destroy	pillow	P
dog	destroy	rain	N
dog	exhale	fume	P
dog	exhale	feather	N
dog	fold	silk	P
dog	fold	table	N
dog	haul	cat	P
dog	haul	wind	N
dog	lick	tongue	P
dog	lick	wind	N
dog	puff	vapor	P
dog	puff	milk	N
dog	shake	monkey	P
dog	shake	elephant	N
dog	steal	pebbles	P
dog	steal	elephant	N
dog	stretch	dough	P
dog	stretch	table	N
dog	yank	trash	P
dog	yank	butterfly	N
donkey	kick	sand	P
donkey	kick	milk	N
elephant	haul	truck	P
elephant	haul	nail	N
elephant	heave	log	P
elephant	heave	pen	N
elephant	move	horse	P
elephant	move	ocean	N
elephant	pull	house	P
elephant	pull	leaf	N
elephant	roll	rock	P
elephant	roll	house	N
elephant	rotate	car	P
elephant	rotate	sand	N
elephant	shake	house	P
elephant	shake	air	N
elephant	spin	car	P
elephant	spin	air	N
elephant	squash	bus	P
elephant	squash	water	N
elephant	stomp	girl	P
elephant	stomp	air	N
elephant	stroke	tree	P
elephant	stroke	pea	N
elephant	swallow	girl	P
elephant	swallow	skyscraper	N
elephant	tug	truck	P
elephant	tug	pin	N
elephant	vomit	rabbit	P
elephant	vomit	boat	N
eraser	erase	rust	P
eraser	erase	water	N
faucet	squirt	water	P
faucet	squirt	pumpkin	N
finger	hang	rabbit	P
finger	hang	mud	N
finger	hook	cup	P
finger	hook	lion	N
finger	rub	potato	P
finger	rub	air	N
finger	scratch	mud	P
finger	scratch	milk	N
finger	stroke	cup	P
finger	stroke	vapor	N
finger	tap	door	P
finger	tap	water	N
finger	tick	dog	P
finger	tick	tree	N
fist	break	hand	P
fist	break	rock	N
fist	tap	finger	P
fist	tap	wind	N
food	poison	bird	P
food	poison	table	N
foot	squash	ant	P
foot	squash	tree	N
fox	snatch	pen	P
fox	snatch	lion	N
freezer	chill	juice	P
freezer	chill	ice	N
girl	burn	shirt	P
girl	burn	desert	N
girl	capsize	turtle	P
girl	capsize	lion	N
girl	catch	dentist	P
girl	catch	desert	N
girl	chew	dust	P
girl	chew	laptop	N
girl	choke	dog	P
girl	choke	elephant	N
girl	chop	monkey	P
girl	chop	smoke	N
girl	clench	hand	P
girl	clench	water	N
girl	climb	skyscraper	P
girl	climb	oil	N
girl	clip	dog	P
girl	clip	oil	N
girl	close	book	P
girl	close	rock	N
girl	construct	building	P
girl	construct	cream	N
girl	cook	fish	P
girl	cook	spatula	N
girl	create	infant	P
girl	create	air	N
girl	crop	paper	P
girl	crop	air	N
girl	crush	infant	P
girl	crush	pillow	N
girl	damage	cup	P
girl	damage	wind	N
girl	drain	water	P
girl	drain	ocean	N
girl	drink	beer	P
girl	drink	ocean	N
girl	drive	tractor	P
girl	drive	elephant	N
girl	drop	water	P
girl	drop	car	N
girl	enter	house	P
girl	enter	cup	N
girl	erect	wall	P
girl	erect	water	N
girl	fry	turtle	P
girl	fry	air	N
girl	grope	stranger	P
girl	grope	oil	N
girl	kill	dog	P
girl	kill	book	N
girl	pluck	potato	P
girl	pluck	truck	N
girl	ride	log	P
girl	ride	pin	N
girl	slide	ice	P
girl	slide	water	N
girl	toss	turtle	P
girl	toss	bear	N
glue	fuse	monkey	P
glue	fuse	water	N
gorilla	climb	boat	P
gorilla	climb	rabbit	N
gorilla	grab	pin	P
gorilla	grab	wind	N
gorilla	ride	camel	P
gorilla	ride	bowl	N
grandma	sew	mittens	P
grandma	sew	paper	N
hand	clench	bird	P
hand	clench	desk	N
hand	fasten	rabbit	P
hand	fasten	house	N
hand	grab	cloth	P
hand	grab	house	N
hand	grasp	paper	P
hand	grasp	oil	N
hand	grip	pan	P
hand	grip	oven	N
hand	grope	policeman	P
hand	grope	wind	N
hand	hold	pen	P
hand	hold	air	N
hand	hurl	bag	P
hand	hurl	air	N
hand	peel	apple	P
hand	peel	pebbles	N
hand	pierce	leaf	P
hand	pierce	ant	N
hand	rip	book	P
hand	rip	cream	N
hand	roll	cup	P
hand	roll	chair	N
hand	rotate	pen	P
hand	rotate	cream	N
hand	seize	spatula	P
hand	seize	water	N
hand	shove	monkey	P
hand	shove	milk	N
hand	spin	cup	P
hand	spin	house	N
hand	stretch	rope	P
hand	stretch	knife	N
hand	tear	cloth	P
hand	tear	table	N
hand	throw	monkey	P
hand	throw	air	N
hand	wear	glove	P
hand	wear	wool	N
hay	construct	house	P
hay	construct	boat	N
hook	hang	cloth	P
hook	hang	house	N
horse	kick	table	P
horse	kick	milk	N
horse	tackle	turtle	P
horse	tackle	elephant	N
horse	throw	man	P
horse	throw	elephant	N
horse	toss	monkey	P
horse	toss	elephant	N
horse	tug	car	P
horse	tug	air	N
horse	wear	necklace	P
horse	wear	boat	N
hose	squirt	juice	P
hose	squirt	beans	N
house	absorb	rain	P
house	absorb	air	N
house	contain	man	P
house	contain	wind	N
ice	freeze	water	P
ice	freeze	fire	N
infant	count	pebbles	P
infant	count	rust	N
infant	rotate	ball	P
infant	rotate	house	N
kangaroo	kick	table	P
kangaroo	kick	oil	N
kid	carry	cat	P
kid	carry	chef	N
kid	squash	fruit	P
kid	squash	closet	N
knife	chop	tree	P
knife	chop	spatula	N
knife	clip	paper	P
knife	clip	pebbles	N
knife	crop	shirt	P
knife	crop	water	N
knife	damage	rabbit	P
knife	damage	oil	N
knife	erase	text	P
knife	erase	pond	N
knife	etch	pebbles	P
knife	etch	water	N
knife	fracture	table	P
knife	fracture	air	N
knife	mince	leaf	P
knife	mince	water	N
knife	poke	finger	P
knife	poke	air	N
knife	sever	bear	P
knife	sever	pebbles	N
knife	sharpen	glass	P
knife	sharpen	shirt	N
knife	slice	rabbit	P
knife	slice	knife	N
knife	tear	paper	P
knife	tear	pebbles	N
knife	trim	rope	P
knife	trim	house	N
laptop	absorb	oil	P
laptop	absorb	rock	N
lion	roll	rock	P
lion	roll	house	N
lion	slide	kid	P
lion	slide	tree	N
lion	stomp	table	P
lion	stomp	air	N
lion	swallow	dog	P
lion	swallow	house	N
lion	vomit	mud	P
lion	vomit	tree	N
lion	wear	necklace	P
lion	wear	boat	N
lion	wrestle	elephant	P
lion	wrestle	tree	N
man	beat	boxer	P
man	beat	dress	N
man	break	arm	P
man	break	air	N
man	breed	fish	P
man	breed	water	N
man	build	cup	P
man	build	woman	N
man	burn	rug	P
man	burn	water	N
man	bury	corpse	P
man	bury	air	N
man	chafe	cup	P
man	chafe	water	N
man	choke	bird	P
man	choke	elephant	N
man	chop	rabbit	P
man	chop	air	N
man	clench	wallet	P
man	clench	water	N
man	climb	ladder	P
man	climb	rabbit	N
man	clip	grass	P
man	clip	water	N
man	close	window	P
man	close	rock	N
man	construct	building	P
man	construct	sand	N
man	cook	bug	P
man	cook	oven	N
man	count	dog	P
man	count	milk	N
man	create	door	P
man	create	air	N
man	crop	picture	P
man	crop	air	N
man	crush	child	P
man	crush	pillow	N
man	damage	glass	P
man	damage	air	N
man	drive	van	P
man	drive	house	N
man	drop	water	P
man	drop	house	N
man	enter	house	P
man	enter	cup	N
man	erect	tree	P
man	erect	water	N
man	exhale	air	P
man	exhale	oil	N
man	feed	gorilla	P
man	feed	pebbles	N
man	fish	bike	P
man	fish	air	N
man	fix	boat	P
man	fix	water	N
man	flip	rabbit	P
man	flip	lion	N
man	fold	paper	P
man	fold	lion	N
man	fry	apple	P
man	fry	air	N
man	grab	ham	P
man	grab	elephant	N
man	grip	brush	P
man	grip	elephant	N
man	grope	stranger	P
man	grope	oil	N
man	halt	person	P
man	halt	elephant	N
man	haul	woman	P
man	haul	elephant	N
man	hit	remote	P
man	hit	water	N
man	hug	child	P
man	hug	ant	N
man	hurl	monkey	P
man	hurl	air	N
man	jail	dog	P
man	jail	air	N
man	kick	elephant	P
man	kick	moon	N
man	kill	dog	P
man	kill	book	N
man	knead	pillow	P
man	knead	knife	N
man	lengthen	string	P
man	lengthen	pebbles	N
man	open	bottle	P
man	open	rock	N
man	pack	bag	P
man	pack	air	N
man	pet	infant	P
man	pet	house	N
man	pluck	string	P
man	pluck	truck	N
man	poison	dog	P
man	poison	chair	N
man	pull	woman	P
man	pull	ant	N
man	push	chair	P
man	push	air	N
man	roll	dumbbell	P
man	roll	car	N
man	rub	pen	P
man	rub	water	N
man	seize	child	P
man	seize	elephant	N
man	slam	window	P
man	slam	smoke	N
man	spill	milk	P
man	spill	rock	N
man	steal	knife	P
man	steal	lake	N
man	stomp	spoon	P
man	stomp	horse	N
man	strike	dog	P
man	strike	air	N
man	stroke	cat	P
man	stroke	ant	N
man	swallow	pill	P
man	swallow	desk	N
man	tackle	woman	P
man	tackle	lion	N
man	tear	banana	P
man	tear	knife	N
man	tick	elephant	P
man	tick	box	N
man	toss	shirt	P
man	toss	air	N
man	wrestle	dog	P
man	wrestle	butterfly	N
milk	wet	sand	P
milk	wet	pond	N
mole	bury	cup	P
mole	bury	rain	N
monkey	fill	bucket	P
monkey	fill	cup	N
monkey	grasp	cup	P
monkey	grasp	water	N
monkey	hug	rabbit	P
monkey	hug	pen	N
monkey	open	closet	P
monkey	open	bowl	N
monkey	rotate	pen	P
monkey	rotate	car	N
monkey	steal	cloth	P
monkey	steal	hill	N
mouth	puff	smoke	P
mouth	puff	water	N
nail	scratch	pin	P
nail	scratch	air	N
nail	slash	skin	P
nail	slash	pebbles	N
neck	hang	necklace	P
neck	hang	boat	N
needle	knit	cloth	P
needle	knit	table	N
octopus	grope	curtain	P
octopus	grope	cream	N
officer	jail	clown	P
officer	jail	book	N
oil	dampen	house	P
oil	dampen	rain	N
oil	wet	car	P
oil	wet	water	N
panda	choke	dolphin	P
panda	choke	rock	N
paper	tick	rabbit	P
paper	tick	table	N
pebbles	crash	ant	P
pebbles	crash	shirt	N
pen	etch	cake	P
pen	etch	oil	N
pen	pierce	shirt	P
pen	pierce	car	N
pencil	hang	rope	P
pencil	hang	horse	N
person	chafe	chef	P
person	chafe	sand	N
person	grope	arm	P
person	grope	fire	N
pillow	cover	pea	P
pillow	cover	elephant	N
pillow	mask	rabbit	P
pillow	mask	elephant	N
pipe	ejaculate	water	P
pipe	ejaculate	wind	N
pipe	leak	water	P
pipe	leak	brick	N
pipe	pour	water	P
pipe	pour	house	N
pipe	puff	air	P
pipe	puff	sand	N
pitcher	pour	water	P
pitcher	pour	laptop	N
policeman	cook	dolphin	P
policeman	cook	stove	N
policeman	halt	bowling	P
policeman	halt	oil	N
policeman	hold	cup	P
policeman	hold	boat	N
policeman	spill	milk	P
policeman	spill	rock	N
purse	contain	scissors	P
purse	contain	lion	N
rabbit	chew	carrot	P
rabbit	chew	diamond	N
rabbit	drink	milk	P
rabbit	drink	air	N
rabbit	grasp	ant	P
rabbit	grasp	elephant	N
rabbit	grip	stick	P
rabbit	grip	dog	N
rabbit	hug	dog	P
rabbit	hug	air	N
rabbit	move	pebble	P
rabbit	move	gorilla	N
rock	fracture	leg	P
rock	fracture	water	N
rock	sharpen	nail	P
rock	sharpen	water	N
rock	slam	table	P
rock	slam	sand	N
rock	strike	table	P
rock	strike	cloud	N
room	vent	oxygen	P
room	vent	milk	N
rope	fasten	gorilla	P
rope	fasten	water	N
rope	yank	closet	P
rope	yank	water	N
saw	mince	meat	P
saw	mince	air	N
scissors	clip	magazine	P
scissors	clip	rock	N
scissors	damage	shirt	P
scissors	damage	water	N
scissors	erase	text	P
scissors	erase	lake	N
screwdriver	scrape	wood	P
screwdriver	scrape	sand	N
shark	kill	human	P
shark	kill	ocean	N
ship	vent	air	P
ship	vent	water	N
shirt	absorb	milk	P
shirt	absorb	sand	N
shovel	dig	hole	P
shovel	dig	wind	N
shovel	flip	monkey	P
shovel	flip	hill	N
shovel	peel	orange	P
shovel	peel	cream	N
soil	absorb	oil	P
soil	absorb	rain	N
son	catch	thief	P
son	catch	house	N
spatula	flatten	bug	P
spatula	flatten	tire	N
spatula	poke	baby	P
spatula	poke	air	N
spatula	scrape	board	P
spatula	scrape	air	N
spider	poison	dolphin	P
spider	poison	table	N
sponge	absorb	oil	P
sponge	absorb	sunlight	N
spoon	bend	paper	P
spoon	bend	desert	N
stick	hang	paper	P
stick	hang	water	N
stick	hook	purse	P
stick	hook	water	N
stick	rip	shirt	P
stick	rip	pebbles	N
stick	sever	paper	P
stick	sever	table	N
stick	shove	snake	P
stick	shove	cream	N
stick	slam	monkey	P
stick	slam	rust	N
student	breed	cow	P
student	breed	rock	N
student	climb	ship	P
student	climb	water	N
student	knit	carpet	P
student	knit	paper	N
student	lengthen	rubber	P
student	lengthen	house	N
student	pack	water	P
student	pack	elephant	N
student	vomit	pebbles	P
student	vomit	cat	N
student	whisk	gravy	P
student	whisk	rock	N
sun	warm	skin	P
sun	warm	fire	N
sword	fracture	bone	P
sword	fracture	air	N
sword	hurt	leg	P
sword	hurt	house	N
sword	slash	cloth	P
sword	slash	water	N
sword	slice	table	P
sword	slice	sand	N
table	rub	shirt	P
table	rub	rain	N
toe	push	door	P
toe	push	cloud	N
toe	stroke	hand	P
toe	stroke	cloud	N
tongue	lick	wound	P
tongue	lick	air	N
truck	haul	garbage	P
truck	haul	pin	N
truck	move	pebbles	P
truck	move	vapor	N
tube	ejaculate	water	P
tube	ejaculate	bird	N
tube	squirt	cream	P
tube	squirt	pen	N
vapor	wet	car	P
vapor	wet	ocean	N
wall	halt	person	P
wall	halt	wind	N
water	dampen	beans	P
water	dampen	water	N
water	poison	tree	P
water	poison	pebbles	N
water	wet	bag	P
water	wet	ocean	N
witch	bake	turkey	P
witch	bake	air	N
wolf	haul	cat	P
wolf	haul	ant	N
woman	capsize	canoe	P
woman	capsize	dog	N
woman	construct	puzzle	P
woman	construct	air	N
woman	cook	turkey	P
woman	cook	beer	N
woman	drink	milk	P
woman	drink	cup	N
woman	drop	grass	P
woman	drop	wind	N
woman	exhale	smoke	P
woman	exhale	water	N
woman	feed	dog	P
woman	feed	wall	N
woman	fix	tire	P
woman	fix	air	N
woman	flip	table	P
woman	flip	water	N
woman	fry	turtle	P
woman	fry	car	N
woman	grasp	shirt	P
woman	grasp	house	N
woman	grip	cloth	P
woman	grip	wind	N
woman	knit	shirt	P
woman	knit	cup	N
woman	lengthen	pillow	P
woman	lengthen	knife	N
woman	peel	skin	P
woman	peel	key	N
woman	slide	ice	P
woman	slide	water	N
woman	smash	cat	P
woman	smash	house	N
woman	tug	chef	P
woman	tug	leaf	N
woman	vomit	pea	P
woman	vomit	dumbbell	N
woman	wear	shirt	P
woman	wear	water	N
woman	whisk	milk	P
woman	whisk	air	N
women	kiss	girlfriend	P
women	kiss	air	N
wood	knead	flour	P
wood	knead	water	N
wrench	fix	car	P
wrench	fix	elephant	N
wrestler	lift	man	P
wrestler	lift	elephant	N
zebra	kill	dolphin	P
zebra	kill	house	N
