SUBJECT	VERB	OBJECT	typicality
chef	film	cake	P
lion	film	cake	N
chef	film	man	P
bug	film	man	N
woman	film	sofa	P
dog	film	sofa	N
child	film	water	P
rabbit	film	water	N
wrench	fix	car	P
lion	fix	car	N
hammer	flatten	cake	P
paper	flatten	cake	N
car	flatten	cup	P
cloud	flatten	cup	N
hand	fold	pillow	P
bug	fold	pillow	N
ice	freeze	pebbles	P
sun	freeze	pebbles	N
ice	freeze	rock	P
sun	freeze	rock	N
ice	freeze	water	P
smoke	freeze	water	N
man	fry	cake	P
monkey	fry	cake	N
sign	halt	boat	P
lake	halt	boat	N
sign	halt	traffic	P
air	halt	traffic	N
stove	heat	air	P
house	heat	air	N
oven	heat	food	P
table	heat	food	N
fire	heat	man	P
ice	heat	man	N
fire	heat	sand	P
dog	heat	sand	N
sun	heat	water	P
oil	heat	water	N
uncle	heave	box	P
ant	heave	box	N
tiger	heave	door	P
worm	heave	door	N
ant	heave	pea	P
elephant	heave	pea	N
car	hit	brother	P
air	hit	brother	N
finger	hit	pillow	P
smoke	hit	pillow	N
policeman	hold	cup	P
ant	hold	cup	N
net	hold	dog	P
bowl	hold	dog	N
glove	hold	earplug	P
ant	hold	earplug	N
pin	hook	fish	P
wall	hook	fish	N
rope	hook	stick	P
ant	hook	stick	N
rope	hurl	boat	P
hair	hurl	boat	N
rope	hurl	trolley	P
rock	hurl	trolley	N
car	hurl	truck	P
hair	hurl	truck	N
man	hurl	woman	P
ant	hurl	woman	N
knife	hurt	foot	P
cloth	hurt	foot	N
needle	hurt	head	P
pillow	hurt	head	N
student	jail	girl	P
cat	jail	girl	N
mayor	jail	person	P
dog	jail	person	N
student	jail	woman	P
cat	jail	woman	N
horse	kick	chair	P
tree	kick	chair	N
horse	kick	table	P
tree	kick	table	N
knife	kill	ant	P
air	kill	ant	N
dolphin	kiss	fish	P
ant	kiss	fish	N
women	kiss	girlfriend	P
ant	kiss	girlfriend	N
ape	kiss	remote	P
cup	kiss	remote	N
ape	kiss	woman	P
tree	kiss	woman	N
mallet	knead	cake	P
air	knead	cake	N
chef	knead	clay	P
mud	knead	clay	N
needle	knit	rug	P
cat	knit	rug	N
chef	knit	shirt	P
horse	knit	shirt	N
grandma	knit	wool	P
horse	knit	wool	N
house	leak	gas	P
tree	leak	gas	N
finger	lengthen	cord	P
oil	lengthen	cord	N
hand	lengthen	dough	P
ant	lengthen	dough	N
lion	lick	frosting	P
tree	lick	frosting	N
helicopter	lift	dumbbell	P
ant	lift	dumbbell	N
ant	lift	leaf	P
man	lift	leaf	N
helicopter	lift	weight	P
ant	lift	weight	N
smoke	mask	computer	P
wind	mask	computer	N
clay	mask	face	P
ant	mask	face	N
purse	mask	hand	P
water	mask	hand	N
smoke	mask	laptop	P
wind	mask	laptop	N
brick	mince	bread	P
shirt	mince	bread	N
mallet	mince	dough	P
hair	mince	dough	N
dog	move	cat	P
worm	move	cat	N
man	move	table	P
ant	move	table	N
girl	open	door	P
ant	open	door	N
child	open	window	P
cream	open	window	N
woman	pack	cake	P
ant	pack	cake	N
knife	peel	banana	P
shirt	peel	banana	N
monkey	peel	tree	P
air	peel	tree	N
infant	pet	cat	P
ant	pet	cat	N
monkey	pet	rabbit	P
computer	pet	rabbit	N
knife	pierce	board	P
rice	pierce	board	N
arrow	pierce	tongue	P
water	pierce	tongue	N
boy	pluck	apple	P
worm	pluck	apple	N
stick	poke	arm	P
sidewalk	poke	arm	N
man	poke	bread	P
cloud	poke	bread	N
needle	poke	sink	P
house	poke	sink	N
faucet	pour	juice	P
pen	pour	juice	N
cup	pour	milk	P
rope	pour	milk	N
monkey	puff	smoke	P
table	puff	smoke	N
monkey	pull	rope	P
mud	pull	rope	N
woman	punch	dog	P
tree	punch	dog	N
chef	punch	wall	P
house	punch	wall	N
man	ride	bike	P
dolphin	ride	bike	N
dog	ride	cat	P
elephant	ride	cat	N
dog	ride	monkey	P
elephant	ride	monkey	N
spatula	rip	dough	P
wind	rip	dough	N
knife	rip	paper	P
rice	rip	paper	N
monkey	roll	log	P
ant	roll	log	N
elephant	rotate	car	P
monkey	rotate	car	N
man	rotate	cat	P
ant	rotate	cat	N
cloth	rub	meat	P
wind	rub	meat	N
pillow	rub	rock	P
oil	rub	rock	N
shovel	scrape	chair	P
pillow	scrape	chair	N
shovel	scrape	plate	P
pillow	scrape	plate	N
infant	scrape	table	P
hand	scrape	table	N
stick	scratch	arm	P
wind	scratch	arm	N
knife	scratch	toe	P
pillow	scratch	toe	N
monkey	seize	cat	P
ant	seize	cat	N
knife	sever	arm	P
finger	sever	arm	N
pen	sever	cloth	P
cotton	sever	cloth	N
nail	sever	dough	P
paper	sever	dough	N
pen	sever	shirt	P
wool	sever	shirt	N
clown	sew	blanket	P
ant	sew	blanket	N
policeman	sew	curtain	P
monkey	sew	curtain	N
needle	sew	dress	P
rope	sew	dress	N
child	sew	rug	P
purse	sew	rug	N
boat	shake	canoe	P
hair	shake	canoe	N
policeman	shake	door	P
ant	shake	door	N
elephant	shake	house	P
child	shake	house	N
spatula	sharpen	glass	P
cream	sharpen	glass	N
rock	sharpen	knife	P
paper	sharpen	knife	N
sword	sharpen	pencil	P
paper	sharpen	pencil	N
man	shove	child	P
fish	shove	child	N
monkey	shove	horse	P
ant	shove	horse	N
monkey	slam	cup	P
water	slam	cup	N
chef	slam	door	P
ant	slam	door	N
spoon	slash	paper	P
cotton	slash	paper	N
knife	slash	pillow	P
rice	slash	pillow	N
cleaver	slice	dog	P
paper	slice	dog	N
elephant	slide	car	P
man	slide	car	N
monkey	slide	pebbles	P
butterfly	slide	pebbles	N
hammer	smash	bone	P
knife	smash	bone	N
hand	smash	rock	P
ant	smash	rock	N
car	smash	table	P
shirt	smash	table	N
man	snatch	rabbit	P
ant	snatch	rabbit	N
chef	spin	ball	P
worm	spin	ball	N
hand	spin	bottle	P
ant	spin	bottle	N
elephant	spin	car	P
child	spin	car	N
dog	squash	grape	P
ant	squash	grape	N
plane	squash	house	P
car	squash	house	N
plane	squash	tree	P
foot	squash	tree	N
hose	squirt	milk	P
house	squirt	milk	N
tube	squirt	oil	P
table	squirt	oil	N
faucet	squirt	water	P
table	squirt	water	N
child	stomp	grape	P
worm	stomp	grape	N
elephant	stomp	man	P
dog	stomp	man	N
man	stretch	pillow	P
ant	stretch	pillow	N
bat	strike	car	P
wind	strike	car	N
elephant	swallow	man	P
cat	swallow	man	N
monkey	swallow	pin	P
ant	swallow	pin	N
elephant	tackle	bus	P
child	tackle	bus	N
elephant	tackle	car	P
child	tackle	car	N
dog	tackle	cat	P
ant	tackle	cat	N
dog	tackle	rabbit	P
butterfly	tackle	rabbit	N
hand	tap	floor	P
vapor	tap	floor	N
knife	tear	rug	P
pillow	tear	rug	N
pen	tear	shirt	P
pillow	tear	shirt	N
elephant	tear	tree	P
infant	tear	tree	N
elephant	throw	bus	P
man	throw	bus	N
elephant	throw	car	P
man	throw	car	N
dog	throw	cat	P
ant	throw	cat	N
feather	tick	horse	P
water	tick	horse	N
elephant	toss	cat	P
ant	toss	cat	N
horse	toss	student	P
rabbit	toss	student	N
scissors	trim	pillow	P
finger	trim	pillow	N
scissors	trim	rabbit	P
cup	trim	rabbit	N
chainsaw	trim	tree	P
cotton	trim	tree	N
elephant	tug	bus	P
child	tug	bus	N
horse	tug	car	P
child	tug	car	N
butterfly	tug	leaf	P
woman	tug	leaf	N
pipe	vent	air	P
table	vent	air	N
house	vent	smoke	P
tree	vent	smoke	N
lion	vomit	cat	P
student	vomit	cat	N
elephant	vomit	man	P
cat	vomit	man	N
oven	warm	food	P
ice	warm	food	N
stove	warm	foot	P
freezer	warm	foot	N
fire	warm	log	P
air	warm	log	N
fire	warm	water	P
snow	warm	water	N
lion	wear	carpet	P
butterfly	wear	carpet	N
clown	whisk	egg	P
dog	whisk	egg	N
dentist	whisk	sauce	P
infant	whisk	sauce	N
woman	wrestle	student	P
ant	wrestle	student	N
finger	yank	arm	P
table	yank	arm	N
