SUBJECT	VERB	OBJECT	typicality	sentence	computed_score	best_completions	baseline_score
woman	build	frame	P	The woman built the frame .	-7.02958869934082	house_(-1.3102705);fire_(-3.2042487);wall_(-4.0147915);castle_(-4.141883);building_(-4.2340107);	-6.424880027770996
ant	build	frame	N	The ant built the frame .	-7.727407932281494	nest_(-1.6485877);house_(-2.584516);wall_(-2.8526082);structure_(-3.9736857);fire_(-4.0772567);	-6.424880027770996
tree	build	house	P	The tree built the house .	-1.3233842849731445	house_(-1.3233843);temple_(-3.2860765);tower_(-3.7572622);tree_(-3.9168673);fire_(-4.047386);	-10.33023738861084
dolphin	build	house	N	The dolphin built the house .	-2.3080101013183594	house_(-2.30801);boat_(-2.8768015);bridge_(-3.085535);ship_(-3.0855455);world_(-3.8648787);	-10.435187339782715
girl	build	laptop	P	The girl built the laptop .	-9.57343864440918	house_(-1.5545121);fire_(-3.303674);wall_(-3.7644322);bridge_(-3.8896265);castle_(-4.0621552);	-10.56558895111084
wool	build	laptop	N	The wool built the laptop .	-13.496145248413086	economy_(-2.2084906);market_(-2.8519545);house_(-2.8572075);business_(-3.33511);industry_(-3.6512673);	-10.56558895111084
torch	burn	cloth	P	The torch burned the cloth .	-5.818827152252197	man_(-3.13136);air_(-3.4698389);ground_(-3.5798464);fire_(-3.8105564);boy_(-3.9256806);	-9.451888084411621
paper	burn	cloth	N	The paper burned the cloth .	-6.863872051239014	fire_(-3.378471);air_(-3.5212626);lighter_(-4.0460443);floor_(-4.173409);man_(-4.193575);	-9.451888084411621
sun	burn	ham	P	The sun burned the ham .			
rabbit	burn	ham	N	The rabbit burned the ham .			
man	bury	book	P	The man buried the book .	-5.267272472381592	body_(-1.5561937);girl_(-3.5003667);woman_(-3.580104);man_(-3.7980664);corpse_(-3.8573186);	-10.457291603088379
plant	bury	book	N	The plant buried the book .	-7.626198768615723	body_(-3.4579363);remains_(-3.998118);plant_(-4.005465);site_(-4.2934275);tree_(-4.315749);	-10.457291603088379
ship	capsize	boat	P	The ship capsized the boat .	-3.4376847743988037	ship_(-2.3890102);vessel_(-3.1549876);pier_(-3.2586467);boat_(-3.4376848);stern_(-3.5439804);	-10.00105094909668
bone	capsize	boat	N	The bone capsized the boat .	-1.8534079790115356	boat_(-1.853408);vessel_(-1.960124);ship_(-2.4670687);canoe_(-4.0003853);lake_(-4.0617704);	-10.00105094909668
woman	capsize	canoe	P	The woman capsized the canoe .	-3.2576541900634766	boat_(-0.3189153);ship_(-3.0631094);canoe_(-3.2576542);vessel_(-3.428688);craft_(-3.596427);	-11.4812593460083
rabbit	capsize	canoe	N	The rabbit capsized the canoe .	-4.346923828125	boat_(-0.48384574);ship_(-1.6867286);vessel_(-2.8310127);yacht_(-3.7069798);canoe_(-4.346924);	-11.4812593460083
dentist	capsize	ship	P	The dentist capsized the ship .	-2.164581298828125	boat_(-0.41244417);ship_(-2.1645813);vessel_(-3.0526304);yacht_(-3.1499805);canoe_(-4.487694);	-11.015416145324707
raft	capsize	ship	N	The raft capsized the ship .	-1.3572584390640259	boat_(-1.217381);ship_(-1.3572584);vessel_(-2.4929214);yacht_(-3.757318);island_(-4.3756347);	-11.015416145324707
net	catch	ball	P	The net caught the ball .	-3.310718059539795	fish_(-2.215961);ball_(-3.310718);water_(-3.4451451);bird_(-3.8802028);light_(-3.950273);	-10.135819435119629
water	catch	ball	N	The water caught the ball .	-6.48772668838501	light_(-2.4154413);boat_(-4.1992164);air_(-4.3147564);fire_(-4.3214965);fish_(-4.326646);	-10.135819435119629
daughter	catch	bird	P	The daughter caught the bird .	-5.300801753997803	ball_(-2.7160826);wind_(-4.160196);other_(-4.455274);bag_(-4.532047);knife_(-4.5347238);	-10.918587684631348
rabbit	catch	bird	N	The rabbit caught the bird .	-2.695906400680542	bird_(-2.6959064);ball_(-2.8295944);mouse_(-3.122935);rabbit_(-3.1398141);cat_(-3.926689);	-10.918587684631348
closet	chafe	girl	P	The closet chafed the girl .	-5.311997890472412	skin_(-2.089872);walls_(-3.03344);wound_(-3.4939218);air_(-3.5260663);body_(-3.6663365);	-10.192441940307617
air	chafe	girl	N	The air chafed the girl .	-5.689777374267578	skin_(-2.2414305);body_(-3.5664828);wound_(-3.8990667);flesh_(-3.9518692);bones_(-3.9546268);	-10.192441940307617
elephant	chew	turtle	P	The elephant chewed the turtle .	-8.121270179748535	grass_(-3.111128);apple_(-3.967457);bone_(-4.096712);tree_(-4.3327646);meat_(-4.3365593);	-12.867902755737305
infant	chew	turtle	N	The infant chewed the turtle .	-9.435704231262207	apple_(-3.5566137);fruit_(-3.7427309);bread_(-3.7434814);bone_(-3.9054658);straw_(-3.9282377);	-12.867902755737305
freezer	chill	juice	P	The freezer chilled the juice .	-7.09081506729126	food_(-2.7435956);water_(-2.8739028);room_(-3.1221557);dishes_(-3.2960489);meat_(-3.4302936);	-9.58515453338623
man	chill	juice	N	The man chilled the juice .	-8.40601921081543	air_(-1.700111);room_(-2.5525594);water_(-2.7497518);waters_(-3.0150676);blood_(-3.352922);	-10.3921537399292
wind	chill	table	P	The wind chilled the table .	-6.502518177032471	air_(-1.7701283);windows_(-2.6082134);trees_(-3.1043577);ground_(-3.399931);car_(-3.4791183);	-11.925941467285156
stove	chill	table	N	The stove chilled the table .	-4.7844390869140625	room_(-1.3622296);air_(-1.8751537);water_(-2.6374295);cabin_(-3.4334662);food_(-3.6399882);	-11.925941467285156
wind	chill	water	P	The wind chilled the water .	-4.622598648071289	air_(-1.7701283);windows_(-2.6082134);trees_(-3.1043577);ground_(-3.399931);car_(-3.4791183);	-11.987295150756836
student	chill	water	N	The student chilled the water .	-1.9705398082733154	water_(-1.9705398);glass_(-3.0077674);air_(-3.0518634);drink_(-3.304303);coffee_(-3.4164531);	-11.987295150756836
knife	chop	tree	P	The knife chopped the tree .	-5.341149806976318	air_(-1.2598119);flesh_(-3.1723523);meat_(-3.4996524);rope_(-3.9806876);grass_(-4.123773);	-9.722455978393555
chicken	chop	tree	N	The chicken chopped the tree .	-5.428093433380127	meat_(-2.4088185);steak_(-3.1745446);vegetables_(-3.2547991);liver_(-3.3806527);grass_(-3.4756348);	-9.722455978393555
water	clean	house	P	The water cleaned the house .	-5.194575309753418	wound_(-2.5240903);wounds_(-2.797567);body_(-3.2399402);skin_(-3.5310712);blood_(-3.7727904);	-10.33023738861084
dirt	clean	house	N	The dirt cleaned the house .	-3.848806381225586	room_(-3.2295592);body_(-3.3704653);wound_(-3.5289032);wounds_(-3.674323);floor_(-3.6934319);	-10.33023738861084
broom	clean	room	P	The broom cleaned the room .	-3.2166106700897217	floor_(-1.8114707);table_(-2.9327152);dishes_(-3.1269233);room_(-3.2166107);kitchen_(-3.39834);	-11.126619338989258
mud	clean	room	N	The mud cleaned the room .	-4.488132953643799	wounds_(-3.41843);body_(-3.7254856);wound_(-3.7845762);skin_(-3.8175542);floor_(-3.943589);	-10.864799499511719
girl	clip	dog	P	The girl clipped the dog .	-7.667504787445068	button_(-1.6746894);trigger_(-2.8750515);phone_(-4.008565);microphone_(-4.2293806);camera_(-4.496642);	-10.874027252197266
woman	clip	dog	N	The woman clipped the dog .	-8.48717975616455	button_(-1.4117191);phone_(-3.2216432);trigger_(-3.3343446);call_(-3.6398761);microphone_(-3.7835453);	-10.874027252197266
scissors	clip	magazine	P	The scissors clipped the magazine .	-7.361079216003418	paper_(-2.830075);skin_(-3.2772453);flesh_(-3.8635309);nail_(-4.1916084);bone_(-4.2016244);	-8.203840255737305
dog	clip	magazine	N	The dog clipped the magazine .	-7.8019609451293945	wall_(-4.074369);button_(-4.0945077);door_(-4.095451);glass_(-4.188662);bag_(-4.427021);	-8.233504295349121
knife	clip	paper	P	The knife clipped the paper .	-5.412803649902344	wood_(-2.8918157);wall_(-3.0273929);bone_(-3.325331);floor_(-3.651794);metal_(-3.797537);	-11.953683853149414
pillow	clip	paper	N	The pillow clipped the paper .	-5.53997278213501	button_(-4.0630817);door_(-4.218023);end_(-4.2212944);point_(-4.3856864);head_(-4.4799724);	-11.953683853149414
child	close	bottle	P	The child closed the bottle .	-7.235825061798096	door_(-0.94096667);book_(-1.5828772);window_(-3.3320093);lid_(-3.3531468);box_(-3.8565943);	-13.53400993347168
water	close	bottle	N	The water closed the bottle .	-7.479711055755615	door_(-1.682443);wound_(-2.4712396);hole_(-2.603926);gap_(-2.818269);distance_(-3.2920651);	-13.53400993347168
monkey	close	door	P	The monkey closed the door .	-0.7989400029182434	door_(-0.79894);lid_(-2.5466855);book_(-2.991875);window_(-3.327557);distance_(-3.4739592);	-12.471768379211426
water	close	door	N	The water closed the door .	-1.6824430227279663	door_(-1.682443);wound_(-2.4712396);hole_(-2.603926);gap_(-2.818269);distance_(-3.2920651);	-12.471768379211426
brick	construct	boat	P	The brick constructed the boat .	-8.142721176147461	walls_(-1.5350972);building_(-2.1977596);house_(-2.465276);structure_(-3.1024811);church_(-3.478158);	-9.908454895019531
hay	construct	boat	N	The hay constructed the boat .	-7.326689720153809	house_(-2.568905);walls_(-2.6775057);floor_(-2.694898);roof_(-2.861561);barn_(-3.0571654);	-9.908454895019531
girl	construct	building	P	The girl constructed the building .	-3.5123586654663086	house_(-2.1994658);building_(-3.5123587);bridge_(-3.8639991);tower_(-4.141864);hut_(-4.18616);	-10.483007431030273
dog	construct	building	N	The dog constructed the building .	-3.825998544692993	house_(-3.1245768);nest_(-3.424843);wall_(-3.7153513);building_(-3.8259985);fence_(-4.03347);	-10.483007431030273
boat	contain	lion	P	The boat contained the lion .	-8.358536720275879	key_(-3.4282444);body_(-3.674404);treasure_(-3.8724005);dead_(-3.908075);child_(-3.9824698);	-13.55268669128418
purse	contain	lion	N	The purse contained the lion .	-10.074190139770508	key_(-1.9822785);money_(-2.18564);keys_(-3.5629182);diamonds_(-3.7287319);cash_(-3.8736043);	-13.55268669128418
cup	cook	egg	P	The cup cooked the egg .	-4.574333190917969	meat_(-3.5026813);fish_(-3.623857);fire_(-3.6372714);eggs_(-3.830929);food_(-3.9022293);	-12.207932472229004
elephant	cook	egg	N	The elephant cooked the egg .	-3.9941277503967285	fish_(-1.9658617);meat_(-2.702658);chicken_(-3.257773);eggs_(-3.6420522);bird_(-3.69893);	-12.207932472229004
woman	cook	turkey	P	The woman cooked the turkey .	-4.863682746887207	food_(-1.8294544);meal_(-2.1689186);stew_(-2.7839155);meat_(-2.8907175);meals_(-2.9604673);	-14.104968070983887
rabbit	cook	turkey	N	The rabbit cooked the turkey .	-4.943472385406494	fish_(-2.2114);rabbit_(-2.7933912);eggs_(-3.0625048);egg_(-3.2044528);meat_(-3.2044601);	-14.104968070983887
freezer	cool	oil	P	The freezer cooled the oil .	-5.4664788246154785	food_(-2.2213662);water_(-2.897637);meat_(-3.111829);coffee_(-3.6665785);dishes_(-3.7077107);	-11.953104972839355
moon	cool	oil	N	The moon cooled the oil .	-8.560872077941895	air_(-1.2989064);water_(-2.3047714);temperature_(-3.3506927);day_(-3.5039828);waters_(-3.5656855);	-12.188268661499023
ac	cool	water	P	The ac cooled the water .	-1.66536545753479	water_(-1.6653655);glass_(-3.1116278);air_(-3.2333567);coffee_(-3.677788);skin_(-3.7443316);	-11.825273513793945
sun	cool	water	N	The sun cooled the water .	-2.9101624488830566	air_(-1.2848334);water_(-2.9101624);day_(-3.7454038);room_(-3.7468076);ground_(-3.7523742);	-11.987295150756836
train	crash	bike	P	The train crashed the bike .	-9.440519332885742	bridge_(-1.5263224);station_(-2.65481);train_(-2.7449932);platform_(-2.998764);track_(-3.1040497);	-10.454572677612305
spatula	crash	bike	N	The spatula crashed the bike .	-9.97350025177002	table_(-0.623099);counter_(-2.2455604);plate_(-2.9148872);pan_(-3.300658);bowl_(-3.5632331);	-10.35935115814209
plane	crash	house	P	The plane crashed the house .	-5.562582492828369	runway_(-1.2266309);ground_(-1.626951);plane_(-2.9347436);mountain_(-3.2512548);aircraft_(-3.75969);	-10.33023738861084
water	crash	house	N	The water crashed the house .	-4.638988494873047	window_(-2.2801886);windows_(-2.8888645);shore_(-2.9108057);wall_(-2.9548702);walls_(-3.3946762);	-10.33023738861084
boat	crash	scooter	P	The boat crashed the scooter .			
pillow	crash	scooter	N	The pillow crashed the scooter .			
sand	create	house	P	The sand created the house .	-5.068790912628174	world_(-3.7320783);ocean_(-3.9271104);sea_(-4.3072405);image_(-4.3176627);beach_(-4.340376);	-10.33023738861084
rabbit	create	house	N	The rabbit created the house .	-5.173402309417725	world_(-2.4288597);monster_(-2.8226871);universe_(-3.5186028);rabbit_(-4.155123);rainbow_(-4.3239923);	-10.33023738861084
girl	create	skyscraper	P	The girl created the skyscraper .			
horse	create	skyscraper	N	The horse created the skyscraper .			
clown	crop	bush	P	The clown cropped the bush .	-7.218160629272461	head_(-3.1892054);nose_(-3.2510026);ears_(-3.2719567);hair_(-3.5285523);balls_(-3.8783505);	-11.035408020019531
shirt	crop	bush	N	The shirt cropped the bush .	-11.40127182006836	same_(-2.5601013);right_(-2.6294668);smallest_(-2.6381643);ends_(-2.973543);side_(-3.0644643);	-11.035408020019531
scissors	crop	pants	P	The scissors cropped the pants .	-8.097546577453613	hair_(-1.9111356);ends_(-3.026247);hairs_(-3.2211027);edges_(-3.7336204);head_(-3.8115616);	-10.082049369812012
fire	crop	pants	N	The fire cropped the pants .	-10.205756187438965	grass_(-1.5705354);area_(-2.4107625);trees_(-2.5259883);weeds_(-3.097078);brush_(-3.5408504);	-9.271208763122559
scissors	crop	paper	P	The scissors cropped the paper .	-5.175887107849121	hair_(-1.9111338);ends_(-3.026247);hairs_(-3.2211018);edges_(-3.7336187);head_(-3.8115597);	-12.321992874145508
fire	crop	paper	N	The fire cropped the paper .	-9.556626319885254	grass_(-1.5705354);area_(-2.4107625);trees_(-2.5259883);weeds_(-3.097078);brush_(-3.5408504);	-12.108282089233398
student	crop	plant	P	The student cropped the plant .	-6.456526756286621	head_(-2.7137935);lock_(-3.6774566);air_(-3.9853144);ears_(-4.1192074);ear_(-4.1835165);	-12.313260078430176
pillow	crop	plant	N	The pillow cropped the plant .	-10.664115905761719	head_(-2.7628121);hair_(-2.847549);ears_(-3.9934125);pillow_(-4.040114);ear_(-4.1090617);	-12.313260078430176
house	curb	bike	P	The house curbed the bike .	-7.071241855621338	wind_(-1.9163444);noise_(-3.521757);winds_(-3.5374572);breeze_(-3.6853044);flow_(-3.9555929);	-10.35935115814209
water	curb	bike	N	The water curbed the bike .	-6.511309623718262	wind_(-2.4654558);flow_(-2.8667018);waves_(-3.3415668);tide_(-3.5018938);momentum_(-3.6176498);	-10.35935115814209
stairs	curb	scooter	P	The stairs curbed the scooter .			
ant	curb	scooter	N	The ant curbed the scooter .			
house	curb	train	P	The house curbed the train .	-7.3787455558776855	wind_(-1.9163444);noise_(-3.521757);winds_(-3.5374572);breeze_(-3.6853044);flow_(-3.9555929);	-11.588153839111328
rabbit	curb	train	N	The rabbit curbed the train .	-5.891359329223633	horse_(-2.3456068);bull_(-3.2526932);beast_(-3.302825);wind_(-3.4687939);dog_(-3.496151);	-11.588153839111328
coach	cut	bread	P	The coach cut the bread .	-8.759384155273438	ball_(-1.2853745);tape_(-2.366478);line_(-2.9768572);cord_(-3.4921844);ropes_(-3.6365976);	-11.25634479522705
pillow	cut	bread	N	The pillow cut the bread .	-9.554804801940918	air_(-2.2329395);wind_(-2.2700937);sound_(-2.3459728);light_(-2.3543909);noise_(-2.6496904);	-11.25634479522705
knife	damage	pillow	P	The knife damaged the pillow .	-9.147245407104492	bone_(-3.7892652);skin_(-3.7901235);skull_(-4.048355);spine_(-4.1943955);body_(-4.216199);	-13.338357925415039
cotton	damage	pillow	N	The cotton damaged the pillow .	-10.978897094726562	skin_(-3.4606717);eye_(-3.9468074);plant_(-4.151278);tree_(-4.3523817);eyes_(-4.3700614);	-13.338357925415039
scissors	damage	shirt	P	The scissors damaged the shirt .	-7.058286666870117	paper_(-3.0307791);skin_(-3.9165456);wood_(-4.4477167);painting_(-4.477157);glass_(-4.762646);	-7.295360088348389
wool	damage	shirt	N	The wool damaged the shirt .	-8.046429634094238	skin_(-2.4707465);eyes_(-3.3381486);eye_(-3.4649215);ear_(-3.526299);ears_(-3.9957728);	-6.769487380981445
water	dampen	cloth	P	The water dampened the cloth .	-5.157711029052734	sound_(-3.1284454);sheets_(-3.302285);hair_(-3.3847845);air_(-3.4102829);skin_(-3.4539201);	-10.067926406860352
pebbles	dampen	cloth	N	The pebbles dampened the cloth .	-8.3402681350708	air_(-1.9822142);water_(-2.6099827);breeze_(-2.8009942);sound_(-2.957534);light_(-3.147175);	-10.38847541809082
lion	destroy	house	P	The lion destroyed the house .	-4.631174087524414	lion_(-3.335571);city_(-3.3495414);dragon_(-3.3877246);man_(-3.843928);king_(-3.8916996);	-10.33023738861084
grass	destroy	house	N	The grass destroyed the house .	-3.1794111728668213	house_(-3.1794112);garden_(-3.8843076);trees_(-3.940447);building_(-4.0482965);church_(-4.131581);	-10.33023738861084
pen	dig	dirt	P	The pen dug the dirt .	-4.681809902191162	hole_(-1.6808214);pit_(-3.0240726);holes_(-3.0824242);ground_(-4.065651);worms_(-4.119725);	-10.501593589782715
grass	dig	dirt	N	The grass dug the dirt .	-4.585743427276611	hole_(-0.9308456);holes_(-2.3319974);ground_(-3.7603593);grave_(-3.8306048);trench_(-3.9527028);	-10.501593589782715
knife	dig	ground	P	The knife dug the ground .	-3.7009968757629395	flesh_(-1.2310807);skin_(-2.1789365);earth_(-3.390654);wound_(-3.4649968);ground_(-3.7009969);	-8.843426704406738
air	dig	ground	N	The air dug the ground .	-3.2114884853363037	hole_(-1.6247739);ground_(-3.2114885);holes_(-3.3388052);dirt_(-3.8318298);earth_(-3.8603647);	-8.843426704406738
shovel	dig	hole	P	The shovel dug the hole .	-0.487321138381958	hole_(-0.48732114);grave_(-2.9482691);dirt_(-3.1430438);holes_(-3.594064);earth_(-3.6252625);	-8.721454620361328
water	dig	hole	N	The water dug the hole .	-1.6098783016204834	hole_(-1.6098783);tunnel_(-2.7214963);holes_(-3.4335039);trench_(-3.5814512);well_(-3.6789405);	-8.705595970153809
pin	dig	mud	P	The pin dug the mud .	-8.574658393859863	hole_(-2.5021844);flesh_(-2.7894232);trigger_(-2.817056);skin_(-3.2352967);wood_(-3.5378747);	-11.63480281829834
air	dig	mud	N	The air dug the mud .	-5.952727317810059	hole_(-1.6247739);ground_(-3.2114885);holes_(-3.3388052);dirt_(-3.8318298);earth_(-3.8603647);	-11.63480281829834
girl	dig	sand	P	The girl dug the sand .	-5.352286338806152	hole_(-1.8536984);grave_(-3.2746186);holes_(-3.9161477);dirt_(-3.977706);pit_(-4.1549373);	-13.335556030273438
air	dig	sand	N	The air dug the sand .	-4.800214767456055	hole_(-1.6247739);ground_(-3.2114885);holes_(-3.3388052);dirt_(-3.8318298);earth_(-3.8603647);	-13.335556030273438
leg	drag	bag	P	The leg dragged the bag .	-6.747432231903076	ground_(-1.3447855);floor_(-1.7050893);other_(-2.096979);carpet_(-3.9096878);wall_(-4.067445);	-8.59124755859375
water	drag	bag	N	The water dragged the bag .	-6.709019660949707	boat_(-3.2243161);body_(-3.398665);man_(-3.7896485);shore_(-4.0125995);chains_(-4.0378284);	-8.59124755859375
shovel	drain	sink	P	The shovel drained the sink .	-5.362752437591553	bucket_(-1.9676598);contents_(-2.9753187);water_(-3.2556877);hole_(-3.3467522);dirt_(-3.4627228);	-14.081289291381836
pen	drain	sink	N	The pen drained the sink .	-7.026796817779541	ink_(-2.3492155);pen_(-2.9981546);paper_(-3.2210693);blood_(-3.4046373);liquid_(-3.4652996);	-15.040201187133789
chef	draw	pumpkin	P	The chef drew the pumpkin .			
house	draw	pumpkin	N	The house drew the pumpkin .			
woman	drink	beer	P	The woman drank the beer .	-3.3154184818267822	water_(-1.7578851);wine_(-2.2250416);tea_(-2.2963924);blood_(-2.523922);coffee_(-2.65881);	-13.026968955993652
table	drink	beer	N	The table drank the beer .	-1.9344277381896973	wine_(-1.7105708);beer_(-1.9344277);coffee_(-2.2032647);tea_(-2.890513);water_(-3.1875138);	-13.026968955993652
chef	drink	milk	P	The chef drank the milk .	-3.4506635665893555	wine_(-1.457284);coffee_(-1.9182035);tea_(-2.1758337);beer_(-2.4358578);water_(-2.7131357);	-15.493317604064941
chair	drink	milk	N	The chair drank the milk .	-3.0533511638641357	water_(-1.885989);coffee_(-2.64441);wine_(-2.6621044);blood_(-2.9710968);tea_(-3.001706);	-15.493317604064941
chef	drive	car	P	The chef drove the car .	-0.790591299533844	car_(-0.7905913);truck_(-2.2422142);boat_(-2.8268833);cart_(-3.2776957);van_(-3.282731);	-9.32065200805664
lion	drive	car	N	The lion drove the car .	-4.8494181632995605	horse_(-2.351026);tiger_(-2.9822373);beast_(-3.080874);lion_(-3.415091);bull_(-3.503636);	-9.32065200805664
robot	drive	train	P	The robot drove the train .	-3.3357434272766113	car_(-1.0965934);vehicle_(-2.487349);truck_(-2.8490758);machine_(-3.1930022);cart_(-3.2799373);	-12.071087837219238
rabbit	drive	train	N	The rabbit drove the train .	-3.7162108421325684	car_(-1.9925035);rabbit_(-2.6607928);horse_(-3.0440545);cart_(-3.1417973);goose_(-3.6790624);	-12.071087837219238
bowl	dump	water	P	The bowl dumped the water .	-2.9295053482055664	contents_(-1.0914088);water_(-2.9295053);liquid_(-3.6640558);food_(-3.7244291);rest_(-3.741704);	-11.987295150756836
water	dump	water	N	The water dumped the water .	-4.965346813201904	body_(-2.7028565);bodies_(-3.071896);house_(-4.1132183);corpse_(-4.158368);man_(-4.4957137);	-11.987295150756836
mouse	enter	basket	P	The mouse entered the basket .	-8.565970420837402	room_(-1.2952214);game_(-3.01946);screen_(-3.473122);machine_(-4.1017466);maze_(-4.294215);	-11.738839149475098
elephant	enter	basket	N	The elephant entered the basket .	-6.163819313049316	room_(-2.4251401);house_(-2.691097);temple_(-3.288452);garden_(-3.2928016);cave_(-3.4517868);	-11.738839149475098
mouse	enter	cup	P	The mouse entered the cup .	-8.120787620544434	room_(-1.2952214);game_(-3.01946);screen_(-3.473122);machine_(-4.1017466);maze_(-4.294215);	-10.630731582641602
girl	enter	cup	N	The girl entered the cup .	-9.730067253112793	room_(-0.9098506);kitchen_(-2.947785);house_(-3.052256);bedroom_(-3.8439918);hall_(-4.017076);	-10.630731582641602
woman	enter	room	P	The woman entered the room .	-0.5706774592399597	room_(-0.57067746);kitchen_(-3.0473955);house_(-3.534745);bedroom_(-4.0871167);hall_(-4.144441);	-10.864799499511719
boat	enter	room	N	The boat entered the room .	-8.64768123626709	water_(-0.9822355);sea_(-2.0405135);river_(-2.8000436);channel_(-2.8284516);ocean_(-3.0196471);	-10.864799499511719
eraser	erase	stain	P	The eraser erased the stain .	-6.819411754608154	page_(-2.5947332);image_(-2.6065645);line_(-3.1034908);picture_(-3.399026);paper_(-3.7150803);	-10.187742233276367
air	erase	stain	N	The air erased the stain .	-6.281320571899414	pain_(-3.4464102);past_(-3.9126697);image_(-4.0173297);memory_(-4.1183276);sun_(-4.1512446);	-10.23429012298584
man	erect	building	P	The man erected the building .	-3.6737985610961914	wall_(-2.8518734);tent_(-3.338541);cross_(-3.6271544);building_(-3.6737986);house_(-3.7123957);	-10.483007431030273
rabbit	erect	building	N	The rabbit erected the building .	-3.8847692012786865	wall_(-2.567888);house_(-3.1279085);tower_(-3.1632802);statue_(-3.4253519);cross_(-3.5448358);	-10.483007431030273
