SUBJECT	VERB	mean_rat	std_rat
sergeant	assign	5.95	0.97
porter	load	5.9	1.18
crew	load	5.8	0.93
usurer	lend	5.8	1.47
vandal	spray	5.8	0.68
child	throw	5.75	0.83
employer	offer	5.75	1.13
nurse	hand	5.65	1.19
confectioner	spread	5.65	0.96
patient	report	5.5	1.24
hostess	explain	5.45	1.5
volunteer	bring	5.45	1.32
journalist	carry	5.45	1.12
librarian	put	5.4	1.28
president	give	5.4	1.32
boss	promise	5.4	1.32
chauffeur	carry	5.25	1.26
salesperson	send	5.25	1.22
teacher	give	5.25	1.41
employee	pass	5.2	1.25
jeweller	put	5.2	1.21
blacksmith	pour	5.05	1.56
teacher	lend	5.05	1.36
reporter	bring	4.95	1.43
beautician	spread	4.95	1.53
spy	pass	4.95	1.6
child	lend	4.95	1.12
doctor	offer	4.9	1.76
billionaire	donate	4.9	1.76
diplomat	carry	4.8	1.4
soldier	throw	4.65	1.46
traveller	hand	4.55	1.24
student	send	4.5	1.32
policeman	put	4.5	1.43
demonstrator	throw	4.35	1.56
general	send	4.35	1.39
bank	assign	4.3	1.52
priest	promise	4.25	1.48
sculptor	teach	4.05	1.36
manager	rent	3.8	1.57
investor	rent	3.7	1.49
mechanic	rent	3.6	1.36
collector	donate	3.5	1.43
professor	donate	3.25	1.41
mechanic	spread	3.2	1.4
