SUBJECT	VERB	OBJECT	INSTRUMENT	typicality	mean_rat	std_rat
gardener	gather	grass	helicopter	AT	1.6	1.36
hairstylist	wash	hair	beer	AT	1.6	1.43
soldier	fight	enemy	spoon	AT	1.6	1.36
housemaid	clean	window	chisel	AT	3.75	2.74
painter	paint	picture	napkin	AT	3.1	2.32
hairstylist	flip	hair	fork	AT	1.3	0.9
porter	carry	bag	tractor	AT	1.1	0.3
child	cross	park	truck	AT	1.8	1.44
soldier	cross	river	lifeboat	AT	4.15	2.35
farmer	plow	field	bicycle	AT	2.45	2.25
hairstylist	fix	hair	plaster	AT	3.55	2.77
fisherman	catch	fish	hammer	AT	1.2	0.4
gardener	cut	grass	knife	AT	2.55	2.09
author	sign	book	needle	AT	1.4	1.32
general	gather	soldier	stick	AT	2.6	1.98
photographer	capture	image	brush	AT	1.95	1.75
barber	cut	beard	machete	AT	1.15	0.36
mechanic	assemble	bicycle	tape	AT	3.0	1.84
waiter	deliver	drink	van	AT	2.25	1.84
climber	climb	rock	ladder	AT	3.45	2.33
lumberjack	cut	tree	scissors	AT	2.45	2.25
butcher	carve	meat	lancet	AT	3.5	2.16
mechanic	check	tire	microscope	AT	1.1	0.3
guard	open	jail	lighter	AT	1.55	1.43
carver	build	sculpture	pencil	AT	2.9	2.02
archer	release	arrow	rope	AT	4.75	2.41
illustrator	draw	picture	sponge	AT	4.15	2.59
mason	mix	cement	spoon	AT	3.45	2.48
climber	face	wall	shovel	AT	2.6	2.11
cobbler	fix	shoe	fork	AT	2.45	2.18
housemaid	wash	floor	flag	AT	2.75	2.43
chemist	mix	substance	trowel	AT	3.9	2.34
veterinarian	examine	dog	telescope	AT	1.15	0.36
policeman	capture	thief	fork	AT	2.1	1.76
confectioner	decorate	cake	stapler	AT	1.8	1.66
scoutmaster	assemble	tent	glue	AT	2.9	1.64
botanist	examine	plant	hammer	AT	2.05	1.86
milkman	carry	bottle	helicopter	AT	2.4	2.35
postman	deliver	mail	airplane	AT	2.05	1.56
housemaid	clean	dish	hydrant	AT	4.15	2.65
waiter	open	bottle	pen	AT	1.85	1.8
cook	clean	fish	sponge	AT	3.7	2.61
policeman	hit	demonstrator	spoon	AT	2.15	1.88
mother	hang	laundry	nails	AT	3.2	2.14
mason	fix	wall	hairdryer	AT	1.6	1.66
surgeon	perform	surgery	compass	AT	1.05	0.22
philologist	examine	book	stethoscope	AT	2.3	1.79
cook	mix	ingredient	knife	AT	3.15	2.01
cyclist	fix	bike	spoon	AT	2.7	2.26
pyromaniac	start	fire	stone	AT	3.2	2.11
hairstylist	fix	hair	screwdriver	AT	1.5	1.32
guard	tie	prisoner	necklace	AT	1.4	0.92
journalist	write	article	chisel	AT	1.35	0.73
child	draw	flower	scalpel	AT	1.05	0.22
teacher	explain	exercise	foot	AT	2.05	1.56
painter	decorate	wall	scalpel	AT	1.75	1.37
confectioner	spread	icing	hose	AT	1.3	0.71
mother	decorate	house	garbage	AT	1.15	0.36
mechanic	fix	tire	pencil	AT	1.5	0.87
musician	touch	instrument	club	AT	1.65	1.35
carpenter	fix	chair	trowel	AT	2.3	1.71
astronaut	reach	moon	dirigible	AT	1.7	1.52
policeman	examine	car	telescope	AT	1.8	0.81
mother	prepare	food	bonfire	AT	2.5	1.6
cook	flip	pancake	shovel	AT	1.15	0.48
dog	carry	ball	basket	AT	1.5	0.59
waiter	bring	glass	backpack	AT	1.2	0.4
mother	prepare	food	kiln	AT	2.65	1.88
guard	tie	prisoner	headphones	AT	1.5	1.32
singer	perform	music	megaphone	AT	3.35	1.77
waiter	mix	drink	drill	AT	1.2	0.51
firefighter	fight	fire	bottle	AT	1.65	0.73
skier	gain	speed	oar	AT	1.85	1.8
goalkeeper	grab	ball	mouth	AT	1.3	0.46
tailor	sew	dress	scalpel	AT	1.5	0.92
student	send	email	television	AT	1.6	0.8
spectator	watch	game	magnifier	AT	3.25	2.07
butcher	cut	meat	razor	AT	1.65	1.24
sweeper	clean	street	sponge	AT	1.65	0.85
footballer	hit	ball	bat	AT	1.75	1.51
porter	carry	bag	sled	AT	1.85	1.06
surfer	catch	wave	lifesaver	AT	2.15	1.42
chauffeur	carry	passenger	barrow	AT	1.35	0.65
dog	dig	hole	tail	AT	1.5	0.81
volunteer	bring	food	raft	AT	2.95	1.53
waiter	clear	table	vacuum	AT	1.8	1.17
demonstrator	throw	stone	catapult	AT	2.7	1.79
musician	entertain	crowd	flag	AT	2.45	1.16
deejay	mix	music	phone	AT	3.1	1.7
mover	move	furniture	bicycle	AT	1.85	1.24
farmer	plow	field	helicopter	AT	1.15	0.36
policeman	capture	thief	saber	AT	1.9	1.09
crew	load	container	catapult	AT	1.7	0.95
sailor	face	ocean	inflatable	AT	2.75	1.44
barber	cut	hair	laser	AT	1.35	0.91
businessman	read	report	telescope	AT	1.0	0.0
receiver	catch	baseball	pincers	AT	1.15	0.48
guest	hang	coat	glue	AT	1.2	0.4
soldier	dig	trench	spoon	AT	1.4	0.73
pyromaniac	start	fire	magnifier	AT	4.6	1.69
