SUBJECT	VERB	OBJECT	LOCATION	typicality	mean_rat	std_rat LM
farmer	use	shovel	field	T	6.2	1.6  in
skater	ride	skateboard	sidewalk	T	6.15	1.49  on
programmer	use	computer	office	T	6.65	1.11  in
sailor	tie	rope	boat	T	6.2	1.5 on
cook	mix	ingredients	kitchen	T	6.85	0.36  in
policeman	hit	demonstrator	square	T	4.55	1.99  in
guard	tie	prisoner	jail	T	5.7	1.85  in
demonstrator	throw	stone	street	T	5.7	1.0  in
student	read	book	library	T	6.5	0.5  in
pyromaniac	start	fire	forest	T	4.2	2.32  in
author	sign	book	bookshop	T	5.75	1.76  at
horse	move	cart	field	T	5.1	1.79  in
businessman	wear	tie	office	T	6.45	1.2  in
doctor	visit	patient	clinic	T	6.1	1.34  at
politician	sign	agreement	parliament	T	6.05	1.2 at 
gardener	push	mower	garden	T	6.05	1.91  in
guest	hold	drink	bar	T	6.05	1.2 in
businessman	read	report	office	T	6.65	0.57  in
tourist	read	map	street	T	6.2	1.63  in
illusionist	perform	trick	circus	T	6.1	1.41  in
soldier	throw	bomb	battlefield	T	6.45	0.92  in
librarian	stack	books	shelf	T	6.4	0.58  on
champion	hold	cup	podium	T	6.5	0.87  on
porter	stack	suitcases	lobby	T	5.0	2.43  in
deejay	mix	music	discotheque	T	6.25	1.61  at
athlete	win	cup	stadium	T	5.45	1.63  in
violinist	wear	tuxedo	theater	T	5.35	1.88  in
tourist	ride	camel	desert	T	5.25	1.64  in
spectator	watch	game	stadium	T	6.9	0.44  at
hairstylist	wash	hair	salon	T	5.75	1.41  at
lumberjack	stack	wood	truck	T	5.35	1.49  on
child	visit	grandmother	hospice	T	4.85	1.59  at
teacher	use	blackboard	classroom	T	6.9	0.3  in
singer	perform	music	stage	T	6.6	0.97  on
doctor	sew	wound	clinic	T	5.65	1.42  in
chemist	sell	drug	pharmacy	T	5.6	1.74  at
climber	use	rope	mountain	T	6.3	1.42  on
professor	open	congress	university	T	5.1	1.79  at
violinist	play	violin	theater	T	5.4	2.03  in
passenger	pass	check	airport	T	4.15	2.22  at
sailor	mop	deck	boat	T	6.3	1.23  on
surgeon	perform	surgery	hospital	T	6.45	1.32  at
passenger	pull	suitcase	station	T	6.25	1.13  at
waiter	prepare	drink	bar	T	6.15	1.62  in
farmer	pick	vegetables	greenhouse	T	4.75	2.14  in
guard	open	jail	prison	T	6.35	0.91  in
terrorist	release	hostage	desert	T	4.15	1.31  in
cameraman	record	video	set	T	6.35	1.01  on
customer	read	menu	restaurant	T	6.65	0.91  at
nurse	push	wheelchair	hospital	T	5.9	1.37  at
nurse	wash	infant	hospital	T	6.15	1.56  at
binman	pick	trash	street	T	6.25	1.13  in
student	pass	exam	university	T	6.35	1.01  at
singer	record	song	studio	T	6.95	0.22  in
smuggler	sell	weapon	black-market	T	6.1	0.94  on
soldier	wear	helmet	battlefield	T	6.8	0.4  in
surfer	wear	swimsuit	beach	T	6.5	0.92  at
bodybuilder	lift	weight	gym	T	5.25	2.28  at
dog	pull	sled	mountain	T	4.4	1.91  up
child	throw	snowball	courtyard	T	5.25	1.92  in
undertaker	dig	grave	cemetery	T	6.55	0.97  in
student	wear	jeans	pub	T	6.05	0.86  in
housewife	clean	table	kitchen	T	6.95	0.22  in
mechanic	fix	tire	garage	T	6.65	0.65  in
dog	dig	hole	garden	T	6.45	0.8  in
artist	hang	picture	gallery	T	6.55	0.86  in
musician	hold	guitar	stage	T	6.8	0.4 on
journalist	write	article	newsroom	T	6.6	0.49  in
dog	chase	ball	park	T	6.5	0.59  at
soldier	hang	rifle	armory	T	6.0	0.77
painter	paint	picture	square	T	5.8	0.98
gardener	gather	grass	garden	T	6.7	0.56  in
cheerleader	shake	flag	stadium	T	5.95	1.24
sculptor	carve	stone	workshop	T	5.85	1.53
teenager	hear	music	bus	T	5.95	0.8
ant	stack	supply	burrow	T	5.2	1.83
mother	push	stroller	sidewalk	T	5.6	1.85
spectator	hear	speech	auditorium	T	6.4	0.97
gardener	decorate	garden	mansion	T	4.9	1.79  in
cook	check	grocery	pantry	T	5.65	1.62
artist	assemble	art	museum	T	6.05	0.74  in
painter	decorate	wall	mansion	T	5.45	1.4
biologist	use	microscope	laboratory	T	6.65	0.48
fisherman	check	net	boat	T	6.75	0.7 on
student	celebrate	graduation	restaurant	T	5.2	1.6 at
comedian	entertain	audience	theater	T	6.4	1.36  in
truck	plow	snow	street	T	5.7	1.42  in
truck	hit	car	highway	T	5.45	1.24
jockey	ride	horse	racetrack	T	6.35	0.85
housemaid	clean	dish	kitchen	T	6.9	0.3
driver	hear	horn	crossroad	T	5.85	1.11
child	pick	flower	park	T	6.3	0.84  at
student	use	computer	library	T	6.55	1.32  in
student	hear	lecture	university	T	6.65	0.48  at
thief	grab	money	supermarket	T	5.55	1.24
animal	find	food	dump	T	5.6	1.5 in
policeman	examine	car	parking	T	5.9	0.7
traveller	check	watch	platform	T	5.5	1.83
waiter	open	bottle	restaurant	T	6.8	0.4 at
guide	describe	monument	bar	AT	2.85	2.06  in
philologist	examine	book	pub	AT	3.05	1.72
burglar	climb	wall	mountain	AT	2.3	2.05
professor	deliver	lecture	gym	AT	3.15	1.93
priest	celebrate	marriage	discotheque	AT	2.15	1.39  at
musician	entertain	crowd	mountain	AT	3.05	1.94
demonstrator	carry	flag	bar	AT	3.35	2.5 in
singer	begin	performance	supermarket	AT	2.35	1.56
soldier	carry	rifle	cinema	AT	1.4	0.58
fisherman	catch	fish	swimming-pool	AT	3.5	2.56
engineer	complete	project	restaurant	AT	2.95	1.83  at
mechanic	assemble	bicycle	theater	AT	3.05	2.46  in
president	deliver	speech	mountain	AT	2.45	1.8 in
gardener	cut	grass	beach	AT	4.2	2.48  at
soldier	celebrate	victory	university	AT	2.1	1.48  at
librarian	climb	ladder	bar	AT	4.25	2.55  in
veterinarian	examine	dog	cinema	AT	1.7	1.52
surfer	grab	board	shipyard	AT	2.5	1.32
guest	hang	coat	supermarket	AT	1.75	1.3  in
mechanic	check	tire	hospital	AT	1.6	1.32  at
cyclist	complete	race	garden	AT	2.6	1.53  in
porter	carry	bag	forest	AT	1.75	1.26  in
student	drink	beer	classroom	AT	1.8	1.25  in
hound	fetch	bird	hospital	AT	3.05	2.5  at
cook	clean	fish	battlefield	AT	2.2	1.81  in
policeman	check	bag	kitchen	AT	3.55	1.96
athlete	celebrate	victory	church	AT	1.65	0.79  in
player	begin	match	restaurant	AT	2.2	1.86  at
lumberjack	cut	tree	parliament	AT	1.95	1.75
soldier	gather	ammunition	nursery	AT	1.35	0.57  in
surfer	catch	wave	lake	AT	3.6	2.48
mother	hang	laundry	office	AT	2.95	1.86  in
carver	build	sculpture	boat	AT	3.65	2.33  on
scoutmaster	assemble	tent	office	AT	1.85	1.49  in
refugee	find	shelter	bakery	AT	2.4	1.28
singer	hold	microphone	battlefield	AT	2.15	1.74  in
soldier	dig	trench	library	AT	3.3	2.61  in
waiter	clear	table	barracks	AT	4.1	2.26
child	climb	tree	savannah	AT	3.5	2.36
chemist	mix	substance	airport	AT	1.95	1.16  at
coach	check	team	auditorium	AT	3.2	2.14
policeman	capture	thief	nursery	AT	2.55	1.6  in
monkey	grab	banana	university	AT	3.7	2.35  at
passenger	buy	ticket	bakery	AT	1.25	0.54
surgeon	examine	patient	library	AT	1.65	1.35  in
soldier	fight	enemy	kitchen	AT	2.2	2.06
spectator	buy	ticket	clinic	AT	2.85	2.2
boxer	deliver	punch	church	AT	1.7	1.1 in
child	draw	flower	armory	AT	2.35	1.96
botanist	examine	plant	stadium	AT	2.25	1.84
programmer	use	computer	savannah	AT	2.95	1.77
sailor	mop	deck	theater	AT	1.7	0.9
student	pass	exam	supermarket	AT	1.4	0.8
sailor	tie	rope	bar	AT	2.45	1.16  in
politician	sign	agreement	station	AT	2.2	1.36  at
waiter	prepare	drink	forest	AT	2.35	1.28  in
dog	pull	sled	clinic	AT	1.2	0.6
climber	use	rope	elevator	AT	2.5	1.94
surgeon	perform	surgery	beach	AT	1.65	0.79  at
spectator	watch	game	church	AT	2.2	1.81  in
doctor	visit	patient	mountain	AT	2.35	1.42
smuggler	sell	weapon	hospital	AT	1.9	1.48  at
actor	win	award	armory	AT	2.05	1.2
farmer	pick	vegetables	boat	AT	1.95	1.02  on
customer	read	menu	stadium	AT	3.75	2.09
child	visit	grandmother	barracks	AT	2.7	1.68
pyromaniac	start	fire	beach	AT	2.5	1.96  at
violinist	wear	tuxedo	workshop	AT	3.3	2.53
nurse	push	wheelchair	discotheque	AT	1.95	0.92
guard	tie	prisoner	tobacconist	AT	3.05	2.04
author	sign	book	battlefield	AT	2.1	0.94  in
hairstylist	wash	hair	bar	AT	1.75	1.09  in
gardener	push	mower	supermarket	AT	2.9	2.14
librarian	stack	books	oven	AT	2.35	1.8 in
passenger	pass	check	nursery	AT	1.5	0.59
soldier	wear	helmet	auditorium	AT	1.95	1.4
cameraman	record	video	greenhouse	AT	2.35	1.39
doctor	sew	wound	restaurant	AT	2.5	1.36  at
policeman	hit	demonstrator	greenhouse	AT	3.0	1.73
deejay	mix	music	shipyard	AT	2.2	1.75
singer	perform	music	battlefield	AT	2.2	1.44  in
surfer	wear	swimsuit	clinic	AT	2.0	0.89
champion	hold	cup	hospital	AT	2.85	1.98  at
student	read	book	grocery	AT	3.95	2.06
tourist	read	map	classroom	AT	1.8	0.93  in
illusionist	perform	trick	office	AT	3.2	1.36  in
farmer	use	shovel	parliament	AT	1.9	1.79
nurse	wash	infant	airport	AT	2.8	2.06  at
athlete	win	cup	bank	AT	2.85	2.37
singer	record	song	bakery	AT	1.55	0.97
guest	hold	drink	forest	AT	2.7	1.68  in
horse	move	cart	school	AT	2.7	2.03
professor	open	congress	circus	AT	2.9	2.36
businessman	read	report	beach	AT	2.95	1.47  at
chemist	sell	drug	museum	AT	2.25	1.37  in
passenger	pull	suitcase	library	AT	2.25	1.51  in
skater	ride	skateboard	savannah	AT	1.95	1.12
binman	pick	trash	lake	AT	2.95	1.66
violinist	play	violin	swimming-pool	AT	1.8	1.25
demonstrator	throw	stone	lake	AT	3.1	1.79
lumberjack	stack	wood	university	AT	2.7	1.71  at
businessman	wear	tie	zoo	AT	3.05	1.69  at
teacher	use	blackboard	pharmacy	AT	1.35	0.73
guard	open	jail	restaurant	AT	2.8	2.34  at
tourist	ride	camel	beach	AT	2.7	1.58  at
soldier	throw	bomb	circus	AT	1.5	0.92
terrorist	release	hostage	lake	AT	3.3	1.82
porter	stack	suitcases	playground	AT	2.1	1.22
cook	mix	ingredients	cinema	AT	1.95	1.75
bodybuilder	lift	weight	classroom	AT	2.85	1.46  in
ant	stack	supply	shelf	AT	1.7	0.95
mother	push	stroller	desert	AT	1.9	1.22  in
artist	assemble	art	dump	AT	2.1	1.45
dog	dig	hole	stadium	AT	2.55	1.36
student	hear	lecture	subway	AT	2.25	1.13
teenager	hear	music	classroom	AT	4.55	1.53  in
traveller	check	watch	prison	AT	1.75	1.13  in
jockey	ride	horse	hospital	AT	1.3	0.46  at
gardener	gather	grass	savannah	AT	3.0	1.84
housewife	clean	table	armory	AT	2.05	1.16
child	throw	snowball	theater	AT	1.55	0.67  in
truck	plow	snow	shop	AT	1.5	0.59  in
gardener	decorate	garden	skyscraper	AT	2.2	1.4  in
comedian	entertain	audience	submarine	AT	1.65	0.96    in
animal	find	food	supermarket	AT	2.75	1.84
dog	chase	ball	museum	AT	1.6	0.73  in
driver	hear	horn	library	AT	2.15	1.62  in
painter	decorate	wall	restroom	AT	3.75	1.84  in
journalist	write	article	forest	AT	2.35	1.06  in
soldier	hang	rifle	terrace	AT	2.35	1.49  in
spectator	hear	speech	barn	AT	2.1	1.09
biologist	use	microscope	bookshop	AT	1.75	1.18
painter	paint	picture	barracks	AT	2.45	1.36
waiter	open	bottle	battlefield	AT	1.5	1.16  in
student	wear	jeans	swimming-pool	AT	1.55	0.59
musician	hold	guitar	kitchen	AT	3.3	1.65  in
undertaker	dig	grave	park	AT	2.15	1.42  at
artist	hang	picture	factory	AT	2.3	1.1
truck	hit	car	beach	AT	2.0	1.34  at
housemaid	clean	dish	cinema	AT	1.35	0.73
thief	grab	money	nursery	AT	2.35	1.24  in
cheerleader	shake	flag	garage	AT	2.05	1.36
child	pick	flower	canyon	AT	2.85	1.01
student	celebrate	graduation	cemetery	AT	1.4	0.58  in
sculptor	carve	stone	discotheque	AT	1.45	0.5 at
student	use	computer	helicopter	AT	1.7	0.9
cook	check	grocery	church	AT	2.05	1.32  in
fisherman	check	net	airplane	AT	1.55	0.59
mechanic	fix	tire	bakery	AT	1.75	1.09
policeman	examine	car	desert	AT	2.75	1.7  in
