SUBJECT	VERB	OBJECT	RECIPIENT	typicality	mean_rat	std_rat
journalist	carry	article	cook	AT	2.15	1.68
student	send	email	president	AT	2.9	1.48
waiter	pour	wine	tub	AT	1.95	1.66
beautician	spread	cream	car	AT	1.85	1.46
pusher	sell	drug	lawyer	AT	2.85	1.68
traveller	hand	bag	teacher	AT	2.2	1.69
jeweller	put	necklace	oven	AT	1.7	1.23
collector	donate	painting	supermarket	AT	2.0	1.55
witness	explain	circumstances	clown	AT	1.7	1.49
teacher	lend	book	gambler	AT	2.3	1.79
patient	report	symptom	architect	AT	1.9	1.79
mechanic	spread	coating	wall	AT	2.25	1.84
librarian	put	book	fridge	AT	2.2	1.94
sculptor	teach	art	skater	AT	1.85	0.85
investor	rent	land	milkman	AT	2.35	1.49
vandal	spray	paint	pot	AT	3.5	2.11
blacksmith	pour	metal	glass	AT	2.8	2.09
scientist	report	finding	lumberjack	AT	2.1	1.64
salesperson	send	questionnaire	astronaut	AT	1.75	1.51
employee	pass	report	fisherman	AT	1.6	0.97
child	lend	pen	surgeon	AT	1.75	1.73
reporter	bring	news	tailor	AT	2.5	1.53
boss	promise	promotion	runner	AT	3.85	2.06
child	throw	ball	politician	AT	2.1	1.45
parent	give	present	goalkeeper	AT	2.2	1.6
scientist	report	finding	swimmer	AT	2.0	1.7
sergeant	assign	mission	nun	AT	1.2	0.4
nurse	hand	lancet	chef	AT	2.0	1.9
diplomat	carry	message	grandfather	AT	2.35	1.31
priest	teach	bible	binman	AT	2.8	1.5
policeman	put	criminal	tub	AT	1.6	1.43
hairstylist	spray	foam	car	AT	1.85	1.46
witness	report	crime	chemist	AT	1.8	1.17
soldier	throw	bomb	handmaid	AT	1.65	0.85
billionaire	donate	money	goalkeeper	AT	1.9	1.67
bartender	hand	drink	surgeon	AT	2.9	1.48
billionaire	donate	money	supermarket	AT	2.75	1.18
boss	assign	job	queen	AT	1.3	0.56
professor	teach	language	beautician	AT	2.2	1.44
president	promise	reform	grocer	AT	2.55	1.36
priest	teach	bible	climber	AT	2.5	1.47
farmer	spray	pesticide	hair	AT	1.05	0.22
traveller	hand	bag	footballer	AT	1.5	0.81
beautician	spread	cream	cake	AT	1.7	0.78
farmer	sell	corn	hospital	AT	2.1	0.99
manager	rent	room	surfer	AT	2.45	1.53
student	send	email	farmer	AT	2.5	1.43
student	send	email	postman	AT	2.35	1.53
general	send	soldier	park	AT	2.2	1.21
confectioner	spread	icing	steak	AT	1.45	0.59
waiter	bring	glass	thief	AT	2.1	1.22
chemist	pour	compound	puddle	AT	2.3	1.71
teacher	explain	exercise	sergeant	AT	2.05	1.12
anchorman	tell	news	patient	AT	2.4	1.83
mechanic	spread	coating	toenail	AT	1.1	0.3
footballer	pass	ball	cat	AT	1.45	0.92
child	throw	ball	electrician	AT	1.95	1.28
porter	load	luggage	catamaran	AT	4.3	1.93
waiter	pour	wine	lake	AT	1.15	0.36
chauffeur	carry	passenger	battlefield	AT	1.75	1.18
employer	offer	job	child	AT	2.0	1.1
footballer	pass	ball	nurse	AT	1.75	0.89
bank	assign	code	plumber	AT	2.65	1.31
professor	teach	language	firefighter	AT	2.45	1.56
teacher	lend	book	burglar	AT	1.4	0.73
doctor	offer	support	lawyer	AT	3.2	1.54
salesperson	send	questionnaire	monarch	AT	1.8	1.08
government	offer	protection	gardener	AT	2.15	1.62
president	promise	reform	actor	AT	2.35	1.68
scientist	report	finding	butcher	AT	1.15	0.36
teacher	give	homework	gambler	AT	2.4	1.5
chauffeur	carry	passenger	dump	AT	2.05	1.28
witness	explain	circumstances	cook	AT	1.35	0.91
witness	report	crime	baker	AT	1.2	0.4
child	tell	lie	politician	AT	2.0	1.05
doctor	offer	support	hairstylist	AT	2.65	1.59
crew	load	container	helicopter	AT	4.5	1.57
professor	donate	book	slave	AT	1.8	1.21
policeman	put	criminal	shuttle	AT	2.35	1.53
president	give	speech	clown	AT	1.9	1.51
government	offer	protection	penguin	AT	1.5	1.02
jeweller	put	necklace	fridge	AT	1.55	0.74
diplomat	carry	message	confectioner	AT	1.85	1.06
dealer	sell	car	referee	AT	3.1	1.3
vandal	spray	paint	hair	AT	2.2	1.03
