SUBJECT	VERB	OBJECT	typicality	mean_rat	std_rat
champion	hold	guitar	AT	2.95	1.83
sculptor	carve	meat	AT	2.45	1.8
artist	assemble	tent	AT	2.0	1.1
bartender	shake	flag	AT	2.05	1.6
cook	cut	grass	AT	3.35	2.01
killer	pull	cart	AT	2.5	1.94
pilot	begin	performance	AT	2.4	1.88
horse	pull	suitcase	AT	1.55	1.36
tailor	sew	wound	AT	1.6	1.11
athlete	win	toy	AT	3.15	2.26
philologist	examine	camera	AT	2.3	1.27
lumberjack	stack	book	AT	2.2	1.17
butcher	use	camera	AT	2.05	1.53
carpenter	fix	shoe	AT	1.2	0.51
thief	grab	banana	AT	3.7	2.24
electrician	check	rifle	AT	1.9	1.55
smuggler	sell	flower	AT	2.4	1.83
student	hear	command	AT	4.45	1.75
goalkeeper	hold	child	AT	2.7	1.65
scoutmaster	assemble	sailboat	AT	4.25	1.76
teacher	use	knife	AT	2.85	1.19
chemist	sell	dog	AT	1.9	1.45
gardener	push	demonstrator	AT	2.6	2.01
lumberjack	use	lancet	AT	2.75	1.81
gardener	cut	fish	AT	1.45	0.74
barber	cut	cake	AT	2.1	1.51
child	eat	bone	AT	2.85	2.08
illustrator	decorate	garden	AT	3.0	1.73
painter	mix	drink	AT	2.8	1.33
undertaker	dig	trench	AT	3.2	2.11
priest	celebrate	graduation	AT	3.85	2.2
mason	fix	tire	AT	3.25	2.41
hairstylist	fix	bike	AT	1.25	0.43
fisherman	catch	ball	AT	2.2	1.75
professor	wear	goggles	AT	4.7	1.95
waiter	mix	cement	AT	1.5	1.12
teenager	hear	lecture	AT	4.65	2.06
secretary	write	sonnet	AT	3.55	2.44
child	build	sculpture	AT	3.95	1.88
player	gather	grass	AT	2.4	1.8
guest	hang	laundry	AT	3.9	2.0
goalkeeper	throw	bomb	AT	1.05	0.22
tourist	ride	skate	AT	3.7	2.17
cyclist	complete	project	AT	2.7	1.35
biker	wear	swimsuit	AT	2.1	1.45
dog	pull	trigger	AT	2.8	2.54
carver	build	house	AT	2.9	1.95
child	cut	tree	AT	1.75	1.44
professor	open	jail	AT	1.2	0.4
mechanic	assemble	art	AT	1.7	1.1
soldier	fight	cancer	AT	3.1	1.87
cook	clean	window	AT	2.3	1.68
surfer	wear	tuxedo	AT	2.1	1.87
child	ride	bull	AT	2.0	1.55
gardener	gather	flag	AT	1.9	1.18
player	enjoy	beer	AT	4.5	1.43
biologist	use	razor	AT	3.3	1.65
surgeon	perform	dance	AT	2.4	1.46
hiker	face	camera	AT	3.95	2.09
student	read	hand	AT	2.4	1.2
surfer	wear	tie	AT	2.0	1.76
soldier	throw	snowball	AT	1.8	0.98
butcher	sell	weapon	AT	1.6	0.73
president	visit	grandmother	AT	4.45	1.77
traveller	check	team	AT	3.0	1.97
sailor	tie	necktie	AT	3.5	1.91
patient	fight	fire	AT	1.95	1.4
soldier	wear	jeans	AT	3.85	1.8
butcher	carve	stone	AT	2.3	1.79
policeman	hit	ball	AT	2.7	1.27
nurse	push	mower	AT	1.45	0.74
illustrator	draw	carriage	AT	5.15	1.8
soldier	carry	ball	AT	1.7	1.45
child	drink	beer	AT	2.0	1.76
soldier	hang	picture	AT	3.2	2.23
footballer	deliver	lecture	AT	3.2	2.29
general	gather	bread	AT	1.85	1.39
soldier	release	film	AT	1.9	0.94
gardener	decorate	book	AT	2.05	1.69
student	drink	milk	AT	4.9	1.67
footballer	hit	car	AT	2.3	1.42
ant	stack	suitcase	AT	1.95	1.69
boxer	deliver	drink	AT	2.2	1.29
refugee	find	doll	AT	3.15	2.1
mechanic	check	grocery	AT	2.3	1.19
veterinarian	examine	plant	AT	2.2	1.57
farmer	use	computer	AT	2.55	1.4
doctor	sew	shoe	AT	1.6	1.16
model	face	mountain	AT	2.75	1.61
librarian	stack	supply	AT	3.85	2.1
photographer	capture	thief	AT	1.75	1.37
dog	dig	grave	AT	2.6	1.59
surfer	catch	baseball	AT	1.75	0.7
illusionist	perform	surgery	AT	1.5	1.36
skater	ride	bus	AT	3.9	2.1
musician	read	menu	AT	2.45	1.2
athlete	celebrate	marriage	AT	3.1	1.51
footballer	chase	toy	AT	2.7	1.87
carpenter	grab	ball	AT	1.25	0.43
doctor	visit	museum	AT	2.95	1.5
housemaid	clean	street	AT	2.9	1.34
fisherman	check	car	AT	1.75	1.18
violinist	wear	helmet	AT	3.05	2.54
player	reach	moon	AT	1.6	1.8
policeman	examine	patient	AT	2.0	1.26
photographer	use	stethoscope	AT	1.75	1.37
doctor	use	shovel	AT	2.9	2.43
cyclist	ride	skate	AT	2.1	1.34
mother	hold	flag	AT	3.2	1.44
painter	paint	toenail	AT	2.45	1.43
cook	buy	ticket	AT	3.0	1.38
student	use	saw	AT	2.9	1.81
businessman	wear	uniform	AT	4.15	2.43
actor	win	battle	AT	2.6	1.5
receiver	catch	wave	AT	2.05	1.24
cook	flip	hair	AT	2.5	2.11
painter	sign	agreement	AT	3.65	1.77
pilot	start	concert	AT	1.6	1.36
monkey	grab	board	AT	2.15	1.62
housemaid	clean	fish	AT	3.9	1.61
nanny	hear	speech	AT	3.2	1.86
chemist	mix	music	AT	1.35	0.57
climber	use	blackboard	AT	1.8	1.03
student	begin	match	AT	3.5	1.75
waiter	cut	hair	AT	1.45	0.5
policeman	capture	image	AT	2.9	1.26
professor	deliver	kick	AT	1.65	1.42
postman	deliver	punch	AT	2.7	2.15
roofer	climb	rock	AT	2.15	1.46
tourist	visit	patient	AT	3.0	1.95
waiter	deliver	speech	AT	1.6	0.66
policeman	push	stroller	AT	2.6	2.01
passenger	pass	ball	AT	2.05	1.63
binman	pick	flower	AT	3.05	1.72
child	cross	river	AT	3.5	1.63
lumberjack	cut	meat	AT	3.3	2.08
cook	mix	paint	AT	1.9	1.18
cook	check	tire	AT	1.9	1.04
porter	stack	wood	AT	4.0	2.39
singer	begin	race	AT	3.4	2.42
painter	complete	race	AT	2.0	0.89
cyclist	fix	hair	AT	2.5	1.63
photographer	prepare	food	AT	2.7	1.58
mason	build	snowman	AT	2.3	1.31
waiter	fetch	ball	AT	1.85	1.06
cat	drink	coffee	AT	1.45	0.8
surfer	ride	camel	AT	1.45	0.8
musician	touch	base	AT	3.95	2.04
guide	describe	software	AT	3.8	2.06
singer	perform	trick	AT	2.0	1.7
child	open	congress	AT	1.5	0.67
soldier	gather	ball	AT	1.75	1.13
surfer	grab	frisbee	AT	3.45	1.83
speleologist	examine	book	AT	3.65	2.41
climber	face	ocean	AT	2.35	1.15
cowboy	ride	bike	AT	3.25	2.3
blacksmith	pour	wine	AT	1.6	0.73
soldier	throw	ball	AT	2.3	1.55
demonstrator	throw	frisbee	AT	2.05	1.4
billionaire	donate	book	AT	4.15	1.85
bartender	hand	lancet	AT	1.4	0.58
porter	load	file	AT	2.8	1.17
dealer	sell	meat	AT	3.9	2.07
patient	report	crime	AT	2.25	1.18
hairstylist	spray	pesticide	AT	1.25	0.43
priest	promise	promotion	AT	2.2	1.25
engineer	draw	flower	AT	2.1	1.14
pupil	draw	turbine	AT	2.95	1.63
veterinarian	examine	epigraph	AT	1.55	0.8
child	write	diagnosis	AT	1.05	0.22
archeologist	examine	dog	AT	1.6	0.92
doctor	write	conjugation	AT	3.05	1.47
