SUBJECT	VERB	OBJECT	TIME	typicality	LM	mean_rat	std_rat
patient	report	symptom	examination	T	during	6.5	1.12
surgeon	examine	patient	surgery	T	before	6.75	0.43
witness	explain	circumstances	interrogatory	T	during	5.75	1.87
refugee	find	shelter	war	T	during	6.1	1.14
waiter	clear	table	dinner	T	after	6.95	0.22
businessman	read	report	meeting	T	before	6.55	0.5
doctor	sew	wound	accident	T	after	6.5	0.59
teacher	use	blackboard	lesson	T	during	6.75	0.43
violinist	wear	tuxedo	concert	T	during	6.7	0.46
chemist	mix	substance	experiment	T	during	6.7	0.46
athlete	celebrate	victory	hunting	AT	after	3.15	1.8
policeman	capture	thief	exam	AT	after	3.0	1.52
musician	hold	guitar	earthquake	AT	during	2.9	1.92
bodybuilder	lift	weight	persecution	AT	during	2.4	1.62
guest	hang	coat	explosion	AT	before	2.1	1.34
model	face	camera	fight	AT	during	2.7	2.26
boxer	deliver	punch	fire	AT	during	2.0	1.92
botanist	examine	plant	surgery	AT	during	2.5	2.06
skipper	assemble	sailboat	concert	AT	before	1.95	1.36
milkman	carry	bottle	night	AT	during	3.9	2.32
mother	decorate	house	prayer	AT	before	2.1	1.67
player	enjoy	game	invasion	AT	during	2.45	1.83
mother	hang	laundry	night	AT	during	5.0	1.92
spectator	buy	ticket	training	AT	before	3.7	1.9
child	climb	tree	interview	AT	during	1.4	1.11
thief	grab	money	bath	AT	during	3.1	1.3
policeman	hit	demonstrator	lunch	AT	during	2.6	1.91
doctor	help	woman	conference	AT	during	3.25	1.76
policeman	check	bag	breakfast	AT	during	2.15	1.35
spectator	enjoy	game	breakfast	AT	during	3.9	2.21
soldier	celebrate	victory	conference	AT	after	2.9	1.3
cheerleader	carry	flag	dinner	AT	before	2.65	2.17
housemaid	clean	dish	congress	AT	after	3.95	2.75
cat	chase	bird	marriage	AT	during	3.3	2.08
guide	describe	monument	regatta	AT	during	3.45	1.96
mechanic	assemble	bicycle	party	AT	before	2.85	1.42
programmer	describe	software	excursion	AT	during	4.05	1.77
cyclist	complete	race	war	AT	during	2.25	1.67
coach	check	team	wedding	AT	before	2.15	1.39
climber	face	wall	conference	AT	during	2.0	1.84
speaker	entertain	audience	hunting	AT	during	3.1	2.21
soldier	fight	enemy	earthquake	AT	during	2.7	1.79
footballer	chase	ball	festival	AT	during	3.7	1.95
cyclist	fix	bike	funeral	AT	after	2.55	1.56
passenger	buy	ticket	meeting	AT	before	4.4	2.22
speleologist	examine	cave	breakfast	AT	during	2.65	1.42
refugee	find	shelter	party	AT	during	2.2	1.44
truck	hit	car	festival	AT	during	3.7	1.87
player	gather	balls	accident	AT	after	1.35	0.79
student	hear	lecture	holidays	AT	during	2.25	1.18
hiker	face	mountain	festival	AT	during	2.5	2.04
hound	fetch	bird	diving	AT	during	2.55	1.28
musician	entertain	crowd	flight	AT	during	3.05	1.72
professor	deliver	lecture	walk	AT	during	3.6	1.93
priest	celebrate	marriage	race	AT	during	2.0	1.52
soldier	carry	rifle	mass	AT	during	1.9	1.41
burglar	climb	wall	competition	AT	during	1.85	0.85
dealer	check	car	bombardament	AT	before	2.65	1.88
skier	gain	speed	storm	AT	during	2.0	1.45
candidate	celebrate	victory	surgery	AT	after	2.65	1.49
photographer	capture	image	surgery	AT	during	3.35	1.65
dog	fetch	ball	mass	AT	during	2.3	1.45
student	complete	project	execution	AT	before	2.3	2.03
soldier	cross	river	visit	AT	during	2.1	1.51
scoutmaster	assemble	tent	robbery	AT	during	2.75	1.84
singer	begin	performance	battle	AT	during	2.6	1.69
mechanic	check	tire	shooting	AT	before	2.0	1.14
waiter	cut	cake	race	AT	during	1.85	0.91
child	build	snowman	summer	AT	during	1.55	1.32
waiter	deliver	drink	battle	AT	during	2.35	2.01
soldier	dig	trench	holidays	AT	before	2.85	2.03
mason	fix	roof	run	AT	after	3.7	2.35
soldier	check	rifle	party	AT	during	3.0	2.32
policeman	examine	car	dinner	AT	during	1.95	1.07
student	drink	beer	morning	AT	during	2.85	1.77
veterinarian	examine	dog	concert	AT	before	3.55	1.53
footballer	deliver	kick	ceremony	AT	during	3.4	1.96
undertaker	dig	grave	wedding	AT	before	2.3	1.95
goalkeeper	catch	ball	demonstration	AT	during	4.95	1.99
child	cut	paper	rescue	AT	during	1.75	1.13
surfer	flip	board	conference	AT	during	1.65	0.79
waiter	carry	tray	lesson	AT	during	1.9	0.99
traveller	check	watch	exam	AT	before	2.65	1.71
demonstrator	carry	flag	lunch	AT	during	3.75	1.41
president	deliver	speech	diving	AT	after	3.0	1.84
artist	hang	picture	storm	AT	during	1.5	0.87
roofer	climb	ladder	siege	AT	during	4.45	1.86
horse	draw	carriage	conference	AT	during	1.9	1.79
photographer	examine	camera	workout	AT	before	3.8	2.46
librarian	climb	ladder	dinner	AT	during	2.0	1.82
mason	fix	wall	conference	AT	after	3.0	1.79
cameraman	record	video	breakfast	AT	during	2.7	1.19
fighter	kick	opponent	marriage	AT	during	1.5	1.16
soldier	gather	ammunition	surgery	AT	before	1.65	0.65
traveller	check	bag	execution	AT	before	2.15	2.01
patient	report	symptom	inventory	AT	during	1.9	1.18
mother	push	stroller	bombardment	AT	during	1.5	0.59
child	open	present	demonstration	AT	during	2.2	1.33
soldier	hear	command	mass	AT	during	1.65	0.65
teacher	use	blackboard	assault	AT	during	1.4	0.58
businessman	read	report	funeral	AT	before	1.8	0.75
businessman	tie	necktie	workout	AT	before	1.7	0.95
refugee	find	shelter	party	AT	during	1.7	0.71
waiter	clear	table	race	AT	after	1.9	0.89
doctor	sew	wound	dinner	AT	after	2.3	1.27
surgeon	examine	patient	parade	AT	before	2.0	1.67
violinist	wear	tuxedo	run	AT	during	1.4	0.58
chemist	mix	substance	storm	AT	during	2.85	1.53
swimmer	wear	goggles	dinner	AT	during	1.4	0.49
witness	explain	circumstances	massage	AT	during	1.9	1.37
